pair_index,positive_atom_id,negative_atom_id,FF_original,FF_replica,FZ_original,FZ_replica,delta_field_original,delta_field_replica,same_response_sign
1,107285,107286,0.25,0.3809523809523809,0.238095238095238,0.0,-0.011904761904762001,-0.3809523809523809,True
2,107281,107282,1.0,0.6666666666666666,0.0476190476190476,0.0,-0.9523809523809524,-0.6666666666666666,True
3,107283,107284,3.25,3.142857142857143,4.047619047619048,3.571428571428572,0.7976190476190483,0.42857142857142927,True
4,107291,107292,1.625,1.238095238095238,1.4285714285714286,1.2857142857142858,-0.1964285714285714,0.047619047619047894,False
5,107287,107288,1.625,3.333333333333333,2.2857142857142856,1.8571428571428568,0.6607142857142856,-1.4761904761904763,False
6,107289,107290,1.0,0.238095238095238,1.0,0.5714285714285714,0.0,0.33333333333333337,False
7,107295,107296,0.0,0.0,0.0,0.0,0.0,0.0,False
8,107297,107298,2.5,1.4285714285714286,3.1904761904761907,1.238095238095238,0.6904761904761907,-0.1904761904761907,False
9,107293,107294,0.625,1.6666666666666667,3.0,1.9523809523809523,2.375,0.2857142857142856,True
10,107301,107302,1.0,0.3809523809523809,0.9523809523809524,0.7142857142857143,-0.04761904761904756,0.3333333333333334,False
11,107303,107304,1.0,0.3333333333333333,1.7142857142857142,0.5238095238095238,0.7142857142857142,0.19047619047619052,True
12,107299,107300,0.0,0.0952380952380952,0.0,0.0,0.0,-0.0952380952380952,False
