lag_index,lag_steps,lag_fs,lag_ps,n_time_origins,C1_raw,C2_raw,C1_connected
0,0,0.0,0.0,21,1.0,1.0,1.0
1,1000,50.0,0.05,20,0.8950114000796201,0.729370667332314,0.8734043999242774
2,2000,100.0,0.1,19,0.8712096249323297,0.6825146541238982,0.8459297936327753
3,3000,150.0,0.15,18,0.8453148305957375,0.6336692963767736,0.8165325847181641
4,4000,200.0,0.2,17,0.8200266285251417,0.5902624416715968,0.7884991329985217
5,5000,250.0,0.25,16,0.7967200290486804,0.5542737093326792,0.7635252053232021
6,6000,300.0,0.3,15,0.7737025884642211,0.5207887254777054,0.7396316021658467
7,7000,350.0,0.35,14,0.7512874201033953,0.4902071335499825,0.7171286759378649
8,8000,400.0,0.4,13,0.7288375105502821,0.4612619698975749,0.6952453977224264
9,9000,450.0,0.45,12,0.70683894021156,0.43412239384328216,0.6745836360893385
10,10000,500.0,0.5,11,0.6842445626870609,0.4080539177041554,0.6540315051157605
11,11000,550.0,0.55,10,0.6620123024034782,0.38388753417209737,0.6347740673606395
12,12000,600.0,0.6,9,0.6394029413358008,0.35985267382355257,0.6158214960971702
13,13000,650.0,0.65,8,0.6162065997669647,0.3370821974303819,0.5972553568065646
14,14000,700.0,0.7,7,0.5927590456625296,0.3160422526203738,0.5793785009931081
15,15000,750.0,0.75,6,0.568786250749034,0.2940968588421686,0.5622757021936776
16,16000,800.0,0.8,5,0.5437484624867138,0.2721130679685451,0.5452154491532036
17,17000,850.0,0.85,4,0.5174491080528093,0.2518007017570687,0.5291313787479583
18,18000,900.0,0.9,3,0.487912528588661,0.22864122775988815,0.5127972313122202
19,19000,950.0,0.95,2,0.45187417973124455,0.20268253810867876,0.49699433940553966
20,20000,1000.0,1.0,1,0.3990071381915031,0.16564805327593204,0.48182070811150324
