lag_index,lag_steps,lag_fs,lag_ps,n_time_origins,C1_raw,C2_raw,C1_connected
0,0,0.0,0.0,21,1.0,1.0,1.0
1,1000,50.0,0.05,20,0.8925844851370289,0.7226501280671552,0.8925864148641359
2,2000,100.0,0.1,19,0.8743464741847945,0.6845998577837659,0.8743480142499979
3,3000,150.0,0.15,18,0.8583465416772813,0.6504630793414122,0.8583479952001515
4,4000,200.0,0.2,17,0.8430114170188956,0.6203081734602172,0.8430137560078473
5,5000,250.0,0.25,16,0.8295068021850428,0.5953197449755808,0.8295081240436226
6,6000,300.0,0.3,15,0.8185036419744923,0.5753711966782505,0.8185053046009257
7,7000,350.0,0.35,14,0.8084495540726261,0.5582069079382341,0.808451056109167
8,8000,400.0,0.4,13,0.7993610768731466,0.5427721083755842,0.7993631349548947
9,9000,450.0,0.45,12,0.7899921340488152,0.5272075142604076,0.7899943809605893
10,10000,500.0,0.5,11,0.7817063277765111,0.5140467290576167,0.7817056449423909
11,11000,550.0,0.55,10,0.7737412712139128,0.5016441963475512,0.773743684335502
12,12000,600.0,0.6,9,0.7659730372494468,0.49003865005196573,0.7659740156621659
13,13000,650.0,0.65,8,0.7584487161844451,0.47857979981745635,0.7584488767195997
14,14000,700.0,0.7,7,0.7514821231682908,0.46837046623101425,0.7514844982495599
15,15000,750.0,0.75,6,0.7442797787390566,0.45809439168936555,0.7442810161805617
16,16000,800.0,0.8,5,0.7369143885899748,0.44686475535436004,0.7369139557516698
17,17000,850.0,0.85,4,0.7304453517889458,0.43831341809383256,0.7304459303087638
18,18000,900.0,0.9,3,0.7231224365251643,0.4273963459204156,0.7231230375772766
19,19000,950.0,0.95,2,0.717437258612041,0.4193233084849802,0.7174402644722874
20,20000,1000.0,1.0,1,0.7117823439027307,0.41209216604300314,0.7117870739317935
