lag_index,lag_steps,n_time_origins,n_molecule_pairs,C1_mu,C1_mu_std,lag_time_ps
0,0,21,630000,1.0,1.5822002831204916e-16,0.0
1,1000,20,600000,0.8672354064237046,0.16681432650228425,0.1
2,2000,19,570000,0.8345586264667687,0.19692155195906635,0.2
3,3000,18,540000,0.8085619418028472,0.22465642297695831,0.3
4,4000,17,510000,0.7879337377060297,0.2456613675853295,0.4
5,5000,16,480000,0.7694092482882718,0.2640468518847413,0.5
6,6000,15,450000,0.7523222973386801,0.2799783164942427,0.6
7,7000,14,420000,0.7368500083851863,0.29383379399292947,0.7
8,8000,13,390000,0.7215697049199908,0.3071426472994745,0.8
9,9000,12,360000,0.7073510672650734,0.31897894473535165,0.9
10,10000,11,330000,0.6941426705541135,0.3301577822135057,1.0
11,11000,10,300000,0.6815849555222244,0.34052112063180395,1.1
12,12000,9,270000,0.6698735088161372,0.3491427116595112,1.2
13,13000,8,240000,0.6577385648667313,0.3587846023752799,1.3
14,14000,7,210000,0.6462438952144527,0.36709565997583377,1.4
15,15000,6,180000,0.6345767660719421,0.37566643960210555,1.5
16,16000,5,150000,0.6234979833324428,0.38377100311473605,1.6
17,17000,4,120000,0.6126671683715791,0.39162087965745246,1.7
18,18000,3,90000,0.6022855915907936,0.3979755442376494,1.8
19,19000,2,60000,0.5914899459716938,0.40553907563762576,1.9
20,20000,1,30000,0.5853439007951227,0.4108961225375716,2.0
