run,timestep,r_A,count,shell_volume_A3,number_density_O_per_A3
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,0.875,28,1924.225500323748,0.014551309082687576
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,2.625,86,5772.676500971245,0.014897768822751564
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,4.375,112,9621.127501618741,0.01164104726615006
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,6.125,187,13469.578502266239,0.01388313672684988
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,7.875,228,17318.029502913734,0.013165470122431615
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,9.625,271,21166.480503561233,0.012803262212364715
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,11.375,294,25014.931504208726,0.011752980412939965
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,13.125,379,28863.382504856225,0.013130824148425216
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,14.875,404,32711.83350550372,0.012350270734045756
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,16.625,455,36560.28450615122,0.012445198557561741
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,18.375,507,40408.73550679871,0.012546792015174491
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,20.125,589,44257.18650744621,0.013308573058545001
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,21.875,619,48105.63750809371,0.012867514745976583
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,23.625,671,51954.0885087412,0.012915249199052067
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,25.375,728,55802.539509388705,0.013046001246547478
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,27.125,798,59650.990510036194,0.0133778164147289
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,28.875,828,63499.4415106837,0.013039484762408345
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,30.625,876,67347.89251133119,0.013007088526973791
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,32.375,934,71196.34351197869,0.013118651238639183
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,34.125,996,75044.79451262619,0.013272073119374379
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,35.875,1007,78893.24551327368,0.012764083838211138
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,37.625,998,82741.69651392118,0.012061633276181228
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,39.375,1121,86590.14751456867,0.012946045620391087
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,41.125,1133,90438.59851521616,0.012527836771037252
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,42.875,1263,94287.04951586366,0.013395264847984261
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,44.625,1329,98135.50051651117,0.013542499839560074
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,46.375,1462,101983.95151715867,0.014335588867176032
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,48.125,1486,105832.40251780614,0.014041068374593336
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,49.875,1510,109680.85351845366,0.01376721598675328
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,51.625,1498,113529.30451910115,0.013194831117352292
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,53.375,1399,117377.75551974864,0.011918783024988243
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,55.125,1323,121226.20652039614,0.010913481812015681
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,56.875,1100,125074.65752104363,0.008794747247778205
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,58.625,927,128923.10852169115,0.007190332366551908
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,60.375,734,132771.55952233865,0.0055282923740645334
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,62.125,487,136620.01052298612,0.003564631550940065
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,63.875,304,140468.46152363362,0.0021641868694408134
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,65.625,248,144316.9125242811,0.0017184403107173899
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,67.375,360,148165.36352492863,0.002429717657591617
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,69.125,192,152013.8145255761,0.0012630431030180897
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,70.875,81,155862.2655262236,0.0005196896100959848
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,72.625,32,159710.7165268711,0.0002003622593141146
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,74.375,0,163559.16752751858,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,76.125,0,167407.61852816612,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,77.875,0,171256.0695288136,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,79.625,0,175104.5205294611,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,81.375,0,178952.9715301086,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,83.125,0,182801.42253075607,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,84.875,0,186649.8735314036,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,86.625,0,190498.32453205108,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,88.375,0,194346.77553269858,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,90.125,0,198195.22653334605,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,91.875,0,202043.67753399356,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,93.625,0,205892.12853464106,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,95.375,0,209740.57953528853,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,97.125,0,213589.0305359361,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,98.875,0,217437.48153658357,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,100.625,0,221285.93253723107,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,102.375,0,225134.38353787854,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,104.125,0,228982.83453852605,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,105.875,0,232831.28553917355,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,107.625,0,236679.73653982102,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,109.375,0,240528.18754046853,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,111.125,0,244376.63854111603,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,112.875,0,248225.0895417635,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,114.625,0,252073.54054241104,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,116.375,0,255921.99154305854,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,118.125,0,259770.44254370604,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,119.875,0,263618.89354435354,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,121.625,0,267467.344545001,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,123.375,0,271315.7955456485,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,125.125,0,275164.246546296,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,126.875,0,279012.6975469435,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,128.625,0,282861.148547591,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,130.375,0,286709.59954823845,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,132.125,0,290558.050548886,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,133.875,0,294406.5015495335,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,135.625,0,298254.952550181,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,137.375,0,302103.4035508285,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,0,139.125,0,305951.85455147596,0.0
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,0.875,30,1924.225500323748,0.015590688302879546
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,2.625,80,5772.676500971245,0.013858389602559593
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,4.375,110,9621.127501618741,0.011433171422111666
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,6.125,182,13469.578502266239,0.013511929862495603
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,7.875,236,17318.029502913734,0.013627416442516934
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,9.625,272,21166.480503561233,0.01285050672237344
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,11.375,300,25014.931504208726,0.01199283715606119
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,13.125,374,28863.382504856225,0.012957594278393221
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,14.875,411,32711.83350550372,0.012564260573497044
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,16.625,454,36560.28450615122,0.012417846472819846
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,18.375,509,40408.73550679871,0.012596286263755061
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,20.125,576,44257.18650744621,0.013014835452838575
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,21.875,621,48105.63750809371,0.012909089914784263
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,23.625,689,51954.0885087412,0.013261708939116056
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,25.375,720,55802.539509388705,0.012902638595486517
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,27.125,800,59650.990510036194,0.013411344776670575
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,28.875,835,63499.4415106837,0.013149721952428705
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,30.625,872,67347.89251133119,0.012947695428677108
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,32.375,940,71196.34351197869,0.013202925229465558
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,34.125,995,75044.79451262619,0.013258747744756534
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,35.875,1011,78893.24551327368,0.012814785263586356
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,37.625,999,82741.69651392118,0.01207371908106718
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,39.375,1109,86590.14751456867,0.012807461724365492
nvt300_contained_bn_like_chromophore_12dipoles_carved_5k,1000,41.125,1135,90438.59851521616,0.012549951222530697
