run,timestep,r_A,fraction
nvt300_fieldZ_bn_neutralized,0,0.875,0.0009666666666666667
nvt300_fieldZ_bn_neutralized,0,2.625,0.0026
nvt300_fieldZ_bn_neutralized,0,4.375,0.004
nvt300_fieldZ_bn_neutralized,0,6.125,0.006
nvt300_fieldZ_bn_neutralized,0,7.875,0.0075
nvt300_fieldZ_bn_neutralized,0,9.625,0.008433333333333333
nvt300_fieldZ_bn_neutralized,0,11.375,0.010566666666666667
nvt300_fieldZ_bn_neutralized,0,13.125,0.0125
nvt300_fieldZ_bn_neutralized,0,14.875,0.014366666666666666
nvt300_fieldZ_bn_neutralized,0,16.625,0.0149
nvt300_fieldZ_bn_neutralized,0,18.375,0.016733333333333333
nvt300_fieldZ_bn_neutralized,0,20.125,0.019533333333333333
nvt300_fieldZ_bn_neutralized,0,21.875,0.020966666666666668
nvt300_fieldZ_bn_neutralized,0,23.625,0.023333333333333334
nvt300_fieldZ_bn_neutralized,0,25.375,0.022966666666666666
nvt300_fieldZ_bn_neutralized,0,27.125,0.0266
nvt300_fieldZ_bn_neutralized,0,28.875,0.026766666666666668
nvt300_fieldZ_bn_neutralized,0,30.625,0.028166666666666666
nvt300_fieldZ_bn_neutralized,0,32.375,0.032433333333333335
nvt300_fieldZ_bn_neutralized,0,34.125,0.03186666666666667
nvt300_fieldZ_bn_neutralized,0,35.875,0.0333
nvt300_fieldZ_bn_neutralized,0,37.625,0.0348
nvt300_fieldZ_bn_neutralized,0,39.375,0.0359
nvt300_fieldZ_bn_neutralized,0,41.125,0.03983333333333333
nvt300_fieldZ_bn_neutralized,0,42.875,0.040966666666666665
nvt300_fieldZ_bn_neutralized,0,44.625,0.04463333333333333
nvt300_fieldZ_bn_neutralized,0,46.375,0.04586666666666667
nvt300_fieldZ_bn_neutralized,0,48.125,0.04856666666666667
nvt300_fieldZ_bn_neutralized,0,49.875,0.05246666666666667
nvt300_fieldZ_bn_neutralized,0,51.625,0.0522
nvt300_fieldZ_bn_neutralized,0,53.375,0.049466666666666666
nvt300_fieldZ_bn_neutralized,0,55.125,0.0477
nvt300_fieldZ_bn_neutralized,0,56.875,0.039733333333333336
nvt300_fieldZ_bn_neutralized,0,58.625,0.03233333333333333
nvt300_fieldZ_bn_neutralized,0,60.375,0.0245
nvt300_fieldZ_bn_neutralized,0,62.125,0.017933333333333332
nvt300_fieldZ_bn_neutralized,0,63.875,0.014066666666666667
nvt300_fieldZ_bn_neutralized,0,65.625,0.009133333333333334
nvt300_fieldZ_bn_neutralized,0,67.375,0.0026
nvt300_fieldZ_bn_neutralized,0,69.125,0.0005666666666666667
nvt300_fieldZ_bn_neutralized,0,70.875,0.0003333333333333333
nvt300_fieldZ_bn_neutralized,0,72.625,0.0003
nvt300_fieldZ_bn_neutralized,0,74.375,0.00046666666666666666
nvt300_fieldZ_bn_neutralized,0,76.125,0.00013333333333333334
nvt300_fieldZ_bn_neutralized,0,77.875,0.0002
nvt300_fieldZ_bn_neutralized,0,79.625,0.0003
nvt300_fieldZ_bn_neutralized,0,81.375,0.0002
nvt300_fieldZ_bn_neutralized,0,83.125,0.00013333333333333334
nvt300_fieldZ_bn_neutralized,0,84.875,6.666666666666667e-05
nvt300_fieldZ_bn_neutralized,0,86.625,3.3333333333333335e-05
nvt300_fieldZ_bn_neutralized,0,88.375,0.0
nvt300_fieldZ_bn_neutralized,0,90.125,0.0
nvt300_fieldZ_bn_neutralized,0,91.875,0.0
nvt300_fieldZ_bn_neutralized,0,93.625,3.3333333333333335e-05
nvt300_fieldZ_bn_neutralized,0,95.375,3.3333333333333335e-05
