run,timestep,z_A,fraction
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-119.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-117.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-115.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-113.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-111.0,3.3333333333333335e-05
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-109.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-107.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-105.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-103.0,3.3333333333333335e-05
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-101.0,6.666666666666667e-05
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-99.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-97.0,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-95.0,3.3333333333333335e-05
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-93.0,0.00013333333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-91.0,0.0002
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-89.0,0.00016666666666666666
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-87.0,0.0003
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-85.0,0.0005333333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-83.0,0.0006333333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-81.0,0.0014333333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-79.0,0.0017333333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-77.0,0.0044
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-75.0,0.007533333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-73.0,0.011333333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-71.0,0.0153
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-69.0,0.0165
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-67.0,0.0158
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-65.0,0.0151
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-63.0,0.013733333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-61.0,0.014133333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-59.0,0.014066666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-57.0,0.0139
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-55.0,0.014766666666666668
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-53.0,0.015
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-51.0,0.013033333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-49.0,0.0129
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-47.0,0.0133
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-45.0,0.012833333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-43.0,0.013333333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-41.0,0.0129
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-39.0,0.013333333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-37.0,0.012066666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-35.0,0.0124
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-33.0,0.0126
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-31.0,0.011
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-29.0,0.013233333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-27.0,0.012333333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-25.0,0.013
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-23.0,0.013366666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-21.0,0.0133
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-19.0,0.012133333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-17.0,0.012566666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-15.0,0.012366666666666666
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-13.0,0.0116
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-11.0,0.0116
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-9.0,0.011533333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-7.0,0.011633333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-5.0,0.012566666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-3.0,0.012133333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,-1.0,0.0127
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,1.0,0.011666666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,3.0,0.0127
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,5.0,0.012266666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,7.0,0.011966666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,9.0,0.012
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,11.0,0.0131
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,13.0,0.012633333333333333
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,15.0,0.012566666666666667
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,17.0,0.012533333333333334
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,19.0,0.011966666666666667
