run,timestep,r_A,count,shell_volume_A3,number_density_O_per_A3
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,0.875,21,1924.225500323748,0.010913481812015681
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,2.625,75,5772.676500971245,0.012992240252399619
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,4.375,127,9621.127501618741,0.013200116096438013
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,6.125,172,13469.578502266239,0.012769516133787054
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,7.875,209,17318.029502913734,0.012068347612228981
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,9.625,251,21166.480503561233,0.011858372012190197
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,11.375,308,25014.931504208726,0.012312646146889487
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,13.125,371,28863.382504856225,0.012853656356374024
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,14.875,386,32711.83350550372,0.011800011146885302
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,16.625,454,36560.28450615122,0.012417846472819846
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,18.375,504,40408.73550679871,0.012472550642303636
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,20.125,523,44257.18650744621,0.011817289829573915
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,21.875,626,48105.63750809371,0.01301302783680346
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,23.625,629,51954.0885087412,0.012106843138902756
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,25.375,723,55802.539509388705,0.012956399589634378
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,27.125,721,59650.990510036194,0.012086974479974356
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,28.875,814,63499.4415106837,0.012819010382367624
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,30.625,831,67347.89251133119,0.012338916171136097
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,32.375,896,71196.34351197869,0.012584915963405469
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,34.125,960,75044.79451262619,0.012792359633131932
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,35.875,974,78893.24551327368,0.01234579707886559
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,37.625,1003,82741.69651392118,0.012122062300610994
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,39.375,1047,86590.14751456867,0.012091444928233247
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,41.125,1093,90438.59851521616,0.012085547741168328
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,42.875,1182,94287.04951586366,0.012536186104764369
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,44.625,1274,98135.50051651117,0.012982050260044797
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,46.375,1318,101983.95151715867,0.012923602002009583
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,48.125,1413,105832.40251780614,0.013351298528465939
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,49.875,1464,109680.85351845366,0.01334781735404424
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,51.625,1579,113529.30451910115,0.013908303293924746
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,53.375,1544,117377.75551974864,0.013154110786691812
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,55.125,1440,121226.20652039614,0.011878619659336795
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,56.875,1286,125074.65752104363,0.010281859055129792
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,58.625,1091,128923.10852169115,0.008462408427085363
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,60.375,832,132771.55952233865,0.006266402255070425
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,62.125,572,136620.01052298612,0.00418679516866061
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,63.875,349,140468.46152363362,0.0024845434784040916
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,65.625,274,144316.9125242811,0.0018985993755506647
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,67.375,390,148165.36352492863,0.002632194129057585
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,69.125,180,152013.8145255761,0.001184102909079459
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,70.875,64,155862.2655262236,0.00041061895118695095
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,72.625,26,159710.7165268711,0.00016279433569271813
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,74.375,0,163559.16752751858,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,76.125,0,167407.61852816612,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,77.875,0,171256.0695288136,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,79.625,0,175104.5205294611,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,81.375,0,178952.9715301086,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,83.125,0,182801.42253075607,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,84.875,0,186649.8735314036,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,86.625,0,190498.32453205108,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,88.375,0,194346.77553269858,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,90.125,0,198195.22653334605,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,91.875,0,202043.67753399356,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,93.625,0,205892.12853464106,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,95.375,0,209740.57953528853,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,97.125,0,213589.0305359361,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,98.875,0,217437.48153658357,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,100.625,0,221285.93253723107,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,102.375,0,225134.38353787854,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,104.125,0,228982.83453852605,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,105.875,0,232831.28553917355,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,107.625,0,236679.73653982102,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,109.375,0,240528.18754046853,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,111.125,0,244376.63854111603,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,112.875,0,248225.0895417635,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,114.625,0,252073.54054241104,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,116.375,0,255921.99154305854,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,118.125,0,259770.44254370604,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,119.875,0,263618.89354435354,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,121.625,0,267467.344545001,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,123.375,0,271315.7955456485,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,125.125,0,275164.246546296,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,126.875,0,279012.6975469435,0.0
nvt300_fieldZ_contained_bn_like_extend_10k_to_30k,10000,128.625,0,282861.148547591,0.0
