run,timestep,r_A,count,shell_volume_A3,number_density_O_per_A3
nvt300_fieldZ_water_only,0,0.875,30,1924.225500323748,0.015590688302879546
nvt300_fieldZ_water_only,0,2.625,67,5772.676500971245,0.011606401292143659
nvt300_fieldZ_water_only,0,4.375,116,9621.127501618741,0.012056798954226847
nvt300_fieldZ_water_only,0,6.125,166,13469.578502266239,0.012324067896561925
nvt300_fieldZ_water_only,0,7.875,243,17318.029502913734,0.01403161947259159
nvt300_fieldZ_water_only,0,9.625,257,21166.480503561233,0.012141839072242552
nvt300_fieldZ_water_only,0,11.375,302,25014.931504208726,0.012072789403768262
nvt300_fieldZ_water_only,0,13.125,381,28863.382504856225,0.013200116096438013
nvt300_fieldZ_water_only,0,14.875,420,32711.83350550372,0.012839390367077272
nvt300_fieldZ_water_only,0,16.625,466,36560.28450615122,0.012746071489722573
nvt300_fieldZ_water_only,0,18.375,514,40408.73550679871,0.012720021885206486
nvt300_fieldZ_water_only,0,20.125,548,44257.18650744621,0.012382169840547812
nvt300_fieldZ_water_only,0,21.875,621,48105.63750809371,0.012909089914784263
nvt300_fieldZ_water_only,0,23.625,695,51954.0885087412,0.013377195519137387
nvt300_fieldZ_water_only,0,25.375,709,55802.539509388705,0.012705514950277696
nvt300_fieldZ_water_only,0,27.125,779,59650.990510036194,0.013059296976282973
nvt300_fieldZ_water_only,0,28.875,811,63499.4415106837,0.012771765872358898
nvt300_fieldZ_water_only,0,30.625,848,67347.89251133119,0.012591336838897004
nvt300_fieldZ_water_only,0,32.375,938,71196.34351197869,0.013174833899190101
nvt300_fieldZ_water_only,0,34.125,974,75044.79451262619,0.012978914877781772
nvt300_fieldZ_water_only,0,35.875,992,78893.24551327368,0.01257395349305407
nvt300_fieldZ_water_only,0,37.625,1026,82741.69651392118,0.012400035812987915
nvt300_fieldZ_water_only,0,39.375,1098,86590.14751456867,0.012680426486342029
nvt300_fieldZ_water_only,0,41.125,1132,90438.59851521616,0.012516779545290528
nvt300_fieldZ_water_only,0,42.875,1208,94287.04951586366,0.012811939775427545
nvt300_fieldZ_water_only,0,44.625,1362,98135.50051651117,0.013878769587269241
nvt300_fieldZ_water_only,0,46.375,1374,101983.95151715867,0.013472708005129869
nvt300_fieldZ_water_only,0,48.125,1465,105832.40251780614,0.013842641432556688
nvt300_fieldZ_water_only,0,49.875,1523,109680.85351845366,0.013885741687301487
nvt300_fieldZ_water_only,0,51.625,1559,113529.30451910115,0.013732137324400684
nvt300_fieldZ_water_only,0,53.375,1549,117377.75551974864,0.013196708295716075
nvt300_fieldZ_water_only,0,55.125,1381,121226.20652039614,0.011391926214961191
nvt300_fieldZ_water_only,0,56.875,1205,125074.65752104363,0.009634245848702488
nvt300_fieldZ_water_only,0,58.625,973,128923.10852169115,0.007547134188408853
nvt300_fieldZ_water_only,0,60.375,732,132771.55952233865,0.005513228907105229
nvt300_fieldZ_water_only,0,62.125,555,136620.01052298612,0.004062362445116501
nvt300_fieldZ_water_only,0,63.875,389,140468.46152363362,0.0027693049085936723
nvt300_fieldZ_water_only,0,65.625,291,144316.9125242811,0.002016395687172421
nvt300_fieldZ_water_only,0,67.375,156,148165.36352492863,0.001052877651623034
nvt300_fieldZ_water_only,0,69.125,62,152013.8145255761,0.0004078576686829248
nvt300_fieldZ_water_only,0,70.875,32,155862.2655262236,0.00020530947559347547
nvt300_fieldZ_water_only,0,72.625,11,159710.7165268711,6.88745266392269e-05
nvt300_fieldZ_water_only,0,74.375,12,163559.16752751858,7.336794495472728e-05
nvt300_fieldZ_water_only,0,76.125,6,167407.61852816612,3.584066276524033e-05
nvt300_fieldZ_water_only,0,77.875,6,171256.0695288136,3.503525461321246e-05
nvt300_fieldZ_water_only,0,79.625,7,175104.5205294611,3.9976123853537294e-05
nvt300_fieldZ_water_only,0,81.375,3,178952.9715301086,1.676418097083822e-05
nvt300_fieldZ_water_only,0,83.125,0,182801.42253075607,0.0
nvt300_fieldZ_water_only,0,84.875,1,186649.8735314036,5.357624846350358e-06
nvt300_fieldZ_water_only,0,86.625,0,190498.32453205108,0.0
nvt300_fieldZ_water_only,0,88.375,0,194346.77553269858,0.0
nvt300_fieldZ_water_only,0,90.125,0,198195.22653334605,0.0
nvt300_fieldZ_water_only,0,91.875,0,202043.67753399356,0.0
nvt300_fieldZ_water_only,0,93.625,0,205892.12853464106,0.0
nvt300_fieldZ_water_only,0,95.375,0,209740.57953528853,0.0
nvt300_fieldZ_water_only,0,97.125,0,213589.0305359361,0.0
nvt300_fieldZ_water_only,0,98.875,0,217437.48153658357,0.0
nvt300_fieldZ_water_only,0,100.625,0,221285.93253723107,0.0
nvt300_fieldZ_water_only,0,102.375,0,225134.38353787854,0.0
nvt300_fieldZ_water_only,0,104.125,0,228982.83453852605,0.0
nvt300_fieldZ_water_only,0,105.875,0,232831.28553917355,0.0
nvt300_fieldZ_water_only,0,107.625,0,236679.73653982102,0.0
nvt300_fieldZ_water_only,0,109.375,0,240528.18754046853,0.0
nvt300_fieldZ_water_only,0,111.125,0,244376.63854111603,0.0
nvt300_fieldZ_water_only,0,112.875,0,248225.0895417635,0.0
nvt300_fieldZ_water_only,0,114.625,0,252073.54054241104,0.0
nvt300_fieldZ_water_only,0,116.375,0,255921.99154305854,0.0
nvt300_fieldZ_water_only,0,118.125,0,259770.44254370604,0.0
nvt300_fieldZ_water_only,0,119.875,0,263618.89354435354,0.0
nvt300_fieldZ_water_only,0,121.625,0,267467.344545001,0.0
nvt300_fieldZ_water_only,0,123.375,0,271315.7955456485,0.0
nvt300_fieldZ_water_only,0,125.125,0,275164.246546296,0.0
nvt300_fieldZ_water_only,0,126.875,0,279012.6975469435,0.0
nvt300_fieldZ_water_only,0,128.625,0,282861.148547591,0.0
nvt300_fieldZ_water_only,0,130.375,0,286709.59954823845,0.0
nvt300_fieldZ_water_only,0,132.125,0,290558.050548886,0.0
nvt300_fieldZ_water_only,0,133.875,0,294406.5015495335,0.0
nvt300_fieldZ_water_only,0,135.625,0,298254.952550181,0.0
nvt300_fieldZ_water_only,0,137.375,0,302103.4035508285,0.0
nvt300_fieldZ_water_only,0,139.125,0,305951.85455147596,0.0
nvt300_fieldZ_water_only,1000,0.875,30,1924.225500323748,0.015590688302879546
nvt300_fieldZ_water_only,1000,2.625,73,5772.676500971245,0.01264578051233563
nvt300_fieldZ_water_only,1000,4.375,109,9621.127501618741,0.011329233500092468
nvt300_fieldZ_water_only,1000,6.125,174,13469.578502266239,0.012917998879528764
nvt300_fieldZ_water_only,1000,7.875,238,17318.029502913734,0.013742903022538265
nvt300_fieldZ_water_only,1000,9.625,260,21166.480503561233,0.01228357260226873
nvt300_fieldZ_water_only,1000,11.375,307,25014.931504208726,0.01227267002303595
nvt300_fieldZ_water_only,1000,13.125,383,28863.382504856225,0.013269408044450811
nvt300_fieldZ_water_only,1000,14.875,418,32711.83350550372,0.012778250412948331
nvt300_fieldZ_water_only,1000,16.625,468,36560.28450615122,0.012800775659206362
nvt300_fieldZ_water_only,1000,18.375,499,40408.73550679871,0.012348815020852211
nvt300_fieldZ_water_only,1000,20.125,565,44257.18650744621,0.012766288248010061
nvt300_fieldZ_water_only,1000,21.875,626,48105.63750809371,0.01301302783680346
nvt300_fieldZ_water_only,1000,23.625,666,51954.0885087412,0.012819010382367626
nvt300_fieldZ_water_only,1000,25.375,742,55802.539509388705,0.013296885885904162
