run,timestep,r_A,fraction
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,0.875,0.0009333333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,2.625,0.002533333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,4.375,0.003966666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,6.125,0.005433333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,7.875,0.006866666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,9.625,0.0087
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,11.375,0.010133333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,13.125,0.011566666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,14.875,0.013633333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,16.625,0.014466666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,18.375,0.0163
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,20.125,0.017233333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,21.875,0.0206
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,23.625,0.021633333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,25.375,0.0224
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,27.125,0.0244
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,28.875,0.0266
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,30.625,0.0262
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,32.375,0.030033333333333332
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,34.125,0.0312
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,35.875,0.03233333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,37.625,0.0328
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,39.375,0.03383333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,41.125,0.03673333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,42.875,0.037866666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,44.625,0.0399
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,46.375,0.0437
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,48.125,0.045
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,49.875,0.049
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,51.625,0.051833333333333335
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,53.375,0.052333333333333336
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,55.125,0.05043333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,56.875,0.04636666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,58.625,0.037866666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,60.375,0.029266666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,62.125,0.021166666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,63.875,0.013066666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,65.625,0.010066666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,67.375,0.013433333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,69.125,0.005566666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,70.875,0.0019333333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,72.625,0.0006666666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,74.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,76.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,77.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,79.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,81.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,83.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,84.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,86.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,88.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,90.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,91.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,93.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,95.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,97.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,98.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,100.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,102.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,104.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,105.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,107.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,109.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,111.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,112.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,114.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,116.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,118.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,119.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,121.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,123.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,125.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,126.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,128.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,130.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,132.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,133.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,135.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,137.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,20000,139.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,0.875,0.0009666666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,2.625,0.0024666666666666665
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,4.375,0.0038666666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,6.125,0.005833333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,7.875,0.006733333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,9.625,0.0086
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,11.375,0.0096
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,13.125,0.012366666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,14.875,0.013833333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,16.625,0.0137
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,18.375,0.016833333333333332
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,20.125,0.017433333333333332
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,21.875,0.0204
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,23.625,0.020933333333333335
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,25.375,0.0239
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,27.125,0.0238
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,28.875,0.026566666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,30.625,0.0269
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,32.375,0.029633333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,34.125,0.031466666666666664
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,35.875,0.03216666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,37.625,0.033433333333333336
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,39.375,0.0336
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,41.125,0.03643333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,42.875,0.038566666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,44.625,0.04106666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,46.375,0.043866666666666665
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,48.125,0.044333333333333336
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,49.875,0.049133333333333334
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,51.625,0.05196666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,53.375,0.051833333333333335
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,55.125,0.05046666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,56.875,0.04566666666666667
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,58.625,0.03713333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,60.375,0.029433333333333332
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,62.125,0.020466666666666668
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,63.875,0.0128
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,65.625,0.010033333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,67.375,0.012966666666666666
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,69.125,0.0061333333333333335
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,70.875,0.002033333333333333
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,72.625,0.0006
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,74.375,3.3333333333333335e-05
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,76.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,77.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,79.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,81.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,83.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,84.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,86.625,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,88.375,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,90.125,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,91.875,0.0
nvt300_hold_contained_bn_like_extend_20k_to_50k,22000,93.625,0.0
