run,timestep,r_A,count,shell_volume_A3,number_density_O_per_A3
nvt300_hold_extended_contained,0,0.5,11,628.3185307179587,0.01750704374010849
nvt300_hold_extended_contained,0,1.5,23,1884.9555921538758,0.012201878970378643
nvt300_hold_extended_contained,0,2.5,41,3141.592653589793,0.013050705333535419
nvt300_hold_extended_contained,0,3.5,50,4398.22971502571,0.011368210220849669
nvt300_hold_extended_contained,0,4.5,72,5654.8667764616275,0.012732395447351627
nvt300_hold_extended_contained,0,5.5,68,6911.503837897544,0.009838669209317167
nvt300_hold_extended_contained,0,6.5,98,8168.140899333463,0.01199783417154288
nvt300_hold_extended_contained,0,7.5,115,9424.77796076938,0.012201878970378643
nvt300_hold_extended_contained,0,8.5,128,10681.415022205298,0.011983431009272119
nvt300_hold_extended_contained,0,9.5,134,11938.052083641212,0.011224611775954725
nvt300_hold_extended_contained,0,10.5,170,13194.689145077133,0.012883971583629621
nvt300_hold_extended_contained,0,11.5,175,14451.326206513048,0.012109615235252906
nvt300_hold_extended_contained,0,12.5,175,15707.963267948966,0.011140846016432674
nvt300_hold_extended_contained,0,13.5,206,16964.60032938488,0.012142932695159423
nvt300_hold_extended_contained,0,14.5,210,18221.2373908208,0.011525013120447593
nvt300_hold_extended_contained,0,15.5,219,19477.874452256718,0.011243526624879058
nvt300_hold_extended_contained,0,16.5,250,20734.511513692636,0.012057192658476918
nvt300_hold_extended_contained,0,17.5,237,21991.14857512855,0.010777063289365485
nvt300_hold_extended_contained,0,18.5,270,23247.78563656447,0.01161400936075993
nvt300_hold_extended_contained,0,19.5,312,24504.422698000384,0.012732395447351628
nvt300_hold_extended_contained,0,20.5,305,25761.059759436303,0.011839575034884899
nvt300_hold_extended_contained,0,21.5,318,27017.69682087222,0.011770063233307608
nvt300_hold_extended_contained,0,22.5,350,28274.33388230814,0.012378717796036304
nvt300_hold_extended_contained,0,23.5,345,29530.970943744058,0.011682650078022104
nvt300_hold_extended_contained,0,24.5,378,30787.60800517997,0.012277667038517641
nvt300_hold_extended_contained,0,25.5,362,32044.245066615887,0.011296880274365905
nvt300_hold_extended_contained,0,26.5,400,33300.88212805181,0.012011693818256251
nvt300_hold_extended_contained,0,27.5,423,34557.51918948773,0.012240461986885767
nvt300_hold_extended_contained,0,28.5,423,35814.15625092364,0.011810972092609076
nvt300_hold_extended_contained,0,29.5,443,37070.79331235956,0.011950108438933836
nvt300_hold_extended_contained,0,30.5,438,38327.430373795476,0.011427846733483633
nvt300_hold_extended_contained,0,31.5,465,39584.067435231394,0.011747150561544656
nvt300_hold_extended_contained,0,32.5,453,40840.704496667306,0.011091875264712092
nvt300_hold_extended_contained,0,33.5,545,42097.341558103224,0.01294618566941537
nvt300_hold_extended_contained,0,34.5,501,43353.97861953914,0.01155603282449849
nvt300_hold_extended_contained,0,35.5,491,44610.61568097506,0.011006348881425439
nvt300_hold_extended_contained,0,36.5,603,45867.25274241098,0.013146634340330534
nvt300_hold_extended_contained,0,37.5,519,47123.8898038469,0.011013522061959158
nvt300_hold_extended_contained,0,38.5,594,48380.526865282816,0.01227766703851764
nvt300_hold_extended_contained,0,39.5,537,49637.163926718735,0.010818506891183265
nvt300_hold_extended_contained,0,40.5,613,50893.800988154646,0.012044688903127388
nvt300_hold_extended_contained,0,41.5,570,52150.43804959057,0.010929917778600041
nvt300_hold_extended_contained,0,42.5,599,53407.07511102648,0.011215742460240624
nvt300_hold_extended_contained,0,43.5,663,54663.712172462394,0.012128704283899613
nvt300_hold_extended_contained,0,44.5,654,55920.34923389832,0.011695205930572983
nvt300_hold_extended_contained,0,45.5,683,57176.98629533423,0.011945365508985112
nvt300_hold_extended_contained,0,46.5,691,58433.62335677015,0.011825383406075234
nvt300_hold_extended_contained,0,47.5,745,59690.260418206075,0.012481098168785476
nvt300_hold_extended_contained,0,48.5,737,60946.897479641986,0.012092494129765657
nvt300_hold_extended_contained,0,49.5,767,62203.53454107791,0.012330489025402395
nvt300_hold_extended_contained,0,50.5,810,63460.17160251382,0.012763911277666854
nvt300_hold_extended_contained,0,51.5,847,64716.808663949734,0.013087789980469453
nvt300_hold_extended_contained,0,52.5,869,65973.44572538565,0.013171966242557814
nvt300_hold_extended_contained,0,53.5,889,67230.08278682157,0.013223247140999528
nvt300_hold_extended_contained,0,54.5,894,68486.71984825749,0.01305362560772059
nvt300_hold_extended_contained,0,55.5,913,69743.35690969341,0.013090852526387427
nvt300_hold_extended_contained,0,56.5,888,70999.99397112933,0.012507043315540093
nvt300_hold_extended_contained,0,57.5,860,72256.63103256524,0.01190202183122
nvt300_hold_extended_contained,0,58.5,813,73513.26809400116,0.011059228096898369
nvt300_hold_extended_contained,0,59.5,702,74769.90515543707,0.009388804205925257
nvt300_hold_extended_contained,0,60.5,584,76026.542216873,0.007681527831873296
nvt300_hold_extended_contained,0,61.5,496,77283.1792783089,0.0064179554287463495
nvt300_hold_extended_contained,0,62.5,396,78539.81633974482,0.005042028597151245
nvt300_hold_extended_contained,0,63.5,301,79796.45340118074,0.003772097470130748
nvt300_hold_extended_contained,0,64.5,247,81053.09046261666,0.0030473853444727248
nvt300_hold_extended_contained,0,65.5,203,82309.72752405258,0.0024662941563095234
nvt300_hold_extended_contained,0,66.5,158,83566.3645854885,0.0018907128577834184
nvt300_hold_extended_contained,0,67.5,295,84823.00164692441,0.003477830237934009
nvt300_hold_extended_contained,0,68.5,131,86079.63870836033,0.0015218465361341816
nvt300_hold_extended_contained,0,69.5,74,87336.27576979625,0.0008472996970359895
nvt300_hold_extended_contained,0,70.5,23,88592.91283123216,0.00025961444617826905
nvt300_hold_extended_contained,0,71.5,11,89849.54989266809,0.00012242687930145795
nvt300_hold_extended_contained,0,72.5,12,91106.18695410399,0.00013171443566225823
nvt300_hold_extended_contained,0,73.5,1,92362.82401553993,1.0826866876999682e-05
nvt300_hold_extended_contained,0,74.5,0,93619.46107697583,0.0
nvt300_hold_extended_contained,0,75.5,0,94876.09813841175,0.0
nvt300_hold_extended_contained,0,76.5,0,96132.73519984767,0.0
nvt300_hold_extended_contained,0,77.5,0,97389.37226128358,0.0
nvt300_hold_extended_contained,0,78.5,0,98646.0093227195,0.0
nvt300_hold_extended_contained,0,79.5,0,99902.64638415542,0.0
nvt300_hold_extended_contained,1000,0.5,8,628.3185307179587,0.012732395447351627
nvt300_hold_extended_contained,1000,1.5,25,1884.9555921538758,0.013262911924324612
nvt300_hold_extended_contained,1000,2.5,36,3141.592653589793,0.011459155902616465
nvt300_hold_extended_contained,1000,3.5,52,4398.22971502571,0.011822938629683656
nvt300_hold_extended_contained,1000,4.5,69,5654.8667764616275,0.012201878970378643
nvt300_hold_extended_contained,1000,5.5,78,6911.503837897544,0.011285532328334399
nvt300_hold_extended_contained,1000,6.5,95,8168.140899333463,0.011630553533638505
nvt300_hold_extended_contained,1000,7.5,105,9424.77796076938,0.011140846016432674
nvt300_hold_extended_contained,1000,8.5,143,10681.415022205298,0.013387739330671194
nvt300_hold_extended_contained,1000,9.5,126,11938.052083641212,0.010554485699778324
nvt300_hold_extended_contained,1000,10.5,170,13194.689145077133,0.012883971583629621
nvt300_hold_extended_contained,1000,11.5,176,14451.326206513048,0.01217881303659721
nvt300_hold_extended_contained,1000,12.5,183,15707.963267948966,0.011650141834326739
nvt300_hold_extended_contained,1000,13.5,213,16964.60032938488,0.012555556621693968
