run,timestep,r_A,fraction
nvt300_hold_extended_contained,0,0.5,0.00036666666666666667
nvt300_hold_extended_contained,0,1.5,0.0007666666666666667
nvt300_hold_extended_contained,0,2.5,0.0013666666666666666
nvt300_hold_extended_contained,0,3.5,0.0016666666666666668
nvt300_hold_extended_contained,0,4.5,0.0024
nvt300_hold_extended_contained,0,5.5,0.002266666666666667
nvt300_hold_extended_contained,0,6.5,0.003266666666666667
nvt300_hold_extended_contained,0,7.5,0.003833333333333333
nvt300_hold_extended_contained,0,8.5,0.004266666666666667
nvt300_hold_extended_contained,0,9.5,0.0044666666666666665
nvt300_hold_extended_contained,0,10.5,0.005666666666666667
nvt300_hold_extended_contained,0,11.5,0.005833333333333334
nvt300_hold_extended_contained,0,12.5,0.005833333333333334
nvt300_hold_extended_contained,0,13.5,0.006866666666666667
nvt300_hold_extended_contained,0,14.5,0.007
nvt300_hold_extended_contained,0,15.5,0.0073
nvt300_hold_extended_contained,0,16.5,0.008333333333333333
nvt300_hold_extended_contained,0,17.5,0.0079
nvt300_hold_extended_contained,0,18.5,0.009
nvt300_hold_extended_contained,0,19.5,0.0104
nvt300_hold_extended_contained,0,20.5,0.010166666666666666
nvt300_hold_extended_contained,0,21.5,0.0106
nvt300_hold_extended_contained,0,22.5,0.011666666666666667
nvt300_hold_extended_contained,0,23.5,0.0115
nvt300_hold_extended_contained,0,24.5,0.0126
nvt300_hold_extended_contained,0,25.5,0.012066666666666667
nvt300_hold_extended_contained,0,26.5,0.013333333333333334
nvt300_hold_extended_contained,0,27.5,0.0141
nvt300_hold_extended_contained,0,28.5,0.0141
nvt300_hold_extended_contained,0,29.5,0.014766666666666668
nvt300_hold_extended_contained,0,30.5,0.0146
nvt300_hold_extended_contained,0,31.5,0.0155
nvt300_hold_extended_contained,0,32.5,0.0151
nvt300_hold_extended_contained,0,33.5,0.018166666666666668
nvt300_hold_extended_contained,0,34.5,0.0167
nvt300_hold_extended_contained,0,35.5,0.0164
nvt300_hold_extended_contained,0,36.5,0.0201
nvt300_hold_extended_contained,0,37.5,0.0173
nvt300_hold_extended_contained,0,38.5,0.0198
nvt300_hold_extended_contained,0,39.5,0.0179
nvt300_hold_extended_contained,0,40.5,0.020433333333333335
nvt300_hold_extended_contained,0,41.5,0.019
nvt300_hold_extended_contained,0,42.5,0.019966666666666667
nvt300_hold_extended_contained,0,43.5,0.0221
nvt300_hold_extended_contained,0,44.5,0.0218
nvt300_hold_extended_contained,0,45.5,0.022766666666666668
nvt300_hold_extended_contained,0,46.5,0.023033333333333333
nvt300_hold_extended_contained,0,47.5,0.024833333333333332
nvt300_hold_extended_contained,0,48.5,0.024566666666666667
nvt300_hold_extended_contained,0,49.5,0.025566666666666668
nvt300_hold_extended_contained,0,50.5,0.027
nvt300_hold_extended_contained,0,51.5,0.028233333333333333
nvt300_hold_extended_contained,0,52.5,0.02896666666666667
nvt300_hold_extended_contained,0,53.5,0.029633333333333334
nvt300_hold_extended_contained,0,54.5,0.0298
nvt300_hold_extended_contained,0,55.5,0.030433333333333333
nvt300_hold_extended_contained,0,56.5,0.0296
nvt300_hold_extended_contained,0,57.5,0.028666666666666667
nvt300_hold_extended_contained,0,58.5,0.0271
nvt300_hold_extended_contained,0,59.5,0.0234
nvt300_hold_extended_contained,0,60.5,0.019466666666666667
nvt300_hold_extended_contained,0,61.5,0.016533333333333334
nvt300_hold_extended_contained,0,62.5,0.0132
nvt300_hold_extended_contained,0,63.5,0.010033333333333333
nvt300_hold_extended_contained,0,64.5,0.008233333333333334
nvt300_hold_extended_contained,0,65.5,0.0067666666666666665
nvt300_hold_extended_contained,0,66.5,0.005266666666666667
nvt300_hold_extended_contained,0,67.5,0.009833333333333333
nvt300_hold_extended_contained,0,68.5,0.004366666666666666
nvt300_hold_extended_contained,0,69.5,0.0025
nvt300_hold_extended_contained,0,70.5,0.0008
nvt300_hold_extended_contained,0,71.5,0.0004
nvt300_hold_extended_contained,0,72.5,0.0004
nvt300_hold_extended_contained,0,73.5,3.3333333333333335e-05
nvt300_hold_extended_contained,0,74.5,0.0
nvt300_hold_extended_contained,0,75.5,0.0
nvt300_hold_extended_contained,0,76.5,0.0
nvt300_hold_extended_contained,0,77.5,0.0
nvt300_hold_extended_contained,0,78.5,0.0
nvt300_hold_extended_contained,0,79.5,0.0
nvt300_hold_extended_contained,1000,0.5,0.0002666666666666667
nvt300_hold_extended_contained,1000,1.5,0.0008333333333333334
nvt300_hold_extended_contained,1000,2.5,0.0012
nvt300_hold_extended_contained,1000,3.5,0.0017333333333333333
nvt300_hold_extended_contained,1000,4.5,0.0023
nvt300_hold_extended_contained,1000,5.5,0.0026
nvt300_hold_extended_contained,1000,6.5,0.0031666666666666666
nvt300_hold_extended_contained,1000,7.5,0.0035
nvt300_hold_extended_contained,1000,8.5,0.0047666666666666664
nvt300_hold_extended_contained,1000,9.5,0.0042
nvt300_hold_extended_contained,1000,10.5,0.005666666666666667
nvt300_hold_extended_contained,1000,11.5,0.005866666666666667
nvt300_hold_extended_contained,1000,12.5,0.0061
nvt300_hold_extended_contained,1000,13.5,0.0071
nvt300_hold_extended_contained,1000,14.5,0.0067
nvt300_hold_extended_contained,1000,15.5,0.0074333333333333335
nvt300_hold_extended_contained,1000,16.5,0.007866666666666666
nvt300_hold_extended_contained,1000,17.5,0.0082
nvt300_hold_extended_contained,1000,18.5,0.009033333333333334
nvt300_hold_extended_contained,1000,19.5,0.0101
nvt300_hold_extended_contained,1000,20.5,0.010433333333333333
nvt300_hold_extended_contained,1000,21.5,0.010766666666666667
nvt300_hold_extended_contained,1000,22.5,0.0114
nvt300_hold_extended_contained,1000,23.5,0.0117
nvt300_hold_extended_contained,1000,24.5,0.012533333333333334
nvt300_hold_extended_contained,1000,25.5,0.0122
nvt300_hold_extended_contained,1000,26.5,0.013
nvt300_hold_extended_contained,1000,27.5,0.014666666666666666
nvt300_hold_extended_contained,1000,28.5,0.0137
nvt300_hold_extended_contained,1000,29.5,0.0149
nvt300_hold_extended_contained,1000,30.5,0.0147
nvt300_hold_extended_contained,1000,31.5,0.015466666666666667
nvt300_hold_extended_contained,1000,32.5,0.015333333333333332
nvt300_hold_extended_contained,1000,33.5,0.018033333333333332
nvt300_hold_extended_contained,1000,34.5,0.0167
nvt300_hold_extended_contained,1000,35.5,0.016966666666666668
nvt300_hold_extended_contained,1000,36.5,0.019133333333333332
nvt300_hold_extended_contained,1000,37.5,0.0183
nvt300_hold_extended_contained,1000,38.5,0.019
nvt300_hold_extended_contained,1000,39.5,0.018866666666666667
nvt300_hold_extended_contained,1000,40.5,0.0196
nvt300_hold_extended_contained,1000,41.5,0.018966666666666666
nvt300_hold_extended_contained,1000,42.5,0.0209
nvt300_hold_extended_contained,1000,43.5,0.0213
nvt300_hold_extended_contained,1000,44.5,0.022433333333333333
nvt300_hold_extended_contained,1000,45.5,0.022333333333333334
