run,timestep,r_A,count,shell_volume_A3,number_density_O_per_A3
nvt300_hold,0,0.5,5,628.3185307179587,0.007957747154594767
nvt300_hold,0,1.5,31,1884.9555921538758,0.016446010786162518
nvt300_hold,0,2.5,35,3141.592653589793,0.011140846016432674
nvt300_hold,0,3.5,58,4398.22971502571,0.013187123856185616
nvt300_hold,0,4.5,70,5654.8667764616275,0.012378717796036304
nvt300_hold,0,5.5,71,6911.503837897544,0.010272728145022336
nvt300_hold,0,6.5,94,8168.140899333463,0.011508126654337047
nvt300_hold,0,7.5,102,9424.77796076938,0.010822536130248884
nvt300_hold,0,8.5,131,10681.415022205298,0.012264292673551934
nvt300_hold,0,9.5,144,11938.052083641212,0.012062269371175228
nvt300_hold,0,10.5,141,13194.689145077133,0.010686117607598685
nvt300_hold,0,11.5,163,14451.326206513048,0.01127924161912128
nvt300_hold,0,12.5,192,15707.963267948966,0.012223099629457562
nvt300_hold,0,13.5,179,16964.60032938488,0.01055138326424047
nvt300_hold,0,14.5,208,18221.2373908208,0.011415251090729045
nvt300_hold,0,15.5,205,19477.874452256718,0.01052476236575437
nvt300_hold,0,16.5,224,20734.511513692636,0.01080324462199532
nvt300_hold,0,17.5,240,21991.14857512855,0.010913481812015681
nvt300_hold,0,18.5,276,23247.78563656447,0.011872098457665707
nvt300_hold,0,19.5,284,24504.422698000384,0.011589744573871354
nvt300_hold,0,20.5,307,25761.059759436303,0.011917211592490701
nvt300_hold,0,21.5,302,27017.69682087222,0.011177858793895906
nvt300_hold,0,22.5,336,28274.33388230814,0.01188356908419485
nvt300_hold,0,23.5,337,29530.970943744058,0.011411748047227388
nvt300_hold,0,24.5,332,30787.60800517997,0.010783559409491685
nvt300_hold,0,25.5,353,32044.245066615887,0.01101601861008609
nvt300_hold,0,26.5,395,33300.88212805181,0.011861547645528048
nvt300_hold,0,27.5,364,34557.51918948773,0.010533163506445436
nvt300_hold,0,28.5,460,35814.15625092364,0.012844083126714362
nvt300_hold,0,29.5,417,37070.79331235956,0.011248747672766162
nvt300_hold,0,30.5,424,38327.430373795476,0.011062573093600593
nvt300_hold,0,31.5,433,39584.067435231394,0.010938744501395346
nvt300_hold,0,32.5,468,40840.704496667306,0.011459155902616466
nvt300_hold,0,33.5,486,42097.341558103224,0.011544671991441961
nvt300_hold,0,34.5,474,43353.97861953914,0.010933252612399767
nvt300_hold,0,35.5,541,44610.61568097506,0.012127158339819068
nvt300_hold,0,36.5,521,45867.25274241098,0.011358866486421572
nvt300_hold,0,37.5,522,47123.8898038469,0.011077184039195916
nvt300_hold,0,38.5,558,48380.526865282816,0.011533566005880208
nvt300_hold,0,39.5,556,49637.163926718735,0.011201284602416936
nvt300_hold,0,40.5,530,50893.800988154646,0.010413841955395622
nvt300_hold,0,41.5,622,52150.43804959057,0.01192703308471794
nvt300_hold,0,42.5,586,53407.07511102648,0.010972329017864785
nvt300_hold,0,43.5,612,54663.712172462394,0.011195727031291949
nvt300_hold,0,44.5,633,55920.34923389832,0.011319671795187612
nvt300_hold,0,45.5,629,57176.98629533423,0.011000929582945294
nvt300_hold,0,46.5,651,58433.62335677015,0.011140846016432674
nvt300_hold,0,47.5,701,59690.260418206075,0.011743959484991434
nvt300_hold,0,48.5,696,60946.897479641986,0.01141977735999579
nvt300_hold,0,49.5,749,62203.53454107791,0.01204111640159895
nvt300_hold,0,50.5,752,63460.17160251382,0.011849952198525276
nvt300_hold,0,51.5,715,64716.808663949734,0.01104813439909759
nvt300_hold,0,52.5,800,65973.44572538565,0.012126090902239645
nvt300_hold,0,53.5,856,67230.08278682157,0.012732395447351628
nvt300_hold,0,54.5,802,68486.71984825749,0.01171029948254129
nvt300_hold,0,55.5,947,69743.35690969341,0.013578354153876116
nvt300_hold,0,56.5,887,70999.99397112933,0.012492958807301873
nvt300_hold,0,57.5,912,72256.63103256524,0.012621678965200743
nvt300_hold,0,58.5,904,73513.26809400116,0.012297099876501998
nvt300_hold,0,59.5,874,74769.90515543707,0.0116891949800266
nvt300_hold,0,60.5,784,76026.542216873,0.010312188048268259
nvt300_hold,0,61.5,667,77283.1792783089,0.008630597320511723
nvt300_hold,0,62.5,550,78539.81633974482,0.007002817496043395
nvt300_hold,0,63.5,383,79796.45340118074,0.004799712063322513
nvt300_hold,0,64.5,333,81053.09046261666,0.004108418298418694
nvt300_hold,0,65.5,240,82309.72752405258,0.0029158157513018996
nvt300_hold,0,66.5,181,83566.3645854885,0.002165943210498726
nvt300_hold,0,67.5,350,84823.00164692441,0.004126239265345435
nvt300_hold,0,68.5,126,86079.63870836033,0.0014637607904802053
nvt300_hold,0,69.5,41,87336.27576979625,0.0004694498321415618
nvt300_hold,0,70.5,30,88592.91283123216,0.0003386275384933944
