component_index,atom_id,atom_type,element,degree,x_A,y_A,z_A
1,1,1,B,1,70.0,0.0,-100.0
1,289,2,N,2,70.0,0.0,-96.6102
1,577,1,B,2,70.0,0.0,-93.2203
1,865,2,N,2,70.0,0.0,-89.8305
1,1153,1,B,2,70.0,0.0,-86.4407
1,1441,2,N,2,70.0,0.0,-83.0508
1,1729,1,B,2,70.0,0.0,-79.661
1,2017,2,N,2,70.0,0.0,-76.2712
1,2305,1,B,2,70.0,0.0,-72.8814
1,2593,2,N,2,70.0,0.0,-69.4915
1,2881,1,B,2,70.0,0.0,-66.1017
1,3169,2,N,2,70.0,0.0,-62.7119
1,3457,1,B,2,70.0,0.0,-59.322
1,3745,2,N,2,70.0,0.0,-55.9322
1,4033,1,B,2,70.0,0.0,-52.5424
1,4321,2,N,2,70.0,0.0,-49.1525
1,4609,1,B,2,70.0,0.0,-45.7627
1,4897,2,N,2,70.0,0.0,-42.3729
1,5185,1,B,2,70.0,0.0,-38.9831
1,5473,2,N,2,70.0,0.0,-35.5932
1,5761,1,B,2,70.0,0.0,-32.2034
1,6049,2,N,2,70.0,0.0,-28.8136
1,6337,1,B,2,70.0,0.0,-25.4237
1,6625,2,N,2,70.0,0.0,-22.0339
1,6913,1,B,2,70.0,0.0,-18.6441
1,7201,2,N,2,70.0,0.0,-15.2542
1,7489,1,B,2,70.0,0.0,-11.8644
1,7777,2,N,2,70.0,0.0,-8.47458
1,8065,1,B,2,70.0,0.0,-5.08475
1,8353,2,N,2,70.0,0.0,-1.69491
1,8641,1,B,2,70.0,0.0,1.69491
1,8929,2,N,2,70.0,0.0,5.08475
1,9217,1,B,2,70.0,0.0,8.47458
1,9505,2,N,2,70.0,0.0,11.8644
1,9793,1,B,2,70.0,0.0,15.2542
1,10081,2,N,2,70.0,0.0,18.6441
1,10369,1,B,2,70.0,0.0,22.0339
1,10657,2,N,2,70.0,0.0,25.4237
1,10945,1,B,2,70.0,0.0,28.8136
1,11233,2,N,2,70.0,0.0,32.2034
1,11521,1,B,2,70.0,0.0,35.5932
1,11809,2,N,2,70.0,0.0,38.9831
1,12097,1,B,2,70.0,0.0,42.3729
1,12385,2,N,2,70.0,0.0,45.7627
1,12673,1,B,2,70.0,0.0,49.1525
1,12961,2,N,2,70.0,0.0,52.5424
1,13249,1,B,2,70.0,0.0,55.9322
1,13537,2,N,2,70.0,0.0,59.322
1,13825,1,B,2,70.0,0.0,62.7119
1,14113,2,N,2,70.0,0.0,66.1017
1,14401,1,B,2,70.0,0.0,69.4915
1,14689,2,N,2,70.0,0.0,72.8814
1,14977,1,B,2,70.0,0.0,76.2712
1,15265,2,N,2,70.0,0.0,79.661
1,15553,1,B,2,70.0,0.0,83.0508
1,15841,2,N,2,70.0,0.0,86.4407
1,16129,1,B,2,70.0,0.0,89.8305
1,16417,2,N,2,70.0,0.0,93.2203
1,16705,1,B,2,70.0,0.0,96.6102
1,16993,2,N,1,70.0,0.0,100.0
2,2,2,N,1,69.7336,6.1009,-100.0
2,290,1,B,2,69.7336,6.1009,-96.6102
2,578,2,N,2,69.7336,6.1009,-93.2203
2,866,1,B,2,69.7336,6.1009,-89.8305
2,1154,2,N,2,69.7336,6.1009,-86.4407
