component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
1,60,59,True,30,30,2,58,0,1,16993,70.0,0.0,5.447494307494102e-15,70.0,0.0,-100.0,100.0,200.0
2,60,59,True,30,30,2,58,0,2,16994,69.73360000000001,6.1009000000000055,5.447494307494102e-15,69.99997106977975,0.08726647018714588,-100.0,100.0,200.0
3,60,59,True,30,30,2,58,0,3,16995,68.9364999999999,12.15539999999999,5.447494307494102e-15,69.99996272434711,0.17453341893152813,-100.0,100.0,200.0
4,60,59,True,30,30,2,58,0,4,16996,67.61479999999993,18.117299999999993,5.447494307494102e-15,69.99998384521236,0.2617989592537509,-100.0,100.0,200.0
5,60,59,True,30,30,2,58,0,5,16997,65.77849999999992,23.94139999999999,5.447494307494102e-15,70.0000121157846,0.3490656348779927,-100.0,100.0,200.0
6,60,59,True,30,30,2,58,0,6,16998,63.441499999999934,29.583300000000005,5.447494307494102e-15,69.9999682938499,0.43633286591338677,-100.0,100.0,200.0
7,60,59,True,30,30,2,58,0,7,16999,60.62179999999992,35.0,5.447494307494102e-15,70.00001882314027,0.5235986203477033,-100.0,100.0,200.0
8,60,59,True,30,30,2,58,0,8,17000,57.3406,40.1504,5.447494307494102e-15,69.9999930608568,0.6108661700951069,-100.0,100.0,200.0
9,60,59,True,30,30,2,58,0,9,17001,53.62309999999994,44.99510000000005,5.447494307494102e-15,69.99997055442236,0.698131444363346,-100.0,100.0,200.0
10,60,59,True,30,30,2,58,0,10,17002,49.49749999999996,49.49749999999996,5.447494307494102e-15,70.00003580356221,0.7853981633974483,-100.0,100.0,200.0
11,60,59,True,30,30,2,58,0,11,17003,44.99510000000005,53.62309999999994,5.447494307494102e-15,69.99997055442236,0.8726648824315506,-100.0,100.0,200.0
12,60,59,True,30,30,2,58,0,12,17004,40.1504,57.3406,5.447494307494102e-15,69.9999930608568,0.9599301566997898,-100.0,100.0,200.0
13,60,59,True,30,30,2,58,0,13,17005,35.0,60.62179999999992,5.447494307494102e-15,70.00001882314027,1.0471977064471933,-100.0,100.0,200.0
14,60,59,True,30,30,2,58,0,14,17006,29.583300000000005,63.441499999999934,5.447494307494102e-15,69.9999682938499,1.1344634608815098,-100.0,100.0,200.0
15,60,59,True,30,30,2,58,0,15,17007,23.94139999999999,65.77849999999992,5.447494307494102e-15,70.0000121157846,1.221730691916904,-100.0,100.0,200.0
16,60,59,True,30,30,2,58,0,16,17008,18.117299999999993,67.61479999999993,5.447494307494102e-15,69.99998384521236,1.3089973675411457,-100.0,100.0,200.0
17,60,59,True,30,30,2,58,0,17,17009,12.15539999999999,68.9364999999999,5.447494307494102e-15,69.99996272434711,1.3962629078633686,-100.0,100.0,200.0
18,60,59,True,30,30,2,58,0,18,17010,6.1009000000000055,69.73360000000001,5.447494307494102e-15,69.99997106977975,1.4835298566077508,-100.0,100.0,200.0
19,60,59,True,30,30,2,58,0,19,17011,0.0,70.0,5.447494307494102e-15,70.0,1.5707963267948966,-100.0,100.0,200.0
