atom_id_i,atom_id_j,type_i,type_j,distance_A
5365,5653,1,2,3.3898999999999972
7013,7301,2,1,3.389900000000001
9253,9541,1,2,3.3898200000000003
16734,17022,2,1,3.389799999999994
13425,13713,1,2,3.389800000000001
3704,3992,1,2,3.389800000000001
7876,8164,2,1,3.38983
395,683,1,2,3.3899000000000115
11764,12052,1,2,3.3898999999999972
2327,2615,1,2,3.3898999999999972
4567,4855,1,2,3.389800000000001
15936,16224,2,1,3.389799999999994
13954,14242,1,2,3.389799999999994
10387,10675,1,2,3.389800000000001
12627,12915,1,2,3.389800000000001
2906,3194,2,1,3.389799999999994
14275,14563,2,1,3.389800000000008
7078,7366,2,1,3.389900000000001
10966,11254,2,1,3.389800000000001
1529,1817,1,2,3.389799999999994
15138,15426,2,1,3.389800000000008
5701,5989,1,2,3.389800000000001
9589,9877,1,2,3.389800000000001
7607,7895,2,1,3.3898200000000003
15667,15955,2,1,3.3899000000000115
731,1019,1,2,3.389799999999994
4903,5191,2,1,3.389800000000001
8791,9079,1,2,3.3898399999999995
2921,3209,1,2,3.389799999999994
6809,7097,2,1,3.3897999999999975
3242,3530,2,1,3.3898999999999972
12963,13251,2,1,3.389800000000001
10981,11269,1,2,3.389800000000001
7414,7702,1,2,3.389800000000001
14869,15157,2,1,3.389799999999994
11302,11590,1,2,3.389800000000001
5432,5720,1,2,3.3898999999999972
9320,9608,1,2,3.3898200000000003
13492,13780,1,2,3.389800000000001
6011,6299,2,1,3.389800000000001
10183,10471,1,2,3.3897999999999975
6616,6904,1,2,3.389800000000001
14071,14359,2,1,3.389799999999994
4634,4922,2,1,3.389800000000001
16003,16291,2,1,3.389799999999994
12694,12982,2,1,3.3898999999999972
3257,3545,1,2,3.3898999999999972
7145,7433,2,1,3.389900000000001
11317,11605,1,2,3.389800000000001
1596,1884,1,2,3.389799999999994
3836,4124,2,1,3.389800000000001
15205,15493,2,1,3.389800000000008
8008,8296,2,1,3.38983
9656,9944,1,2,3.389800000000001
11896,12184,2,1,3.389800000000001
2459,2747,1,2,3.3898999999999972
13828,14116,2,1,3.389799999999994
6347,6635,1,2,3.389800000000001
16068,16356,2,1,3.389799999999994
10519,10807,1,2,3.389800000000001
798,1086,1,2,3.389799999999994
14407,14695,1,2,3.3898999999999972
4970,5258,2,1,3.389800000000001
7210,7498,1,2,3.389800000000001
8858,9146,1,2,3.3898399999999995
13030,13318,1,2,3.389800000000001
1661,1949,1,2,3.389799999999994
16918,17206,2,1,3.389799999999994
5549,5837,1,2,3.389800000000001
9721,10009,1,2,3.389800000000001
4172,4460,1,2,3.3898999999999972
8060,8348,2,1,3.38983
2190,2478,1,2,3.389799999999994
863,1151,2,1,3.389799999999994
12232,12520,1,2,3.389800000000001
2795,3083,2,1,3.389800000000008
10250,10538,1,2,3.3897999999999975
6683,6971,2,1,3.3897999999999975
14422,14710,2,1,3.3898999999999972
10855,11143,2,1,3.389900000000001
3374,3662,1,2,3.3898999999999972
14743,15031,2,1,3.389799999999994
12761,13049,2,1,3.3898999999999972
16933,17221,2,1,3.389799999999994
1997,2285,2,1,3.389800000000008
5885,6173,2,1,3.389800000000001
13624,13912,2,1,3.3898999999999972
10057,10345,2,1,3.389900000000001
3903,4191,2,1,3.389800000000001
15272,15560,1,2,3.389799999999994
8075,8363,1,2,3.3898399999999995
11963,12251,2,1,3.389800000000001
16135,16423,1,2,3.389799999999994
1199,1487,1,2,3.3899000000000115
10586,10874,1,2,3.389800000000001
3105,3393,2,1,3.389799999999994
7277,7565,1,2,3.389800000000001
11165,11453,2,1,3.389800000000001
1728,2016,2,1,3.389799999999994
13097,13385,1,2,3.389800000000001
15337,15625,1,2,3.389799999999994
5900,6188,1,2,3.389800000000001
9788,10076,2,1,3.389800000000001
4239,4527,1,2,3.3898999999999972
6479,6767,2,1,3.389800000000001
8411,8699,2,1,3.38982
930,1218,1,2,3.389799999999994
12299,12587,1,2,3.389800000000001
5102,5390,1,2,3.389800000000001
6750,7038,2,1,3.3897999999999975
8990,9278,1,2,3.38983
16471,16759,2,1,3.3899000000000115
13162,13450,1,2,3.389800000000001
3441,3729,1,2,3.3898999999999972
7613,7901,2,1,3.3898200000000003
11501,11789,1,2,3.389800000000001
132,420,1,2,3.389799999999994
2064,2352,1,2,3.389799999999994
15673,15961,2,1,3.3899000000000115
5952,6240,2,1,3.389800000000001
4304,4592,1,2,3.3898999999999972
9519,9807,2,1,3.389800000000001
13691,13979,2,1,3.3898999999999972
10124,10412,1,2,3.3897999999999975
2643,2931,2,1,3.389800000000008
14012,14300,2,1,3.389799999999994
6815,7103,2,1,3.3897999999999975
1266,1554,1,2,3.3899000000000115
14875,15163,2,1,3.389799999999994
9326,9614,1,2,3.3898200000000003
7344,7632,2,1,3.389800000000001
11516,11804,2,1,3.389800000000001
15404,15692,2,1,3.389799999999994
468,756,1,2,3.3899000000000115
4640,4928,2,1,3.389800000000001
9855,10143,1,2,3.389900000000001
8528,8816,1,2,3.38982
2658,2946,1,2,3.389800000000008
12700,12988,2,1,3.3898999999999972
2979,3267,2,1,3.389799999999994
6546,6834,2,1,3.389800000000001
10718,11006,1,2,3.389900000000001
7151,7439,2,1,3.389900000000001
997,1285,1,2,3.389799999999994
14606,14894,2,1,3.3898999999999972
5169,5457,1,2,3.389800000000001
9057,9345,1,2,3.38983
13229,13517,1,2,3.389800000000001
1860,2148,1,2,3.389800000000008
5748,6036,2,1,3.389800000000001
9920,10208,1,2,3.389900000000001
6353,6641,1,2,3.389800000000001
13808,14096,2,1,3.3898999999999972
4371,4659,2,1,3.389800000000001
15740,16028,2,1,3.3899000000000115
12431,12719,2,1,3.389800000000001
16319,16607,1,2,3.389799999999994
2994,3282,1,2,3.389799999999994
6882,7170,2,1,3.3897999999999975
11054,11342,1,2,3.389800000000001
1333,1621,1,2,3.3899000000000115
3573,3861,2,1,3.389800000000001
14942,15230,2,1,3.389799999999994
7745,8033,2,1,3.3898200000000003
9393,9681,1,2,3.3898200000000003
11633,11921,2,1,3.3898999999999972
2196,2484,1,2,3.389799999999994
13565,13853,2,1,3.3898999999999972
6084,6372,1,2,3.389900000000001
10256,10544,1,2,3.3897999999999975
535,823,1,2,3.3899000000000115
14144,14432,1,2,3.389800000000008
4707,4995,2,1,3.389800000000001
6947,7235,1,2,3.389900000000001
8595,8883,1,2,3.38982
1398,1686,1,2,3.3899000000000115
12767,13055,2,1,3.3898999999999972
5286,5574,1,2,3.3898999999999972
16655,16943,1,2,3.3899000000000115
9458,9746,1,2,3.3898200000000003
3909,4197,2,1,3.389800000000001
7797,8085,2,1,3.38983
1927,2215,1,2,3.389800000000008
11969,12257,2,1,3.389800000000001
2532,2820,1,2,3.3898999999999972
9987,10275,1,2,3.389900000000001
6420,6708,1,2,3.389800000000001
14159,14447,2,1,3.389800000000008
10592,10880,1,2,3.389800000000001
3111,3399,2,1,3.389799999999994
12498,12786,2,1,3.389800000000001
16670,16958,2,1,3.3899000000000115
1734,2022,2,1,3.389800000000008
9189,9477,1,2,3.38983
5622,5910,1,2,3.389800000000001
13361,13649,2,1,3.389800000000001
3640,3928,2,1,3.389800000000001
15009,15297,1,2,3.389800000000008
9794,10082,2,1,3.389900000000001
7812,8100,1,2,3.38983
11700,11988,2,1,3.3898999999999972
15872,16160,1,2,3.389799999999994
936,1224,1,2,3.389799999999994
10323,10611,1,2,3.3897999999999975
2842,3130,2,1,3.389800000000008
14211,14499,1,2,3.389800000000008
7014,7302,1,2,3.389900000000001
10902,11190,2,1,3.389900000000001
1465,1753,2,1,3.389799999999994
15074,15362,1,2,3.389800000000008
12834,13122,2,1,3.3898999999999972
9525,9813,2,1,3.389800000000001
3976,4264,2,1,3.389800000000001
6216,6504,1,2,3.389900000000001
8148,8436,1,2,3.3898399999999995
667,955,2,1,3.389799999999994
12036,12324,2,1,3.389800000000001
4839,5127,2,1,3.389800000000001
6487,6775,1,2,3.389800000000001
8727,9015,2,1,3.3898399999999995
16208,16496,1,2,3.389799999999994
12899,13187,2,1,3.3898999999999972
3178,3466,1,2,3.3898999999999972
16787,17075,2,1,3.389799999999994
7350,7638,1,2,3.389800000000001
11238,11526,1,2,3.389800000000001
1801,2089,2,1,3.389800000000008
9256,9544,2,1,3.3898200000000003
4041,4329,1,2,3.3898999999999972
5689,5977,1,2,3.389800000000001
