run,log_file,Step,Atoms,Temp,c_twater,PotEng,KinEng,TotEng,Press,c_msdwater[4]
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,0.0,107280.0,42.083267,50.163344,-257709.22,13457.316,-244251.91,-239.27389,0.0
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,100.0,107280.0,42.06914,50.146504,-264397.05,13452.799,-250944.26,-246.95515,0.022878327
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,200.0,107280.0,42.208016,50.312045,-263106.58,13497.208,-249609.37,-242.4574,0.043287215
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,300.0,107280.0,42.193599,50.29486,-261617.26,13492.598,-248124.66,-242.12557,0.058019015
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,400.0,107280.0,42.31258,50.436686,-266101.98,13530.646,-252571.33,-244.9072,0.070954562
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,500.0,107280.0,42.223412,50.330398,-258650.95,13502.132,-245148.82,-240.47472,0.082858886
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,600.0,107280.0,42.329154,50.456442,-257236.42,13535.946,-243700.48,-234.5094,0.095035028
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,700.0,107280.0,42.19277,50.293872,-255920.81,13492.333,-242428.48,-236.73322,0.10694045
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,800.0,107280.0,42.04907,50.122581,-254771.49,13446.381,-241325.11,-232.67012,0.1163452
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,900.0,107280.0,42.139859,50.230802,-260176.42,13475.413,-246701.01,-241.11971,0.12488808
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1000.0,107280.0,42.186157,50.285989,-261883.94,13490.219,-248393.72,-243.3607,0.13341522
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1100.0,107280.0,42.225691,50.333113,-258741.24,13502.86,-245238.38,-237.86962,0.14164814
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1200.0,107280.0,42.021349,50.089538,-263357.99,13437.516,-249920.47,-245.01553,0.15053509
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1300.0,107280.0,42.262561,50.377063,-263054.48,13514.651,-249539.83,-240.51229,0.15987182
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1400.0,107280.0,42.275875,50.392933,-262921.47,13518.908,-249402.56,-243.39075,0.16878637
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1500.0,107280.0,42.009833,50.07581,-260595.88,13433.834,-247162.05,-235.69692,0.17754212
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1600.0,107280.0,41.843817,49.877919,-255405.98,13380.746,-242025.24,-234.98244,0.18661418
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1700.0,107280.0,42.130189,50.219275,-259451.86,13472.321,-245979.54,-237.85089,0.19605579
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1800.0,107280.0,42.146613,50.238852,-261847.22,13477.573,-248369.64,-244.32368,0.20494993
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,1900.0,107280.0,42.139209,50.230028,-262790.28,13475.206,-249315.08,-243.73573,0.21360786
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2000.0,107280.0,42.231644,50.34021,-259395.81,13504.764,-245891.05,-237.12968,0.22221239
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2100.0,107280.0,42.001391,50.065747,-265517.9,13431.134,-252086.77,-246.95071,0.23133947
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2200.0,107280.0,42.276996,50.394269,-255157.05,13519.267,-241637.79,-229.79474,0.24020791
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2300.0,107280.0,42.194842,50.296342,-252995.01,13492.996,-239502.02,-232.7214,0.24894182
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2400.0,107280.0,42.051597,50.125594,-256464.82,13447.189,-243017.63,-227.71921,0.25736326
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,2500.0,107280.0,41.969616,50.027872,-255905.88,13420.973,-242484.91,-234.34163,0.26683004
