run,log_file,Step,Atoms,Temp,c_twater,PotEng,KinEng,TotEng,Press,c_msdwater[4]
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,0.0,90000.0,300.06205,300.06205,-132905.78,53664.784,-79241.0,68.729314,2.2417498e-24
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,500.0,90000.0,302.08808,302.08808,-132421.6,54027.131,-78394.47,14.424395,0.090129976
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,1000.0,90000.0,298.93491,298.93491,-128977.27,53463.2,-75514.066,-12.27674,0.2511906
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,1500.0,90000.0,298.50487,298.50487,-142429.0,53386.29,-89042.713,-24.520675,0.40713113
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,2000.0,90000.0,299.40849,299.40849,-134792.32,53547.898,-81244.427,-11.713512,0.55384308
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,2500.0,90000.0,299.90825,299.90825,-128171.38,53637.277,-74534.103,-7.4957872,0.68946343
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,3000.0,90000.0,300.69966,300.69966,-144074.93,53778.818,-90296.107,-23.943663,0.82167666
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,3500.0,90000.0,300.80329,300.80329,-143060.82,53797.352,-89263.473,-20.325802,0.95411323
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,4000.0,90000.0,301.31584,301.31584,-147444.22,53889.019,-93555.202,-31.348586,1.0919487
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,4500.0,90000.0,300.80875,300.80875,-133815.6,53798.329,-80017.274,-20.039343,1.2341779
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,5000.0,90000.0,301.31195,301.31195,-138368.9,53888.323,-84480.576,-24.434108,1.3763136
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,5500.0,90000.0,300.62416,300.62416,-138061.59,53765.315,-84296.278,-23.555533,1.5193273
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,6000.0,90000.0,301.24708,301.24708,-131823.21,53876.721,-77946.489,-11.531184,1.6685267
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,6500.0,90000.0,301.45982,301.45982,-144235.28,53914.769,-90320.512,-27.785391,1.8247113
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,7000.0,90000.0,300.49344,300.49344,-135483.32,53741.936,-81741.388,-21.786604,1.9886658
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,7500.0,90000.0,301.67708,301.67708,-134364.41,53953.625,-80410.781,-17.645622,2.1580432
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,8000.0,90000.0,301.50324,301.50324,-140683.56,53922.535,-86761.022,-26.432529,2.3309702
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,8500.0,90000.0,301.55841,301.55841,-128423.3,53932.402,-74490.895,-12.224421,2.5094033
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,9000.0,90000.0,302.10771,302.10771,-120516.0,54030.642,-66485.354,-4.3614366,2.6918101
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,9500.0,90000.0,300.95029,300.95029,-115412.85,53823.642,-61589.206,9.5452461,2.8812698
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,10000.0,90000.0,300.91603,300.91603,-121112.91,53817.514,-67295.4,1.4737085,3.0753472
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,10500.0,90000.0,302.36136,302.36136,-115455.12,54076.006,-61379.114,4.9868965,3.2737013
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,11000.0,90000.0,301.34379,301.34379,-120136.16,53894.017,-66242.142,-2.8532007,3.4747944
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,11500.0,90000.0,300.83629,300.83629,-124158.93,53803.253,-70355.681,-5.4001396,3.6776052
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,12000.0,90000.0,301.0073,301.0073,-128667.68,53833.837,-74833.842,-12.224062,3.8869028
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,12500.0,90000.0,301.60345,301.60345,-122209.83,53940.457,-68269.378,-5.7309947,4.1011201
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,13000.0,90000.0,302.17398,302.17398,-116430.55,54042.493,-62388.053,5.1775502,4.323469
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,13500.0,90000.0,299.53992,299.53992,-125247.91,53571.403,-71676.508,-8.1473025,4.5502193
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,14000.0,90000.0,300.76775,300.76775,-111203.43,53790.996,-57412.436,6.6729737,4.7884438
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,14500.0,90000.0,299.72847,299.72847,-121499.72,53605.125,-67894.595,-2.2596268,5.0329129
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,15000.0,90000.0,301.39791,301.39791,-119468.22,53903.697,-65564.526,-5.3665541,5.2803139
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,15500.0,90000.0,302.29896,302.29896,-132444.61,54064.846,-78379.759,-15.965423,5.5262609
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,16000.0,90000.0,299.60485,299.60485,-118741.34,53583.015,-65158.323,3.4981087,5.7733534
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,16500.0,90000.0,301.3456,301.3456,-111037.67,53894.342,-57143.324,9.8223244,6.0272082
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,17000.0,90000.0,300.37496,300.37496,-105079.75,53720.746,-51359.007,12.37186,6.2885117
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,17500.0,90000.0,299.7822,299.7822,-119375.9,53614.733,-65761.168,-4.2428256,6.5523896
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,18000.0,90000.0,299.82772,299.82772,-115610.58,53622.875,-61987.701,5.3232291,6.817572
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,18500.0,90000.0,302.36808,302.36808,-114569.96,54077.207,-60492.757,5.5609107,7.0834926
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,19000.0,90000.0,301.5111,301.5111,-119511.55,53923.941,-65587.614,-1.7081544,7.3614885
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,19500.0,90000.0,302.88083,302.88083,-113579.85,54168.91,-59410.941,3.3919041,7.64886
nvt300_water_only_contained,simulations/inorganic/water_only_control/nvt300_water_only_contained_30000w.log,20000.0,90000.0,302.23823,302.23823,-116669.99,54053.983,-62616.009,1.1205886,7.9348304
