atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.22574,1.35929,0.13355
2,N0002,1.20374,1.29238,0.08864
3,B0003,1.22648,1.36287,0.13639
4,N0004,1.20413,1.29662,0.09249
5,B0005,1.22578,1.27276,0.04697
6,N0006,1.20385,1.27863,0.07478
7,B0007,1.22457,1.39949,0.17492
8,N0008,1.20376,1.33276,0.12899
9,B0009,1.22524,1.41730,0.19206
10,N0010,1.20332,1.34222,0.13890
11,B0011,1.22586,1.32611,0.10026
12,N0012,1.20390,1.31452,0.11062
13,B0013,1.22667,1.34734,0.12067
14,N0014,1.20358,1.30943,0.10585
15,B0015,1.22651,1.22218,-0.00433
16,N0016,1.20332,1.26856,0.06524
17,B0017,1.22646,1.35792,0.13146
18,N0018,1.20327,1.31102,0.10775
19,B0019,1.22652,1.37579,0.14927
20,N0020,1.20344,1.31419,0.11075
21,B0021,1.22562,1.32510,0.09947
22,N0022,1.20367,1.28552,0.08185
23,B0023,1.22500,1.31018,0.08518
24,N0024,1.20375,1.25879,0.05505
25,B0025,1.22559,1.27118,0.04559
26,N0026,1.20419,1.21640,0.01221
27,B0027,1.22444,1.22551,0.00107
28,N0028,1.20342,1.17041,-0.03301
29,B0029,1.22721,1.14845,-0.07875
30,N0030,1.20367,1.12027,-0.08340
31,B0031,1.22627,1.18913,-0.03714
32,N0032,1.20327,1.11803,-0.08523
33,B0033,1.22711,1.17046,-0.05665
34,N0034,1.20357,1.11147,-0.09210
35,B0035,1.22384,1.17322,-0.05062
36,N0036,1.20323,1.10970,-0.09353
37,B0037,1.22671,1.14960,-0.07711
38,N0038,1.20311,1.08903,-0.11408
39,B0039,1.22532,1.11063,-0.11469
40,N0040,1.20340,1.06583,-0.13756
41,B0041,1.22435,1.06115,-0.16320
42,N0042,1.20376,1.06159,-0.14217
43,B0043,1.22512,1.20039,-0.02473
44,N0044,1.20330,1.12845,-0.07484
45,B0045,1.22500,1.22566,0.00067
46,N0046,1.20390,1.17638,-0.02753
47,B0047,1.22604,1.26542,0.03937
48,N0048,1.20385,1.23694,0.03309
49,B0049,1.22622,1.34093,0.11471
50,N0050,1.20313,1.27040,0.06727
51,B0051,1.22545,1.27579,0.05034
52,N0052,1.20350,1.25138,0.04789
53,B0053,1.22638,1.30423,0.07785
54,N0054,1.20371,1.26817,0.06445
55,B0055,1.22488,1.34932,0.12444
56,N0056,1.20408,1.29863,0.09456
57,B0057,1.22651,1.34676,0.12025
58,N0058,1.20366,1.29843,0.09477
59,B0059,1.22540,1.24100,0.01559
60,N0060,1.20305,1.25579,0.05274
61,B0061,1.19934,1.27832,0.07898
62,N0062,1.20233,1.26432,0.06199
63,B0063,1.20042,1.27758,0.07716
64,N0064,1.20263,1.28045,0.07782
65,B0065,1.19944,1.30611,0.10667
66,N0066,1.20304,1.30165,0.09861
67,B0067,1.19908,1.32990,0.13082
68,N0068,1.20265,1.32275,0.12010
69,B0069,1.20016,1.31548,0.11532
70,N0070,1.20237,1.31083,0.10846
71,B0071,1.20030,1.30642,0.10612
72,N0072,1.20294,1.30598,0.10304
73,B0073,1.20001,1.28635,0.08634
74,N0074,1.20315,1.29652,0.09337
75,B0075,1.19974,1.29650,0.09677
76,N0076,1.20274,1.29942,0.09668
77,B0077,1.19991,1.30004,0.10013
78,N0078,1.20305,1.30191,0.09885
79,B0079,1.20011,1.29198,0.09187
80,N0080,1.20234,1.28439,0.08205
81,B0081,1.19989,1.25802,0.05813
82,N0082,1.20268,1.23994,0.03726
83,B0083,1.19947,1.21774,0.01827
84,N0084,1.20230,1.20711,0.00481
85,B0085,1.19990,1.18525,-0.01464
86,N0086,1.20263,1.17265,-0.02998
87,B0087,1.19997,1.13503,-0.06494
88,N0088,1.20313,1.13867,-0.06446
89,B0089,1.19987,1.10591,-0.09396
90,N0090,1.20285,1.10964,-0.09321
91,B0091,1.19982,1.10283,-0.09699
92,N0092,1.20281,1.10477,-0.09804
93,B0093,1.19983,1.09656,-0.10326
94,N0094,1.20204,1.08167,-0.12037
95,B0095,1.19966,1.08201,-0.11766
96,N0096,1.20326,1.06006,-0.14320
97,B0097,1.19916,1.06059,-0.13857
98,N0098,1.20273,1.05076,-0.15197
99,B0099,1.19951,1.06095,-0.13855
100,N0100,1.20230,1.05208,-0.15022
101,B0101,1.20008,1.08119,-0.11889
102,N0102,1.20323,1.06350,-0.13973
103,B0103,1.19945,1.13150,-0.06795
104,N0104,1.20259,1.11017,-0.09242
105,B0105,1.19927,1.19341,-0.00585
106,N0106,1.20227,1.17260,-0.02966
107,B0107,1.19857,1.24901,0.05044
108,N0108,1.20151,1.23563,0.03413
109,B0109,1.20027,1.25647,0.05619
110,N0110,1.20342,1.24705,0.04363
111,B0111,1.19919,1.25465,0.05545
112,N0112,1.20280,1.25465,0.05185
113,B0113,1.20018,1.27099,0.07081
114,N0114,1.20300,1.27099,0.06799
115,B0115,1.19920,1.29770,0.09849
116,N0116,1.20280,1.28830,0.08550
117,B0117,1.20027,1.27365,0.07338
118,N0118,1.20248,1.26804,0.06556
119,B0119,1.19929,1.26348,0.06419
120,N0120,1.20228,1.26055,0.05828
121,B0121,1.20413,1.27281,0.06868
122,N0122,1.20511,1.28935,0.08424
123,B0123,1.20385,1.28707,0.08322
124,N0124,1.20608,1.30048,0.09440
125,B0125,1.20376,1.30789,0.10412
126,N0126,1.20597,1.30951,0.10354
127,B0127,1.20265,1.32101,0.11837
128,N0128,1.20547,1.31540,0.10993
129,B0129,1.20304,1.30908,0.10604
130,N0130,1.20527,1.30832,0.10305
131,B0131,1.20358,1.30477,0.10119
132,N0132,1.20579,1.29809,0.09230
133,B0133,1.20343,1.30227,0.09885
134,N0134,1.20542,1.30360,0.09819
135,B0135,1.20327,1.29802,0.09475
136,N0136,1.20537,1.29002,0.08466
137,B0137,1.20344,1.29792,0.09448
138,N0138,1.20565,1.29325,0.08760
139,B0139,1.20367,1.25924,0.05557
140,N0140,1.20590,1.26004,0.05414
141,B0141,1.20300,1.22323,0.02022
142,N0142,1.20657,1.22554,0.01897
143,B0143,1.20280,1.18091,-0.02188
144,N0144,1.20559,1.18379,-0.02180
145,B0145,1.20342,1.15362,-0.04980
146,N0146,1.20566,1.15691,-0.04874
147,B0147,1.20367,1.12251,-0.08116
148,N0148,1.20465,1.12758,-0.07707
149,B0149,1.20327,1.11222,-0.09104
150,N0150,1.20527,1.11812,-0.08715
151,B0151,1.20259,1.08868,-0.11391
152,N0152,1.20553,1.09279,-0.11274
153,B0153,1.20323,1.06550,-0.13773
154,N0154,1.20638,1.07274,-0.13364
155,B0155,1.20311,1.05846,-0.14465
156,N0156,1.20531,1.05474,-0.15057
157,B0157,1.20340,1.04641,-0.15698
158,N0158,1.20622,1.04751,-0.15871
159,B0159,1.20326,1.04237,-0.16089
160,N0160,1.20599,1.03435,-0.17164
161,B0161,1.20425,1.08093,-0.12332
162,N0162,1.20520,1.07458,-0.13062
163,B0163,1.20291,1.13531,-0.06760
164,N0164,1.20589,1.13234,-0.07355
165,B0165,1.20285,1.20495,0.00210
166,N0166,1.20594,1.19613,-0.00981
167,B0167,1.20313,1.24348,0.04035
168,N0168,1.20439,1.23928,0.03488
169,B0169,1.20350,1.24335,0.03985
170,N0170,1.20573,1.25973,0.05400
171,B0171,1.20230,1.25893,0.05663
172,N0172,1.20587,1.25968,0.05382
173,B0173,1.20268,1.27999,0.07731
174,N0174,1.20547,1.27065,0.06517
175,B0175,1.20275,1.27796,0.07521
176,N0176,1.20589,1.28063,0.07474
177,B0177,1.20403,1.26812,0.06409
178,N0178,1.20620,1.27404,0.06784
179,B0179,1.20374,1.25746,0.05373
180,N0180,1.20574,1.27149,0.06575
181,B0181,1.20579,1.29626,0.09047
182,N0182,1.20674,1.30699,0.10025
183,B0183,1.20527,1.30142,0.09616
184,N0184,1.20613,1.31244,0.10631
185,B0185,1.20473,1.31569,0.11097
186,N0186,1.20614,1.31993,0.11379
187,B0187,1.20597,1.31302,0.10705
188,N0188,1.20597,1.30943,0.10346
189,B0189,1.20608,1.30327,0.09719
190,N0190,1.20608,1.29299,0.08691
191,B0191,1.20609,1.29994,0.09386
192,N0192,1.20727,1.30256,0.09529
193,B0193,1.20574,1.29834,0.09261
194,N0194,1.20574,1.29842,0.09268
195,B0195,1.20599,1.30004,0.09405
196,N0196,1.20717,1.29445,0.08727
197,B0197,1.20589,1.27646,0.07056
198,N0198,1.20589,1.27202,0.06613
199,B0199,1.20547,1.24038,0.03491
200,N0200,1.20628,1.24906,0.04277
201,B0201,1.20512,1.20814,0.00302
202,N0202,1.20587,1.21851,0.01264
203,B0203,1.20573,1.16867,-0.03706
204,N0204,1.20623,1.17188,-0.03435
205,B0205,1.20534,1.14484,-0.06051
206,N0206,1.20630,1.14616,-0.06014
207,B0207,1.20594,1.12611,-0.07983
208,N0208,1.20594,1.12984,-0.07610
209,B0209,1.20589,1.11279,-0.09310
210,N0210,1.20589,1.11773,-0.08816
211,B0211,1.20520,1.07922,-0.12598
212,N0212,1.20615,1.08116,-0.12499
213,B0213,1.20549,1.05855,-0.14694
214,N0214,1.20599,1.06113,-0.14487
215,B0215,1.20481,1.05035,-0.15445
216,N0216,1.20622,1.04136,-0.16486
217,B0217,1.20531,1.03244,-0.17287
218,N0218,1.20590,1.02718,-0.17872
219,B0219,1.20546,1.05326,-0.15220
220,N0220,1.20638,1.05968,-0.14669
221,B0221,1.20455,1.10334,-0.10121
222,N0222,1.20553,1.09850,-0.10703
223,B0223,1.20527,1.16336,-0.04191
224,N0224,1.20527,1.16028,-0.04499
225,B0225,1.20465,1.22006,0.01541
226,N0226,1.20465,1.21117,0.00653
227,B0227,1.20566,1.26064,0.05498
228,N0228,1.20657,1.25860,0.05204
229,B0229,1.20559,1.26452,0.05893
230,N0230,1.20640,1.26712,0.06072
231,B0231,1.20516,1.26151,0.05636
232,N0232,1.20657,1.26266,0.05609
233,B0233,1.20503,1.27087,0.06584
234,N0234,1.20590,1.27401,0.06811
235,B0235,1.20565,1.27498,0.06934
236,N0236,1.20660,1.29534,0.08874
237,B0237,1.20537,1.27951,0.07415
238,N0238,1.20537,1.29049,0.08512
239,B0239,1.20542,1.29008,0.08467
240,N0240,1.20542,1.30112,0.09570
241,B0241,1.20476,1.31091,0.10614
242,N0242,1.20608,1.30785,0.10176
243,B0243,1.20597,1.31497,0.10900
244,N0244,1.20597,1.31614,0.11017
245,B0245,1.20473,1.31467,0.10994
246,N0246,1.20547,1.32182,0.11635
247,B0247,1.20527,1.29573,0.09046
248,N0248,1.20527,1.30325,0.09798
249,B0249,1.20579,1.29551,0.08971
250,N0250,1.20579,1.29644,0.09065
251,B0251,1.20542,1.29816,0.09274
252,N0252,1.20542,1.28912,0.08371
253,B0253,1.20537,1.29411,0.08875
254,N0254,1.20537,1.29304,0.08768
255,B0255,1.20565,1.28512,0.07947
256,N0256,1.20565,1.28631,0.08067
257,B0257,1.20503,1.26133,0.05630
258,N0258,1.20590,1.25372,0.04782
259,B0259,1.20516,1.23763,0.03247
260,N0260,1.20657,1.24065,0.03408
261,B0261,1.20559,1.19961,-0.00598
262,N0262,1.20559,1.21313,0.00754
263,B0263,1.20566,1.15677,-0.04889
264,N0264,1.20566,1.16756,-0.03809
265,B0265,1.20563,1.13394,-0.07169
266,N0266,1.20465,1.13802,-0.06663
267,B0267,1.20527,1.12916,-0.07610
268,N0268,1.20527,1.12461,-0.08066
269,B0269,1.20455,1.09900,-0.10555
270,N0270,1.20455,1.10608,-0.09847
271,B0271,1.20546,1.07536,-0.13010
272,N0272,1.20546,1.08188,-0.12358
273,B0273,1.20531,1.05955,-0.14576
274,N0274,1.20590,1.06201,-0.14389
275,B0275,1.20481,1.02774,-0.17707
276,N0276,1.20622,1.03546,-0.17076
277,B0277,1.20549,1.03801,-0.16748
278,N0278,1.20599,1.03627,-0.16972
279,B0279,1.20520,1.07551,-0.12969
280,N0280,1.20615,1.07549,-0.13066
281,B0281,1.20589,1.13540,-0.07050
282,N0282,1.20589,1.13543,-0.07047
283,B0283,1.20594,1.18339,-0.02255
284,N0284,1.20594,1.18201,-0.02393
285,B0285,1.20534,1.22853,0.02319
286,N0286,1.20630,1.21725,0.01096
287,B0287,1.20573,1.25603,0.05031
288,N0288,1.20573,1.25752,0.05180
289,B0289,1.20445,1.26834,0.06389
290,N0290,1.20587,1.27194,0.06607
291,B0291,1.20547,1.26131,0.05584
292,N0292,1.20628,1.27499,0.06871
293,B0293,1.20457,1.28929,0.08471
294,N0294,1.20589,1.29362,0.08773
295,B0295,1.20620,1.29689,0.09070
296,N0296,1.20599,1.30298,0.09699
297,B0297,1.20574,1.29048,0.08474
298,N0298,1.20574,1.29155,0.08581
299,B0299,1.20609,1.30395,0.09786
300,N0300,1.20609,1.29811,0.09202
301,B0301,1.20527,1.30871,0.10344
302,N0302,1.20527,1.30648,0.10121
303,B0303,1.20473,1.31551,0.11078
304,N0304,1.20547,1.30986,0.10439
305,B0305,1.20516,1.31399,0.10883
306,N0306,1.20597,1.31197,0.10600
307,B0307,1.20476,1.30194,0.09717
308,N0308,1.20608,1.30909,0.10300
309,B0309,1.20511,1.29432,0.08921
310,N0310,1.20609,1.30203,0.09594
311,B0311,1.20574,1.29351,0.08777
312,N0312,1.20674,1.28845,0.08171
313,B0313,1.20501,1.28813,0.08312
314,N0314,1.20599,1.28713,0.08115
315,B0315,1.20457,1.26949,0.06491
316,N0316,1.20589,1.26664,0.06075
317,B0317,1.20488,1.25328,0.04839
318,N0318,1.20547,1.25837,0.05290
319,B0319,1.20445,1.22199,0.01754
320,N0320,1.20587,1.22905,0.02319
321,B0321,1.20486,1.19408,-0.01078
322,N0322,1.20573,1.19569,-0.01004
323,B0323,1.20534,1.15764,-0.04771
324,N0324,1.20630,1.16840,-0.03790
325,B0325,1.20594,1.13828,-0.06766
326,N0326,1.20594,1.15378,-0.05217
327,B0327,1.20589,1.11362,-0.09227
328,N0328,1.20589,1.10853,-0.09736
329,B0329,1.20520,1.08789,-0.11731
330,N0330,1.20615,1.08982,-0.11633
331,B0331,1.20549,1.06954,-0.13596
332,N0332,1.20549,1.06054,-0.14495
333,B0333,1.20481,1.04442,-0.16039
334,N0334,1.20622,1.05099,-0.15523
335,B0335,1.20450,1.03943,-0.16507
336,N0336,1.20590,1.05170,-0.15420
337,B0337,1.20546,1.05289,-0.15257
338,N0338,1.20546,1.05525,-0.15022
339,B0339,1.20455,1.09602,-0.10853
340,N0340,1.20455,1.09020,-0.11435
341,B0341,1.20527,1.16009,-0.04517
342,N0342,1.20627,1.15611,-0.05015
343,B0343,1.20465,1.20289,-0.00175
344,N0344,1.20465,1.19848,-0.00617
345,B0345,1.20525,1.23202,0.02677
346,N0346,1.20566,1.22544,0.01978
347,B0347,1.20500,1.26662,0.06161
348,N0348,1.20559,1.26134,0.05575
349,B0349,1.20516,1.27663,0.07147
350,N0350,1.20657,1.27560,0.06903
351,B0351,1.20503,1.28567,0.08063
352,N0352,1.20590,1.28481,0.07891
353,B0353,1.20565,1.29966,0.09402
354,N0354,1.20660,1.30669,0.10009
355,B0355,1.20537,1.29828,0.09291
356,N0356,1.20537,1.30608,0.10072
357,B0357,1.20432,1.29458,0.09026
358,N0358,1.20542,1.30066,0.09525
359,B0359,1.20484,1.30761,0.10277
360,N0360,1.20579,1.30540,0.09960
361,B0361,1.20516,1.30416,0.09900
362,N0362,1.20597,1.30695,0.10098
363,B0363,1.20473,1.31124,0.10651
364,N0364,1.20547,1.29921,0.09373
365,B0365,1.20527,1.30926,0.10399
366,N0366,1.20527,1.31287,0.10760
367,B0367,1.20484,1.30153,0.09669
368,N0368,1.20579,1.31733,0.11154
369,B0369,1.20542,1.28814,0.08272
370,N0370,1.20442,1.29191,0.08748
371,B0371,1.20537,1.28409,0.07873
372,N0372,1.20437,1.28309,0.07872
373,B0373,1.20469,1.27904,0.07435
374,N0374,1.20565,1.27319,0.06755
375,B0375,1.20503,1.26753,0.06250
376,N0376,1.20503,1.27332,0.06829
377,B0377,1.20516,1.24217,0.03701
378,N0378,1.20583,1.24078,0.03495
379,B0379,1.20559,1.21386,0.00827
380,N0380,1.20559,1.20975,0.00416
381,B0381,1.20566,1.18866,-0.01700
382,N0382,1.20566,1.19125,-0.01441
383,B0383,1.20465,1.15917,-0.04548
384,N0384,1.20465,1.15064,-0.05401
385,B0385,1.20527,1.12913,-0.07613
386,N0386,1.20527,1.13231,-0.07296
387,B0387,1.20455,1.09111,-0.11344
388,N0388,1.20455,1.09158,-0.11297
389,B0389,1.20546,1.07728,-0.12818
390,N0390,1.20546,1.07247,-0.13299
391,B0391,1.20450,1.05417,-0.15034
392,N0392,1.20590,1.05077,-0.15513
393,B0393,1.20481,1.05281,-0.15200
394,N0394,1.20622,1.04775,-0.15847
395,B0395,1.20463,1.05602,-0.14861
396,N0396,1.20549,1.04531,-0.16018
397,B0397,1.20520,1.06627,-0.13893
398,N0398,1.20615,1.07331,-0.13284
399,B0399,1.20589,1.12545,-0.08045
400,N0400,1.20490,1.11947,-0.08543
401,B0401,1.20495,1.17221,-0.03274
402,N0402,1.20594,1.16593,-0.04001
403,B0403,1.20534,1.20678,0.00143
404,N0404,1.20630,1.20191,-0.00439
405,B0405,1.20486,1.23636,0.03149
406,N0406,1.20573,1.23717,0.03144
407,B0407,1.20445,1.27295,0.06850
408,N0408,1.20512,1.26814,0.06302
409,B0409,1.20547,1.27969,0.07422
410,N0410,1.20547,1.28258,0.07711
411,B0411,1.20457,1.29634,0.09176
412,N0412,1.20589,1.30513,0.09924
413,B0413,1.20599,1.31402,0.10804
414,N0414,1.20599,1.31059,0.10461
415,B0415,1.20574,1.30361,0.09787
416,N0416,1.20574,1.30564,0.09991
417,B0417,1.20609,1.29931,0.09322
418,N0418,1.20609,1.30292,0.09683
419,B0419,1.20476,1.31273,0.10796
420,N0420,1.20608,1.30967,0.10359
421,B0421,1.20406,1.30431,0.10025
422,N0422,1.20547,1.30479,0.09931
423,B0423,1.20516,1.30734,0.10218
424,N0424,1.20597,1.31252,0.10655
425,B0425,1.20476,1.32295,0.11819
