case,trajectory,solver_success,max_trace_error,min_density_eigenvalue,max_PYR2,final_PYR2,t_PYR2_10pct_fs,t_PYR2_20pct_fs,t_PYR2_30pct_fs
coupling_disorder_2meV,0,True,1.1666544754404857e-14,0.0,0.3315869242011317,0.3063734508992301,150.0,350.0,1440.0
coupling_disorder_2meV,1,True,1.2951849317108125e-14,0.0,0.3290026602320341,0.29548739689249803,130.0,390.0,1580.0
coupling_disorder_2meV,2,True,9.769822129863716e-15,0.0,0.3169313666978874,0.30562738324460703,140.0,380.0,1260.0
coupling_disorder_2meV,3,True,1.6344000738353883e-14,0.0,0.31390275110281557,0.30696764710378394,110.0,390.0,1490.0
coupling_disorder_2meV,4,True,2.5364017008470042e-14,0.0,0.3198316381796397,0.30104572554742776,130.0,330.0,1560.0
coupling_disorder_2meV,5,True,1.650980745421305e-14,0.0,0.32012842649640694,0.30735709312735493,120.0,360.0,1350.0
coupling_disorder_2meV,6,True,1.0600068696835719e-14,0.0,0.313745490044356,0.3024024334874938,150.0,380.0,1260.0
coupling_disorder_2meV,7,True,2.1243511962775315e-14,0.0,0.3210673108586402,0.3076305145003813,110.0,380.0,1270.0
coupling_disorder_2meV,8,True,1.3103884851832174e-14,0.0,0.3158027382792104,0.3046383985637046,150.0,380.0,1410.0
coupling_disorder_2meV,9,True,1.1935885140136265e-14,0.0,0.31829939823134956,0.2966861254605358,120.0,380.0,1110.0
coupling_disorder_2meV,10,True,1.07414477924703e-14,0.0,0.3122123932298175,0.3027339566411218,120.0,390.0,1380.0
coupling_disorder_2meV,11,True,1.1573146990127475e-14,0.0,0.3125760027593734,0.2901002402438,150.0,380.0,1310.0
coupling_disorder_2meV,12,True,2.1977152375084642e-14,0.0,0.31867773950366074,0.3026132823890862,140.0,360.0,1060.0
coupling_disorder_2meV,13,True,1.0644962345091675e-14,0.0,0.31728456549696205,0.31361611942438133,150.0,340.0,1940.0
coupling_disorder_2meV,14,True,7.460503001411218e-15,0.0,0.3145600789640998,0.3048615466879805,140.0,380.0,1500.0
coupling_disorder_2meV,15,True,2.2232182597018458e-14,0.0,0.31601411933604306,0.30898796979292303,150.0,390.0,1380.0
coupling_disorder_2meV,16,True,1.4479700541503707e-14,0.0,0.31921572654034813,0.30765594281412756,140.0,350.0,1390.0
coupling_disorder_2meV,17,True,1.1706551209315298e-14,0.0,0.3200321519916535,0.3000846787723762,110.0,380.0,1230.0
coupling_disorder_2meV,18,True,1.858091442094867e-14,0.0,0.33475788994338945,0.3052605381716446,90.0,360.0,1350.0
coupling_disorder_2meV,19,True,1.0031143018632186e-14,0.0,0.31949656561340134,0.30314760773658134,120.0,380.0,1460.0
coupling_disorder_2meV,20,True,2.158726548113397e-14,0.0,0.3181116255213355,0.30803274339879827,150.0,390.0,1440.0
coupling_disorder_2meV,21,True,1.692104966229373e-14,0.0,0.3127383907604438,0.2988465555596593,110.0,380.0,1610.0
coupling_disorder_2meV,22,True,1.181927715660773e-14,0.0,0.3209815771897463,0.2956478861965128,140.0,390.0,1300.0
coupling_disorder_2meV,23,True,1.1616855058990665e-14,0.0,0.30989543388575164,0.3055301056651262,140.0,380.0,1370.0
coupling_disorder_2meV,24,True,9.874753510395206e-15,0.0,0.31606314387800855,0.3038904108679936,150.0,390.0,1290.0
coupling_disorder_2meV,25,True,2.095911801941828e-14,0.0,0.31746210251033286,0.3056716469381021,90.0,350.0,1200.0
coupling_disorder_2meV,26,True,1.5441072520327397e-14,0.0,0.31349883278967416,0.30346617804492176,100.0,370.0,1510.0
coupling_disorder_2meV,27,True,1.021850661125566e-14,0.0,0.3320856589820725,0.30888420811023953,120.0,360.0,1520.0
coupling_disorder_2meV,28,True,1.955013143961494e-14,0.0,0.3139463692388919,0.2988418756411984,130.0,390.0,1300.0
coupling_disorder_2meV,29,True,1.2145154216738793e-14,0.0,0.313532045784111,0.30642296566463223,130.0,380.0,1420.0
