frame,time_ps,raw_eigen_index,matched_corrected_eigen_index,absolute_eigenvector_overlap,one_minus_overlap
0,0.0,1,1,0.9999999769778697,2.302213031324385e-08
0,0.0,2,2,0.9999946629884551,5.337011544925829e-06
0,0.0,3,3,0.999993113414638,6.886585361964848e-06
0,0.0,4,4,0.9999982946711677,1.7053288322577131e-06
1,5.0,1,1,0.999999979015185,2.0984814996793943e-08
1,5.0,2,2,0.9999976857854713,2.314214528675862e-06
1,5.0,3,3,0.9999980274502963,1.972549703688209e-06
1,5.0,4,4,0.9999995126123913,4.873876087163609e-07
2,10.0,1,1,0.9999999787208554,2.1279144557517782e-08
2,10.0,2,2,0.9999869907210063,1.3009278993725282e-05
2,10.0,3,3,0.999976700369106,2.329963089398035e-05
2,10.0,4,4,0.9999698028007556,3.0197199244352824e-05
3,15.0,1,1,0.9999999833086319,1.6691368065480106e-08
3,15.0,2,2,0.9999990174438074,9.825561926302129e-07
3,15.0,3,3,0.9999995974299343,4.0257006572730347e-07
3,15.0,4,4,0.9999992216200717,7.783799282901072e-07
4,20.0,1,1,0.999999978794726,2.1205273981195205e-08
4,20.0,2,2,0.9999973447460704,2.655253929617629e-06
4,20.0,3,3,0.9999816206052441,1.837939475590744e-05
4,20.0,4,4,0.9999839452599025,1.6054740097470876e-05
5,25.0,1,1,0.999999975423704,2.4576295998279818e-08
5,25.0,2,2,0.9999974979892584,2.502010741589622e-06
5,25.0,3,3,0.9999976600132602,2.3399867398188334e-06
5,25.0,4,4,0.9999998092350848,1.9076491519776084e-07
6,30.0,1,1,0.9999999782309363,2.176906366280207e-08
6,30.0,2,2,0.9999970986563254,2.901343674643897e-06
6,30.0,3,3,0.9999905914829886,9.40851701136669e-06
6,30.0,4,4,0.9999880029429278,1.199705707222165e-05
7,35.0,1,1,0.999999975681397,2.4318603020212493e-08
7,35.0,2,2,0.9999989877856307,1.0122143693225283e-06
7,35.0,3,3,0.9999995495733607,4.5042663932015614e-07
7,35.0,4,4,0.9999993170097188,6.829902812199862e-07
8,40.0,1,1,0.9999999756748059,2.4325194081242785e-08
8,40.0,2,2,0.9999844613207206,1.553867927939212e-05
8,40.0,3,3,0.9999850919452355,1.4908054764450895e-05
8,40.0,4,4,0.9999993450283803,6.549716197179478e-07
9,45.0,1,1,0.9999999806754211,1.9324578937052195e-08
9,45.0,2,2,0.9999919357186738,8.064281326158884e-06
9,45.0,3,3,0.9999935280235172,6.4719764828469195e-06
9,45.0,4,4,0.9999979415242476,2.058475752408917e-06
10,50.0,1,1,0.9999999761754375,2.3824562545016192e-08
10,50.0,2,2,0.9999962876646884,3.7123353116008673e-06
10,50.0,3,3,0.9999964861305275,3.5138694725045383e-06
10,50.0,4,4,0.9999997732485487,2.267514512821478e-07
11,55.0,1,1,0.9999999746378271,2.5362172917375858e-08
11,55.0,2,2,0.9999983926156618,1.607384338186968e-06
11,55.0,3,3,0.9999992894565184,7.105434816079281e-07
11,55.0,4,4,0.9999988818875692,1.1181124307535484e-06
12,60.0,1,1,0.9999999767151783,2.3284821737412642e-08
12,60.0,2,2,0.9999879879515682,1.20120484318198e-05
12,60.0,3,3,0.999987402820119,1.2597179881002063e-05
12,60.0,4,4,0.9999992911380101,7.088619898842907e-07
13,65.0,1,1,0.9999999778986648,2.2101335206414774e-08
13,65.0,2,2,0.9999988567350218,1.1432649782427973e-06
13,65.0,3,3,0.9999950871587082,4.912841291782044e-06
13,65.0,4,4,0.9999941963312462,5.803668753801006e-06
14,70.0,1,1,0.9999999721090604,2.7890939557906336e-08
14,70.0,2,2,0.9999996847526669,3.1524733312693343e-07
14,70.0,3,3,0.9999741415977529,2.585840224711422e-05
14,70.0,4,4,0.9999739100691512,2.6089930848849363e-05
15,75.0,1,1,0.9999999754058171,2.4594182912451856e-08
15,75.0,2,2,0.99999270375943,7.296240570053847e-06
15,75.0,3,3,0.9999961889651628,3.811034837153393e-06
15,75.0,4,4,0.9999945116764051,5.48832359492657e-06
16,80.0,1,1,0.9999999750592139,2.4940786103044843e-08
16,80.0,2,2,0.9999976761456335,2.323854366492739e-06
16,80.0,3,3,0.9999989222050523,1.0777949477347448e-06
16,80.0,4,4,0.9999984195019397,1.5804980603162377e-06
17,85.0,1,1,0.9999999801234559,1.9876544077312985e-08
17,85.0,2,2,0.9999934303206234,6.569679376622339e-06
17,85.0,3,3,0.9999972901140477,2.70988595230115e-06
17,85.0,4,4,0.9999931560022106,6.84399778938527e-06
18,90.0,1,1,0.999999980056763,1.9943236950759058e-08
18,90.0,2,2,0.9999518895361984,4.8110463801598335e-05
18,90.0,3,3,0.9998556976508871,0.0001443023491128903
18,90.0,4,4,0.9998847520673475,0.00011524793265249578
19,95.0,1,1,0.9999999761225167,2.3877483323886395e-08
19,95.0,2,2,0.9999826945429279,1.7305457072125385e-05
19,95.0,3,3,0.9999851567855982,1.484321440181624e-05
19,95.0,4,4,0.9999968614394577,3.138560542348401e-06
20,100.0,1,1,0.9999999765382814,2.346171856792978e-08
20,100.0,2,2,0.9999949250793962,5.0749206037536965e-06
20,100.0,3,3,0.9999956817781184,4.318221881627338e-06
20,100.0,4,4,0.9999990368204025,9.63179597524011e-07
