frame,time_ps,state,energy_eV,fluctuation_meV
0,0.0,PYR2_bright,0.318,-20.571428571428555
1,5.0,PYR2_bright,0.333,-5.571428571428555
2,10.0,PYR2_bright,0.344,5.428571428571445
3,15.0,PYR2_bright,0.354,15.428571428571445
4,20.0,PYR2_bright,0.351,12.428571428571445
5,25.0,PYR2_bright,0.318,-20.571428571428555
6,30.0,PYR2_bright,0.331,-7.571428571428555
7,35.0,PYR2_bright,0.353,14.428571428571445
8,40.0,PYR2_bright,0.329,-9.571428571428555
9,45.0,PYR2_bright,0.344,5.428571428571445
10,50.0,PYR2_bright,0.329,-9.571428571428555
11,55.0,PYR2_bright,0.348,9.428571428571445
12,60.0,PYR2_bright,0.329,-9.571428571428555
13,65.0,PYR2_bright,0.353,14.428571428571445
14,70.0,PYR2_bright,0.342,3.428571428571445
15,75.0,PYR2_bright,0.349,10.428571428571445
16,80.0,PYR2_bright,0.345,6.428571428571445
17,85.0,PYR2_bright,0.34,1.4285714285714448
18,90.0,PYR2_bright,0.337,-1.5714285714285552
19,95.0,PYR2_bright,0.335,-3.571428571428555
20,100.0,PYR2_bright,0.328,-10.571428571428555
0,0.0,PYR3_bright,0.329,0.9523809523809632
1,5.0,PYR3_bright,0.315,-13.047619047619037
2,10.0,PYR3_bright,0.336,7.952380952380963
3,15.0,PYR3_bright,0.321,-7.047619047619037
4,20.0,PYR3_bright,0.345,16.952380952380963
5,25.0,PYR3_bright,0.302,-26.047619047619037
6,30.0,PYR3_bright,0.346,17.952380952380963
7,35.0,PYR3_bright,0.32,-8.047619047619037
8,40.0,PYR3_bright,0.323,-5.047619047619037
9,45.0,PYR3_bright,0.325,-3.047619047619037
10,50.0,PYR3_bright,0.315,-13.047619047619037
11,55.0,PYR3_bright,0.321,-7.047619047619037
12,60.0,PYR3_bright,0.336,7.952380952380963
13,65.0,PYR3_bright,0.324,-4.047619047619037
14,70.0,PYR3_bright,0.346,17.952380952380963
15,75.0,PYR3_bright,0.337,8.952380952380963
16,80.0,PYR3_bright,0.323,-5.047619047619037
17,85.0,PYR3_bright,0.341,12.952380952380963
18,90.0,PYR3_bright,0.339,10.952380952380963
19,95.0,PYR3_bright,0.329,0.9523809523809632
20,100.0,PYR3_bright,0.316,-12.047619047619037
0,0.0,PYR4_bright,0.34,-0.619047619047592
1,5.0,PYR4_bright,0.339,-1.619047619047592
2,10.0,PYR4_bright,0.343,2.380952380952408
3,15.0,PYR4_bright,0.347,6.380952380952408
4,20.0,PYR4_bright,0.337,-3.619047619047592
5,25.0,PYR4_bright,0.339,-1.619047619047592
6,30.0,PYR4_bright,0.342,1.380952380952408
7,35.0,PYR4_bright,0.343,2.380952380952408
8,40.0,PYR4_bright,0.342,1.380952380952408
9,45.0,PYR4_bright,0.33,-10.619047619047592
10,50.0,PYR4_bright,0.349,8.380952380952408
11,55.0,PYR4_bright,0.34,-0.619047619047592
12,60.0,PYR4_bright,0.354,13.380952380952408
13,65.0,PYR4_bright,0.352,11.380952380952408
14,70.0,PYR4_bright,0.319,-21.619047619047592
15,75.0,PYR4_bright,0.345,4.380952380952408
16,80.0,PYR4_bright,0.338,-2.619047619047592
17,85.0,PYR4_bright,0.345,4.380952380952408
18,90.0,PYR4_bright,0.338,-2.619047619047592
19,95.0,PYR4_bright,0.338,-2.619047619047592
20,100.0,PYR4_bright,0.333,-7.619047619047592
0,0.0,PYR5_bright,0.029,2.0476190476190474
1,5.0,PYR5_bright,0.006,-20.952380952380953
2,10.0,PYR5_bright,0.029,2.0476190476190474
3,15.0,PYR5_bright,0.0,-26.952380952380953
4,20.0,PYR5_bright,0.011,-15.952380952380953
5,25.0,PYR5_bright,0.047,20.047619047619047
6,30.0,PYR5_bright,0.026,-0.9523809523809526
7,35.0,PYR5_bright,0.04,13.047619047619047
8,40.0,PYR5_bright,0.043,16.047619047619047
9,45.0,PYR5_bright,0.0,-26.952380952380953
10,50.0,PYR5_bright,0.041,14.047619047619047
11,55.0,PYR5_bright,0.037,10.047619047619047
12,60.0,PYR5_bright,0.047,20.047619047619047
13,65.0,PYR5_bright,0.033,6.0476190476190474
14,70.0,PYR5_bright,0.035,8.047619047619047
15,75.0,PYR5_bright,0.047,20.047619047619047
16,80.0,PYR5_bright,0.037,10.047619047619047
17,85.0,PYR5_bright,0.006,-20.952380952380953
18,90.0,PYR5_bright,0.003,-23.952380952380953
19,95.0,PYR5_bright,0.031,4.0476190476190474
20,100.0,PYR5_bright,0.018,-8.952380952380953
