frame,site,root,family,is_bright_root,expected_bright_root,mapping_preserved,energy_au,energy_eV,fosc,vacuum_energy_eV_same_root,solvent_shift_meV_same_root,source_output
0,PYR2,1,alternate_like,False,2,True,0.146956,3.999,0.001619329,4.001,-2.000000000000224,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.out
0,PYR2,2,bright_like,True,2,True,0.149506,4.068,0.493214356,4.09,-22.00000000000024,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.out
0,PYR3,1,alternate_like,False,2,True,0.147016,4.0,0.007854502,4.001,-1.000000000000334,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.out
0,PYR3,2,bright_like,True,2,True,0.149904,4.079,0.504489664,4.081,-2.000000000000668,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.out
0,PYR4,1,alternate_like,False,2,True,0.147459,4.013,0.01561255,4.015,-1.9999999999997797,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.out
0,PYR4,2,bright_like,True,2,True,0.15031,4.09,0.503190422,4.089,0.9999999999994458,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.out
0,PYR5,1,bright_like,True,1,True,0.138884,3.779,0.652757565,3.78,-0.9999999999998899,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.out
0,PYR5,2,alternate_like,False,1,True,0.141299,3.845,0.021233224,3.846,-0.9999999999998899,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.out
1,PYR2,1,alternate_like,False,2,True,0.146774,3.994,0.031320949,4.001,-7.000000000000117,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR2_embedding/frame001_PYR2_embedding.out
1,PYR2,2,bright_like,True,2,True,0.15005,4.083,0.479081305,4.09,-6.999999999999673,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR2_embedding/frame001_PYR2_embedding.out
1,PYR3,1,alternate_like,False,2,True,0.147351,4.01,0.034273552,4.001,8.999999999999453,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR3_embedding/frame001_PYR3_embedding.out
1,PYR3,2,bright_like,True,2,True,0.149396,4.065,0.471984456,4.081,-16.000000000000014,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR3_embedding/frame001_PYR3_embedding.out
1,PYR4,1,alternate_like,False,2,True,0.147615,4.017,0.001991247,4.015,2.000000000000668,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR4_embedding/frame001_PYR4_embedding.out
1,PYR4,2,bright_like,True,2,True,0.150255,4.089,0.518123726,4.089,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR4_embedding/frame001_PYR4_embedding.out
1,PYR5,1,bright_like,True,1,True,0.13804,3.756,0.66052015,3.78,-24.00000000000002,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR5_embedding/frame001_PYR5_embedding.out
1,PYR5,2,alternate_like,False,1,True,0.141084,3.839,0.013751886,3.846,-7.000000000000117,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR5_embedding/frame001_PYR5_embedding.out
2,PYR2,1,alternate_like,False,2,True,0.147327,4.009,0.008972148,4.001,8.000000000000007,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR2_embedding/frame002_PYR2_embedding.out
2,PYR2,2,bright_like,True,2,True,0.150441,4.094,0.50924132,4.09,4.000000000000448,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR2_embedding/frame002_PYR2_embedding.out
2,PYR3,1,alternate_like,False,2,True,0.147479,4.013,0.011531162,4.001,11.999999999999567,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR3_embedding/frame002_PYR3_embedding.out
2,PYR3,2,bright_like,True,2,True,0.150167,4.086,0.493704464,4.081,4.999999999999893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR3_embedding/frame002_PYR3_embedding.out
2,PYR4,1,alternate_like,False,2,True,0.147757,4.021,0.009617,4.015,6.000000000000227,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR4_embedding/frame002_PYR4_embedding.out
2,PYR4,2,bright_like,True,2,True,0.150422,4.093,0.511090468,4.089,3.9999999999995595,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR4_embedding/frame002_PYR4_embedding.out
2,PYR5,1,bright_like,True,1,True,0.138867,3.779,0.637471618,3.78,-0.9999999999998899,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR5_embedding/frame002_PYR5_embedding.out
2,PYR5,2,alternate_like,False,1,True,0.141368,3.847,0.011913246,3.846,0.9999999999998899,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR5_embedding/frame002_PYR5_embedding.out
3,PYR2,1,alternate_like,False,2,True,0.147538,4.015,0.008822701,4.001,13.999999999999346,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR2_embedding/frame003_PYR2_embedding.out
3,PYR2,2,bright_like,True,2,True,0.150819,4.104,0.497305626,4.09,14.000000000000234,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR2_embedding/frame003_PYR2_embedding.out
3,PYR3,1,alternate_like,False,2,True,0.147158,4.004,0.002358639,4.001,2.9999999999992255,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR3_embedding/frame003_PYR3_embedding.out
3,PYR3,2,bright_like,True,2,True,0.149614,4.071,0.502294183,4.081,-10.000000000000675,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR3_embedding/frame003_PYR3_embedding.out
3,PYR4,1,alternate_like,False,2,True,0.147699,4.019,0.008492849,4.015,4.000000000000448,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR4_embedding/frame003_PYR4_embedding.out
3,PYR4,2,bright_like,True,2,True,0.150579,4.097,0.509273163,4.089,8.000000000000007,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR4_embedding/frame003_PYR4_embedding.out
3,PYR5,1,bright_like,True,1,True,0.137792,3.75,0.61541292,3.78,-29.999999999999805,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR5_embedding/frame003_PYR5_embedding.out
3,PYR5,2,alternate_like,False,1,True,0.141552,3.852,0.04265182,3.846,5.999999999999783,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR5_embedding/frame003_PYR5_embedding.out
4,PYR2,1,alternate_like,False,2,True,0.147533,4.015,0.011136967,4.001,13.999999999999346,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR2_embedding/frame004_PYR2_embedding.out
4,PYR2,2,bright_like,True,2,True,0.150692,4.101,0.498540213,4.09,11.00000000000012,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR2_embedding/frame004_PYR2_embedding.out
4,PYR3,1,alternate_like,False,2,True,0.147523,4.014,0.007055467,4.001,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR3_embedding/frame004_PYR3_embedding.out
4,PYR3,2,bright_like,True,2,True,0.150487,4.095,0.518861417,4.081,13.999999999999346,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR3_embedding/frame004_PYR3_embedding.out
4,PYR4,1,alternate_like,False,2,True,0.147897,4.024,0.002471251,4.015,9.000000000000341,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR4_embedding/frame004_PYR4_embedding.out
4,PYR4,2,bright_like,True,2,True,0.15021,4.087,0.522246322,4.089,-2.000000000000668,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR4_embedding/frame004_PYR4_embedding.out
4,PYR5,1,bright_like,True,1,True,0.138209,3.761,0.648594776,3.78,-18.999999999999684,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR5_embedding/frame004_PYR5_embedding.out
4,PYR5,2,alternate_like,False,1,True,0.140216,3.815,0.015547838,3.846,-31.00000000000014,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR5_embedding/frame004_PYR5_embedding.out
5,PYR2,1,alternate_like,False,2,True,0.147217,4.006,0.058605874,4.001,4.999999999999893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR2_embedding/frame005_PYR2_embedding.out
5,PYR2,2,bright_like,True,2,True,0.149499,4.068,0.424630393,4.09,-22.00000000000024,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR2_embedding/frame005_PYR2_embedding.out
5,PYR3,1,alternate_like,False,2,True,0.146805,3.995,0.0088556,4.001,-6.000000000000227,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR3_embedding/frame005_PYR3_embedding.out
5,PYR3,2,bright_like,True,2,True,0.148912,4.052,0.501037835,4.081,-29.000000000000803,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR3_embedding/frame005_PYR3_embedding.out
5,PYR4,1,alternate_like,False,2,True,0.148253,4.034,0.00846338,4.015,19.000000000000128,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding.out
5,PYR4,2,bright_like,True,2,True,0.150254,4.089,0.501976497,4.089,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding.out
5,PYR5,1,bright_like,True,1,True,0.139535,3.797,0.647307662,3.78,17.000000000000348,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.out
5,PYR5,2,alternate_like,False,1,True,0.142257,3.871,0.020591079,3.846,24.99999999999991,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.out
6,PYR2,1,alternate_like,False,2,True,0.147542,4.015,0.018233407,4.001,13.999999999999346,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding.out
6,PYR2,2,bright_like,True,2,True,0.149961,4.081,0.486883676,4.09,-8.999999999999453,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding.out
6,PYR3,1,alternate_like,False,2,True,0.147684,4.019,0.011422138,4.001,17.999999999999794,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding.out
6,PYR3,2,bright_like,True,2,True,0.150525,4.096,0.492967153,4.081,14.99999999999968,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding.out
6,PYR4,1,alternate_like,False,2,True,0.148059,4.029,0.010112754,4.015,14.000000000000234,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding.out
6,PYR4,2,bright_like,True,2,True,0.150385,4.092,0.510757213,4.089,2.9999999999992255,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding.out
6,PYR5,1,bright_like,True,1,True,0.138768,3.776,0.659519925,3.78,-4.0000000000000036,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding.out
6,PYR5,2,alternate_like,False,1,True,0.141292,3.845,0.003925759,3.846,-0.9999999999998899,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding.out
7,PYR2,1,alternate_like,False,2,True,0.147388,4.011,0.009094124,4.001,9.999999999999787,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding.out
7,PYR2,2,bright_like,True,2,True,0.15078,4.103,0.490046455,4.09,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding.out
7,PYR3,1,alternate_like,False,2,True,0.145848,3.969,0.012775698,4.001,-32.00000000000047,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.out
7,PYR3,2,bright_like,True,2,True,0.149567,4.07,0.490450249,4.081,-11.00000000000012,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.out
7,PYR4,1,alternate_like,False,2,True,0.147718,4.02,0.007441762,4.015,4.999999999999893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding.out
7,PYR4,2,bright_like,True,2,True,0.150431,4.093,0.512697666,4.089,3.9999999999995595,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding.out
7,PYR5,1,bright_like,True,1,True,0.139284,3.79,0.659436962,3.78,10.000000000000231,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding.out
7,PYR5,2,alternate_like,False,1,True,0.141821,3.859,0.011305277,3.846,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding.out
8,PYR2,1,alternate_like,False,2,True,0.146772,3.994,0.005736425,4.001,-7.000000000000117,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding.out
8,PYR2,2,bright_like,True,2,True,0.149902,4.079,0.501966286,4.09,-11.00000000000012,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding.out
8,PYR3,1,alternate_like,False,2,True,0.147272,4.007,0.017981471,4.001,5.999999999999339,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.out
8,PYR3,2,bright_like,True,2,True,0.149674,4.073,0.491495921,4.081,-8.000000000000007,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.out
8,PYR4,1,alternate_like,False,2,True,0.147745,4.02,0.016727833,4.015,4.999999999999893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.out
8,PYR4,2,bright_like,True,2,True,0.150367,4.092,0.503082331,4.089,2.9999999999992255,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.out
8,PYR5,1,bright_like,True,1,True,0.139381,3.793,0.655883767,3.78,13.000000000000345,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.out
8,PYR5,2,alternate_like,False,1,True,0.142272,3.871,0.024370445,3.846,24.99999999999991,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.out
9,PYR2,1,alternate_like,False,2,True,0.14761,4.017,0.008133955,4.001,16.000000000000014,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding.out
9,PYR2,2,bright_like,True,2,True,0.150468,4.094,0.503201742,4.09,4.000000000000448,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding.out
9,PYR3,1,alternate_like,False,2,True,0.147067,4.002,0.004027262,4.001,0.9999999999994458,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding.out
9,PYR3,2,bright_like,True,2,True,0.149743,4.075,0.514855013,4.081,-6.000000000000227,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding.out
9,PYR4,1,alternate_like,False,2,True,0.147699,4.019,0.025502917,4.015,4.000000000000448,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR4_embedding/frame009_PYR4_embedding.out
