site,family,n_frames,root,energy_mean_eV,energy_sd_eV,energy_minimum_eV,energy_maximum_eV,energy_range_meV,fosc_mean,fosc_sd,fosc_minimum,fosc_maximum
PYR2,bright_like,21,2,4.088571428571428,0.01081696827771486,4.068,4.104,36.000000000000476,0.4932895682380952,0.017799649236096504,0.424630393,0.50924132
PYR2,alternate_like,21,1,4.006142857142857,0.00806099198838045,3.992,4.019,27.000000000000135,0.011172782952380953,0.012381927942665396,0.001619329,0.058605874
PYR2,S1_S2_gap,21,,,,,,,82.42857142857132,8.963265925678058,61.99999999999939,92.99999999999997
PYR3,bright_like,21,2,4.078047619047619,0.011614753304787256,4.052,4.096,44.00000000000048,0.5017784603809524,0.010136844990858223,0.471984456,0.518861417
PYR3,alternate_like,21,1,4.003190476190476,0.013037013416456326,3.969,4.019,50.00000000000027,0.00989299219047619,0.007537886393078523,0.001832472,0.034273552
PYR3,S1_S2_gap,21,,,,,,,74.85714285714295,11.025017932328394,55.000000000000604,101.00000000000043
PYR4,bright_like,21,2,4.090619047619048,0.007403192300340984,4.069,4.104,35.00000000000014,0.5108589268571428,0.006407267824974322,0.498507322,0.522246322
PYR4,alternate_like,21,1,4.019238095238095,0.011819696079827921,3.978,4.035,56.99999999999994,0.008601723761904762,0.006121041775439334,0.00075086,0.025502917
PYR4,S1_S2_gap,21,,,,,,,71.38095238095246,8.167742536379889,55.000000000000604,90.99999999999974
PYR5,bright_like,21,1,3.776952380952381,0.016034118950586075,3.75,3.797,47.000000000000156,0.6480894363333334,0.014935882045226516,0.61541292,0.670424221
PYR5,alternate_like,21,2,3.847809523809524,0.014949499267355821,3.815,3.871,56.00000000000005,0.01862386785714286,0.011536866671446638,0.003925759,0.048610659
PYR5,S1_S2_gap,21,,,,,,,70.85714285714286,11.695687908210358,52.999999999999936,101.99999999999987
