temperature_K,frame,snapshot_time_ps,PYR2_equilibrium_population,PYR3_equilibrium_population,PYR4_equilibrium_population,PYR5_equilibrium_population
150.0,0,0.0,7.866357801056979e-08,9.229225029383229e-07,2.2016145410707307e-05,0.9999769822685074
150.0,1,5.0,5.749387805947512e-08,8.301258164467088e-07,2.009243161455018e-05,0.999979019948691
150.0,2,10.0,7.815229936855193e-08,8.542004587020607e-07,2.033591521639754e-05,0.9999787317320259
150.0,3,15.0,6.351777563698689e-08,7.74199492164244e-07,1.5935887878756478e-05,0.9999832263948543
150.0,4,20.0,6.155096358249849e-08,7.691788245880571e-07,2.030398381366633e-05,0.9999788652863972
150.0,5,25.0,8.841307283670596e-08,1.2803106113839699e-06,2.3483898138025972e-05,0.9999751473781779
150.0,6,30.0,7.477057627300769e-08,8.061468303420436e-07,2.0817600810523346e-05,0.9999783014817845
150.0,7,35.0,7.367715826806713e-08,1.0466790149170622e-06,2.327324390702286e-05,0.9999756063999199
150.0,8,40.0,8.551106213814106e-08,1.0453347698030995e-06,2.3256981646648753e-05,0.9999756121725212
150.0,9,45.0,6.626883487140252e-08,7.794228061968198e-07,1.847545075583064e-05,0.999980678857603
150.0,10,50.0,8.459550452405653e-08,1.1386549718711186e-06,2.2768844174154885e-05,0.9999760079053505
150.0,11,55.0,6.870649795696425e-08,1.0501671248395434e-06,2.4294901589542253e-05,0.9999745862247873
150.0,12,60.0,8.412583996401626e-08,9.93198584674728e-07,2.225683467012533e-05,0.9999766658409047
150.0,13,65.0,7.336592488045173e-08,9.967196633620657e-07,2.1133004667168455e-05,0.999977796909744
150.0,14,70.0,6.296114432181162e-08,8.245737282455973e-07,2.6762343937772806e-05,0.9999723501211892
150.0,15,75.0,5.588896082857445e-08,9.280452885537959e-07,2.358526851885392e-05,0.9999754307972316
150.0,16,80.0,6.676432389446744e-08,9.912620348179595e-07,2.389407790069417e-05,0.9999750478957407
150.0,17,85.0,6.942488897539176e-08,7.463805731461186e-07,1.90017576506353e-05,0.9999801824368867
150.0,18,90.0,6.65840598573307e-08,7.525849595071841e-07,1.9073217519800015e-05,0.999980107613461
150.0,19,95.0,6.786802449831939e-08,9.31766455328877e-07,2.286578640821778e-05,0.999976134579112
150.0,20,100.0,7.207760302417993e-08,9.626706454710221e-07,2.245161571729905e-05,0.9999765136360339
200.0,0,0.0,1.3073784742695206e-07,9.505300477354095e-07,2.2030702129334817e-05,0.9999768880299743
200.0,1,5.0,6.325488654996649e-08,8.464802292406025e-07,2.0096499899346414e-05,0.9999789937649846
200.0,2,10.0,8.970130041627464e-08,8.725863442839707e-07,2.0348145615388578e-05,0.9999786895667402
200.0,3,15.0,6.472378803387061e-08,7.823549122267532e-07,1.593769529654153e-05,0.9999832152260042
200.0,4,20.0,6.426079431583078e-08,7.730251399281586e-07,2.031007944355728e-05,0.9999788526346213
200.0,5,25.0,2.3630438798227237e-07,1.653744172015791e-06,2.3527790900851792e-05,0.9999745821605392
200.0,6,30.0,9.536843013984652e-08,8.148131155512814e-07,2.082848565713866e-05,0.9999782613327984
200.0,7,35.0,8.667135529529121e-08,1.1344727223080937e-06,2.3296407792410956e-05,0.9999754824481298
200.0,8,40.0,1.475239563615806e-07,1.1332184262958901e-06,2.3286183037990418e-05,0.999975433074579
200.0,9,45.0,6.84194519861734e-08,7.858965069414922e-07,1.848028726897377e-05,0.9999806653967723
200.0,10,50.0,1.3985073377108875e-07,1.2629893546073482e-06,2.2786202944130575e-05,0.9999758109569687
200.0,11,55.0,8.329284762386244e-08,1.1198324341944605e-06,2.4318063746520093e-05,0.999974478810971
200.0,12,60.0,1.6226874070155728e-07,1.0454111018711405e-06,2.227520084349793e-05,0.9999765171193135
200.0,13,65.0,8.202431507982767e-08,1.0431415227326751e-06,2.114217298762862e-05,0.9999777326611744
200.0,14,70.0,8.131280081144073e-08,8.391941298147213e-07,2.6831848558010592e-05,0.9999722476445111
200.0,15,75.0,8.042917311371424e-08,9.772805869503399e-07,2.361618831957954e-05,0.9999753261019203
