gamma_phi_ps_inv,dephasing_time_ps,frame,snapshot_time_ps,initial_state,minimum_survival_probability,time_of_minimum_survival_ps,time_average_survival_probability,final_survival_probability,time_integrated_l1_coherence,maximum_trace_error,maximum_sampled_hermiticity_error,minimum_sampled_density_eigenvalue,maximum_population_PYR2_bright,time_of_maximum_PYR2_bright_ps,time_average_PYR2_bright,final_population_PYR2_bright,maximum_population_PYR3_bright,time_of_maximum_PYR3_bright_ps,time_average_PYR3_bright,final_population_PYR3_bright,maximum_population_PYR4_bright,time_of_maximum_PYR4_bright_ps,time_average_PYR4_bright,final_population_PYR4_bright,maximum_population_PYR5_bright,time_of_maximum_PYR5_bright_ps,time_average_PYR5_bright,final_population_PYR5_bright
0.0,inf,0,0.0,PYR2_bright,0.951373643239913,19.85,0.975599751138264,0.9955025673809333,6.428957636222771,2.886580473756933e-15,1.7510963552742351e-15,-8.331636150686149e-16,1.0,0.0,0.975599751138264,0.9955025673809333,0.04807296457538433,1.67,0.023937911219822278,0.004274868001778172,0.0008288840548725718,19.79,0.00046202043870108994,0.00022255733836392,7.722463842586795e-07,16.5,3.17203212282137e-07,7.278924293186088e-09
0.0,inf,0,0.0,PYR3_bright,0.9086966586233123,1.3,0.9539895037707642,0.9822316254121214,11.593527339290437,1.0880193001818242e-14,1.3528155782722622e-14,-4.1739614561915415e-15,0.04807296457538458,1.67,0.023937911219822857,0.004274868001779489,1.0,0.0,0.9539895037707642,0.9822316254121214,0.0433414333081736,19.14,0.02206947505931145,0.01349310315978082,7.809701241941194e-06,19.14,3.1099501075189244e-06,4.0342632703308815e-07
0.0,inf,0,0.0,PYR4_bright,0.9560888671469131,16.54,0.9774259162433294,0.9862252295084534,6.477061440503268,5.334613100700824e-15,6.946153765280211e-14,-1.1774426996907714e-14,0.0008288840548725643,19.79,0.0004620204387010895,0.000222557338363906,0.0433414333081738,19.14,0.022069475059311467,0.0134931031597808,1.0,0.0,0.9774259162433294,0.9862252295084534,8.803941500484442e-05,8.540000000000001,4.258825865891078e-05,5.9109993401503926e-05
0.0,inf,0,0.0,PYR5_bright,0.9999079664843887,8.540000000000001,0.9999539845880043,0.9999404793013201,0.32152336301649176,2.731161817929361e-14,3.0870291600347727e-14,-2.5928932088332176e-15,7.722463842598745e-07,16.5,3.172032122817393e-07,7.278924285732785e-09,7.8097012419709e-06,19.14,3.109950107533661e-06,4.0342632706897323e-07,8.803941500534723e-05,8.540000000000001,4.258825865932937e-05,5.910999340240198e-05,1.0,0.0,0.9999539845880043,0.9999404793013201
0.0,inf,1,5.0,PYR2_bright,0.9792066307605521,0.34,0.989600984368593,0.9999006565754716,5.021960919572922,5.773159801661502e-15,1.6055706868781313e-15,-2.7029544746188555e-16,1.0,0.0,0.989600984368593,0.9999006565754716,0.01733253968213286,0.34,0.008464423209770696,8.194210279673802e-05,0.00424375408868746,10.68,0.001934412452690414,1.7261246594195658e-05,5.850742073506555e-07,8.63,1.799689482085973e-07,1.4007513952929894e-07
0.0,inf,1,5.0,PYR3_bright,0.9739560369237167,11.02,0.9869627222475472,0.9997647231641722,5.971737012197225,9.769967980780439e-15,2.6348525231559506e-15,-3.3252079039750413e-16,0.017332539682132875,0.34,0.008464423209770703,8.194210279677825e-05,1.0,0.0,0.9869627222475472,0.9997647231641722,0.009507091507122107,8.97,0.004570684411626165,0.00015115708966554652,5.174610931523765e-06,5.55,2.1701310607898114e-06,2.1776433685514145e-06
0.0,inf,1,5.0,PYR4_bright,0.9869448079897262,12.05,0.9934553191746563,0.999791848770106,4.358329222484212,5.218049886063006e-15,2.0555653389044347e-15,-4.72122071363928e-16,0.004243754088687419,10.68,0.001934412452690392,1.7261246594221218e-05,0.009507091507122098,8.97,0.004570684411626158,0.00015115708966549702,1.0,0.0,0.9934553191746563,0.999791848770106,8.028490186347147e-05,16.57,3.958396102713239e-05,3.97328936293728e-05
0.0,inf,1,5.0,PYR5_bright,0.9999162198818148,16.57,0.9999580659389697,0.9999579493878684,0.29617463877454153,1.1546319662190293e-14,7.068141393421957e-16,-3.3493493107453204e-16,5.850742073506702e-07,8.63,1.7996894820858068e-07,1.40075139529188e-07,5.174610931523772e-06,5.55,2.1701310607901303e-06,2.1776433685529036e-06,8.028490186348157e-05,16.57,3.9583961027135316e-05,3.973289362938679e-05,1.0,0.0,0.9999580659389697,0.9999579493878684
0.0,inf,2,10.0,PYR2_bright,0.9039220061761002,14.71,0.951679659385365,0.9110719626966367,11.083777021855674,4.440924073207956e-15,3.1278715486825406e-15,-1.2700752063623845e-15,1.0,0.0,0.951679659385365,0.9110719626966367,0.08279807735690328,8.44,0.03881755693534026,0.07810616482383771,0.023550465083616638,14.71,0.009502549802008467,0.010821545765131585,8.639149517041688e-07,18.54,2.3387728705151308e-07,3.2671439661876784e-07
0.0,inf,2,10.0,PYR3_bright,0.8160801491743924,8.44,0.9065743419464796,0.8527235460920619,16.269612840719045,3.885847251895863e-15,1.1282237638684166e-14,-6.246436695520193e-15,0.082798077356903,8.44,0.0388175569353398,0.07810616482383766,1.0,0.0,0.9065743419464796,0.8527235460920619,0.11528143179386766,6.2700000000000005,0.054604006999449325,0.06916801251183206,1.0808912897833815e-05,17.73,4.094118730178642e-06,2.2765722673735053e-06
0.0,inf,2,10.0,PYR4_bright,0.8735504146667793,6.2700000000000005,0.9358552393834096,0.9199359562342293,12.582103259094158,6.217315154992936e-15,6.037775819787117e-14,-2.8005829371249092e-14,0.023550465083616683,14.71,0.009502549802008563,0.010821545765131741,0.11528143179386813,6.2700000000000005,0.054604006999449686,0.06916801251183348,1.0,0.0,0.9358552393834096,0.9199359562342293,8.127669456089384e-05,8.72,3.8203815130527014e-05,7.448548880154038e-05
0.0,inf,2,10.0,PYR5_bright,0.9999149701910621,8.72,0.9999574681888492,0.9999229112245291,0.3157149700908888,9.326577711495021e-15,3.9531243970885144e-14,-2.791576650563805e-15,8.639149517061668e-07,18.54,2.3387728705391222e-07,3.2671439662802173e-07,1.0808912897841928e-05,17.73,4.094118730153365e-06,2.2765722673176914e-06,8.127669456175223e-05,8.72,3.8203815131165027e-05,7.448548880246473e-05,1.0,0.0,0.9999574681888492,0.9999229112245291
0.0,inf,3,15.0,PYR2_bright,0.991310777655075,6.8,0.9956463664979475,0.9951279440459294,3.418118964543605,1.1990408668237052e-14,4.873554251175993e-16,-1.790774293644534e-16,1.0,0.0,0.9956463664979475,0.9951279440459294,0.005499164898359535,18.900000000000002,0.00265508211753393,0.00404069258289929,0.0035789562417803318,6.8,0.001698463785855747,0.0008312626627457719,2.5281411317281515e-07,8.86,8.759865980376225e-08,1.0070841436382201e-07
0.0,inf,3,15.0,PYR3_bright,0.9858641938327732,10.040000000000001,0.9929210143573437,0.9872134833484616,4.402637054959881,1.3988810210878985e-14,6.101493737192989e-16,-7.854622682494913e-17,0.005499164898359592,18.900000000000002,0.0026550821175340055,0.00404069258289945,1.0,0.0,0.9929210143573437,0.9872134833484616,0.009041699173389952,19.21,0.004421946844639781,0.008745124530299901,4.5769352411602345e-06,13.68,1.956680486758686e-06,6.99538351399931e-07
0.0,inf,3,15.0,PYR4_bright,0.9877768986034245,16.84,0.993848081014389,0.9903694362896498,4.179554422310849,4.329870405485632e-15,1.2742845792813539e-15,-3.0691986320278557e-16,0.003578956241780338,6.8,0.001698463785855755,0.000831262662745809,0.00904169917338992,19.21,0.004421946844639755,0.008745124530299849,1.0,0.0,0.993848081014389,0.9903694362896498,6.382271953465315e-05,5.69,3.150835511463088e-05,5.4176517305150435e-05
0.0,inf,3,15.0,PYR5_bright,0.9999329461580903,18.5,0.999966447365734,0.9999450232359154,0.2644802666595507,1.6320278595493737e-14,1.291015210791179e-15,-1.1593017837374028e-16,2.528141131727599e-07,8.86,8.759865980379104e-08,1.0070841436387926e-07,4.576935241160328e-06,13.68,1.9566804867584888e-06,6.995383513997074e-07,6.382271953464645e-05,5.69,3.1508355114624966e-05,5.417651730515379e-05,1.0,0.0,0.999966447365734,0.9999450232359154
0.0,inf,4,20.0,PYR2_bright,0.8542921280457858,5.59,0.9272518503757995,0.866909836628225,11.002320903254333,4.107828466050045e-15,6.131407058289218e-16,-6.047438005121041e-16,1.0,0.0,0.9272518503757995,0.866909836628225,0.14569064506453153,5.59,0.07086784406212725,0.12958119360024825,0.003860154775358985,14.46,0.0018802172779480747,0.0035088146151200047,2.4385850934386484e-07,19.77,8.828412518568139e-08,1.5515640579516142e-07
0.0,inf,4,20.0,PYR3_bright,0.7683025764003245,8.88,0.8825811134671615,0.7817597027778256,18.029783273573464,8.548718051047596e-15,9.453208419344607e-16,-2.583129511938381e-15,0.1456906450645314,5.59,0.07086784406212693,0.12958119360024783,1.0,0.0,0.8825811134671615,0.7817597027778256,0.09335476195958371,15.47,0.046549736608491876,0.08865742131534388,3.1592970281089473e-06,18.78,1.305862217931653e-06,1.6823065767543825e-06
0.0,inf,4,20.0,PYR4_bright,0.9028916636903861,6.34,0.9515291831147334,0.9077614611974644,9.67581035088133,3.774760721012642e-15,1.397735073462211e-15,-1.3970132964784748e-15,0.00386015477535892,14.46,0.0018802172779480172,0.0035088146151198802,0.09335476195958337,15.47,0.046549736608491855,0.0886574213153433,1.0,0.0,0.9515291831147334,0.9077614611974644,8.227061239245201e-05,10.91,4.086299882631323e-05,7.230287207364558e-05
0.0,inf,4,20.0,PYR5_bright,0.9999154699060193,2.05,0.9999577428548307,0.9999258596649464,0.28325209461086853,4.6629368562345095e-15,7.26849209210379e-16,-2.230163938590532e-16,2.4385850934374546e-07,19.77,8.82841251856654e-08,1.5515640579511137e-07,3.1592970281092954e-06,18.78,1.3058622179319759e-06,1.6823065767554447e-06,8.227061239245921e-05,10.91,4.0862998826314636e-05,7.230287207365424e-05,1.0,0.0,0.9999577428548307,0.9999258596649464
0.0,inf,5,25.0,PYR2_bright,0.9799914021804023,16.47,0.9900139988631889,0.985458382276969,4.040954313757344,1.576516860003214e-14,1.9620757798402297e-15,-1.7391515335367888e-16,1.0,0.0,0.9900139988631889,0.985458382276969,0.019803768159239492,16.47,0.009840560760196862,0.014293506403663434,0.0003557771906006784,9.96,0.0001452799757712781,0.0002480785648267054,4.590957821400727e-07,16.85,1.604008344072728e-07,3.275453238053636e-08
0.0,inf,5,25.0,PYR3_bright,0.9761866909431989,2.17,0.9880996868393838,0.9833810645366714,5.385191493661486,3.2196476221568445e-15,3.171900969682124e-15,-1.4037856641679488e-15,0.0198037681592394,16.47,0.009840560760196803,0.014293506403663274,1.0,0.0,0.9880996868393838,0.9833810645366714,0.004175276018397743,6.51,0.002056759260999952,0.0023206728865674516,6.753788965963342e-06,13.41,2.9931394193613495e-06,4.756173095547168e-06
0.0,inf,5,25.0,PYR4_bright,0.9955092512143209,16.080000000000002,0.9977514154740876,0.9973531881517809,2.3488166452539807,8.65974015603646e-15,2.351213008921735e-14,-3.897451083609462e-15,0.0003557771906006806,9.96,0.00014527997577127655,0.0002480785648267069,0.004175276018397738,6.51,0.0020567592609999955,0.0023206728865675435,1.0,0.0,0.9977514154740876,0.9973531881517809,9.39026483224219e-05,8.9,4.654528913740163e-05,7.806039682255304e-05
0.0,inf,5,25.0,PYR5_bright,0.9999006930469654,8.9,0.9999503011706083,0.9999171506755488,0.3234616215283689,5.773303582051315e-15,2.944355522838045e-14,-1.3827348468960534e-15,4.5909578213985464e-07,16.85,1.604008344076417e-07,3.275453238127436e-08,6.753788965954079e-06,13.41,2.993139419357909e-06,4.756173095526409e-06,9.390264832256546e-05,8.9,4.6545289137464435e-05,7.806039682254544e-05,1.0,0.0,0.9999503011706083,0.9999171506755488
0.0,inf,6,30.0,PYR2_bright,0.9696006133781755,4.4,0.9847892063240169,0.9926881692148143,6.335685250888706,1.0436096439793405e-14,8.374766144886479e-15,-7.440329360174108e-16,1.0,0.0,0.9847892063240169,0.9926881692148143,0.026477173602574323,4.4,0.011452864442228547,0.00044875176110898383,0.009772495473928746,10.13,0.00375756123349718,0.006862268432429636,1.0312562195847184e-06,15.47,3.68000260885857e-07,8.105916565666298e-07
