gamma_phi_ps_inv,dephasing_time_ps,initial_state,ensemble_minimum_survival_probability,time_of_ensemble_minimum_survival_ps,time_average_ensemble_survival,final_ensemble_survival,maximum_ensemble_transfer_out,maximum_ensemble_other_high_population,time_of_maximum_other_high_population_ps,maximum_ensemble_PYR5_population,time_of_maximum_PYR5_population_ps,time_average_l1_coherence,time_integrated_l1_coherence,mean_frame_minimum_survival,maximum_single_frame_transfer_out,mean_l1_coherence_at_0p5ps,mean_l1_coherence_at_1ps,mean_l1_coherence_at_2ps,mean_l1_coherence_at_5ps,mean_l1_coherence_at_10ps,mean_l1_coherence_at_20ps,maximum_ensemble_PYR2_bright,time_of_maximum_PYR2_bright_ps,time_average_PYR2_bright,final_PYR2_bright,maximum_ensemble_PYR3_bright,time_of_maximum_PYR3_bright_ps,time_average_PYR3_bright,final_PYR3_bright,maximum_ensemble_PYR4_bright,time_of_maximum_PYR4_bright_ps,time_average_PYR4_bright,final_PYR4_bright,maximum_ensemble_PYR5_bright,time_of_maximum_PYR5_bright_ps,time_average_PYR5_bright,final_PYR5_bright
0.0,inf,PYR2_bright,0.8734857486910952,5.8,0.9201368349655379,0.8820879770211928,0.1265142513089048,0.1265132622670287,5.8,1.3972719390231495e-06,10.4,0.44700718939101347,8.94229595306478,0.8454343258005969,0.9707443591358725,0.4755348559023878,0.44827536041986105,0.4256027502423816,0.3890447169736365,0.44095028241461426,0.46358132987984985,1.0,0.0,0.9201368349655379,0.8820879770211928,0.09407891199702927,5.69,0.05807734579381269,0.09225803761374889,0.0473773426475043,17.48,0.021785139503135705,0.025653024039722208,1.3972719390231495e-06,10.4,6.7973751378686e-07,9.613253363660061e-07
0.0,inf,PYR3_bright,0.8567761175548757,17.150000000000002,0.9031895802975604,0.8699532467740744,0.1432238824451243,0.14322081926290195,17.150000000000002,4.995137482389073e-06,4.16,0.6124225680245722,12.25139458751122,0.814121640734334,0.9747026480241374,0.6214758821685068,0.589569057096189,0.5656328720677267,0.5787804661366367,0.6105940545773151,0.6361997320937951,0.09407891199702913,5.69,0.05807734579381246,0.09225803761374814,1.0,0.0,0.9031895802975604,0.8699532467740744,0.06506583738319745,4.73,0.03873012209748294,0.037786286470130145,4.995137482389073e-06,4.16,2.951811144434667e-06,2.429142047356534e-06
0.0,inf,PYR4_bright,0.9052552744140565,8.42,0.9394429548313284,0.9365162228882185,0.09474472558594349,0.0947065190781706,8.42,8.200093023405862e-05,0.02,0.43168529058494787,8.63577957259266,0.886218944605437,0.9418208917445607,0.42744131353632075,0.4167426620939923,0.43331329928991413,0.4684488935873965,0.4528652453455738,0.4486184024291383,0.047377342647504025,17.48,0.021785139503135584,0.025653024039722198,0.06506583738319727,4.73,0.0387301220974827,0.03778628647012936,1.0,0.0,0.9394429548313284,0.9365162228882185,8.200093023405862e-05,0.02,4.178356805296099e-05,4.446660193009034e-05
0.0,inf,PYR5_bright,0.9999144663968271,0.02,0.9999545848832891,0.9999521429306852,8.553360317287151e-05,8.553360317289529e-05,0.02,1.0,0.0,0.015863631787522092,0.3173475450111613,0.9999092368688404,0.00011049607827540164,0.014806823737652255,0.016031174210240633,0.0169622178305392,0.01724354312826661,0.016673038368635477,0.01674541143115174,1.3972719390237056e-06,10.4,6.797375137881877e-07,9.61325336369225e-07,4.995137482387355e-06,4.16,2.9518111444366553e-06,2.429142047363638e-06,8.200093023405905e-05,0.02,4.178356805304647e-05,4.4466601930229263e-05,1.0,0.0,0.9999545848832891,0.9999521429306852
0.05,20.0,PYR2_bright,0.867798584607977,15.38,0.9037826310410673,0.8687339433253032,0.13220141539202301,0.1321993015141126,15.38,2.3202223974345877e-06,19.96,0.36303799176696117,7.2628122439704885,0.841254260183812,0.9375511289311166,0.46921974623653895,0.4362651690456512,0.4039178103454168,0.346766438536666,0.35402861567168414,0.3155942572808963,1.0,0.0,0.9037826310410673,0.8687339433253032,0.09901009384921126,20.0,0.07038439848398365,0.09901009384921126,0.044629167122128714,1.06,0.025831589014019503,0.03225367326219842,2.3202223974345877e-06,19.96,1.3814609318897756e-06,2.289563292786676e-06
0.05,20.0,PYR3_bright,0.8383258167220973,17.14,0.8791723309571169,0.8401830794429243,0.16167418327790273,0.16166696107011275,17.14,7.874890683727088e-06,19.35,0.4902850127346638,9.808504541868045,0.809037066192602,0.9383518419003537,0.6124778727924809,0.572690495892441,0.5356381567345053,0.5083606133653827,0.48182422151229953,0.4197125905158667,0.09901009384921126,20.0,0.07038439848398376,0.09901009384921126,1.0,0.0,0.8791723309571169,0.8401830794429243,0.06729946919064739,19.22,0.05043811046862191,0.06079954079394693,7.874890683727088e-06,19.35,5.160090280431298e-06,7.285913922911722e-06
0.05,20.0,PYR4_bright,0.8969656371199648,17.240000000000002,0.9236687155412435,0.9068646186678956,0.1030343628800352,0.10295851568147334,17.240000000000002,8.68319934835205e-05,18.88,0.34849149477488683,6.971807124691754,0.8818122963952038,0.9067721789672075,0.4216478407220351,0.40496882217630753,0.4095607518029134,0.41131395530931547,0.3577223418118829,0.30153715074624354,0.04462916712212868,1.06,0.025831589014019517,0.032253673262198385,0.06729946919064718,19.22,0.05043811046862184,0.060799540793946845,1.0,0.0,0.9236687155412435,0.9068646186678956,8.68319934835205e-05,18.88,6.158497611813662e-05,8.216727596573755e-05
0.05,20.0,PYR5_bright,0.9999040412732957,18.88,0.9999318734726734,0.9999082572468259,9.595872670431493e-05,9.595872671196563e-05,18.88,1.0,0.0,0.013553628163322274,0.27114503299525505,0.9998934468609894,0.0001301631090424582,0.014620998243705026,0.015634993522996948,0.016141789143009084,0.015391337259025518,0.013829833416281856,0.012613310564715244,2.320222397432574e-06,19.96,1.3814609318886486e-06,2.289563292784693e-06,7.87489068372985e-06,19.35,5.160090280435134e-06,7.285913922916645e-06,8.683199348349753e-05,18.88,6.158497611810899e-05,8.216727596571966e-05,1.0,0.0,0.9999318734726734,0.9999082572468259
0.1,10.0,PYR2_bright,0.8520353511528649,20.0,0.8894871653973899,0.8520353511528649,0.14796464884713512,0.14796066157623283,20.0,3.991707826605567e-06,19.96,0.31901685851274475,6.382250685036097,0.8276885020903122,0.9163565685947861,0.46323939799054203,0.4253712823256979,0.38565198515856036,0.3181685822974127,0.3058404496414476,0.2553307607848933,1.0,0.0,0.8894871653973899,0.8520353511528649,0.10975451148177516,20.0,0.08102755449964417,0.10975451148177516,0.044226830675818195,1.06,0.02948309371292549,0.038206150094457665,3.991707826605567e-06,19.96,2.1863900541245516e-06,3.9872709303899775e-06
0.1,10.0,PYR3_bright,0.8107264241536379,20.0,0.8583234547508207,0.8107264241536379,0.18927357584636206,0.18926093943685263,20.0,1.2753262375735323e-05,19.97,0.4263082119593311,8.528768147068773,0.7876569718002349,0.9322058811323692,0.6039048632969314,0.557252367765483,0.5099774840551478,0.45950955158454315,0.41069588066266266,0.33183484748890424,0.10975451148177565,20.0,0.08102755449964437,0.10975451148177565,1.0,0.0,0.8583234547508207,0.8107264241536379,0.08166730332791033,19.22,0.06064138339251545,0.07950642795507698,1.2753262375735323e-05,19.97,7.607357034099866e-06,1.2636409537750521e-05
