frame,cluster,job,terminated_normally,scf_converged,tddft_finished,has_error_flag,final_single_point_energy_Eh,n_point_charges_file,n_point_charges_orca,point_charge_total,total_runtime_min,out_file,S1_au,S1_eV,S1_cm-1,S2_au,S2_eV,S2_cm-1,S3_au,S3_eV,S3_cm-1,S4_au,S4_eV,S4_cm-1,S5_au,S5_eV,S5_cm-1,S6_au,S6_eV,S6_cm-1,S7_au,S7_eV,S7_cm-1,S8_au,S8_eV,S8_cm-1,S9_au,S9_eV,S9_cm-1,S10_au,S10_eV,S10_cm-1,f1,lambda1_nm,f2,lambda2_nm,f3,lambda3_nm,f4,lambda4_nm,f5,lambda5_nm,f6,lambda6_nm,f7,lambda7_nm,f8,lambda8_nm,f9,lambda9_nm,f10,lambda10_nm,dipole_D,time_ps,S2_minus_S1_eV,S2_minus_S1_meV,n_water_molecules_embedding,previous_frame,previous_S1_eV,delta_frame,delta_time_ps,delta_S1_eV,delta_S1_meV,abs_delta_S1_meV,delta_S1_rate_meV_per_ps,step_review_flag,small_gap_review_flag,state_identity_review_flag
14,PYR4,frame014_PYR4_embedding,True,True,True,False,-615.01082816368,144,144,0.0,8.866666666666667,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.out,0.1462,3.978,32087.1,0.14954,4.069,32820.3,0.168884,4.596,37065.8,0.19315,5.256,42391.6,0.202856,5.52,44521.8,0.210875,5.738,46281.8,0.224156,6.1,49196.6,0.226781,6.171,49772.6,0.230051,6.26,50490.5,0.236368,6.432,51876.9,0.005349326,311.7,0.50755834,304.7,0.000577584,269.8,0.036599853,235.9,0.596021423,224.6,0.005263054,216.1,0.001204625,203.3,0.003716575,200.9,1.26661043,198.1,0.003071366,192.8,1.906278268,70.0,0.09099999999999975,90.99999999999974,36.0,13.0,4.031,1.0,5.0,-0.05299999999999949,-52.99999999999949,52.99999999999949,-10.599999999999898,True,False,True
7,PYR3,frame007_PYR3_embedding,True,True,True,False,-615.014099817425,192,192,0.0,9.133333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.out,0.145848,3.969,32009.9,0.149567,4.07,32826.2,0.167532,4.559,36769.1,0.195279,5.314,42858.8,0.201667,5.488,44260.8,0.210608,5.731,46223.2,0.224196,6.101,49205.2,0.226432,6.162,49696.2,0.229615,6.248,50394.6,0.236931,6.447,52000.2,0.012775698,312.4,0.490450249,304.6,0.001910783,272.0,0.000128367,233.3,0.624500369,225.9,0.003740287,216.3,0.012828671,203.2,0.010933901,201.2,1.27084856,198.4,0.002958505,192.3,0.759345561,35.0,0.10100000000000042,101.00000000000043,48.0,6.0,4.019,1.0,5.0,-0.050000000000000266,-50.00000000000027,50.00000000000027,-10.000000000000053,True,False,True
15,PYR4,frame015_PYR4_embedding,True,True,True,False,-615.010376110066,172,172,0.0,8.933333333333334,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR4_embedding/frame015_PYR4_embedding.out,0.147954,4.026,32472.1,0.150488,4.095,33028.3,0.169464,4.611,37193.1,0.190473,5.183,41803.9,0.203313,5.532,44622.0,0.210902,5.739,46287.7,0.224097,6.098,49183.7,0.227459,6.189,49921.5,0.231051,6.287,50709.8,0.236989,6.449,52013.0,0.01826039,308.0,0.498507322,302.8,0.000779122,268.9,0.025207686,239.2,0.600318588,224.1,0.005217477,216.0,0.007425493,203.3,0.020333948,200.3,1.157328472,197.2,0.002648006,192.3,2.121050863,75.0,0.06899999999999995,68.99999999999994,43.0,14.0,3.978,1.0,5.0,0.0479999999999996,47.9999999999996,47.9999999999996,9.59999999999992,True,False,True
9,PYR5,frame009_PYR5_embedding,True,True,True,False,-615.001913596736,168,168,0.0,8.466666666666667,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.out,0.137822,3.75,30248.5,0.141118,3.84,30971.9,0.158339,4.309,34751.3,0.171813,4.675,37708.7,0.194272,5.286,42637.8,0.201501,5.483,44224.4,0.217223,5.911,47674.9,0.218667,5.95,47991.8,0.222292,6.049,48787.4,0.228945,6.23,50247.7,0.62317919,330.6,0.01299225,322.9,0.017404826,287.8,0.016554235,265.2,0.48788316,234.5,0.001199711,226.1,0.033864069,209.8,0.043841652,208.4,0.023181958,205.0,0.586945291,199.0,2.101996777,45.0,0.08999999999999986,89.99999999999986,42.0,8.0,3.793,1.0,5.0,-0.04300000000000015,-43.00000000000015,43.00000000000015,-8.60000000000003,True,False,True
10,PYR5,frame010_PYR5_embedding,True,True,True,False,-614.992078436593,152,152,0.0,8.7,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.out,0.139305,3.791,30573.8,0.141802,3.859,31121.9,0.161622,4.398,35472.0,0.168403,4.582,36960.3,0.196213,5.339,43063.7,0.201493,5.483,44222.5,0.216986,5.904,47622.9,0.21826,5.939,47902.5,0.221322,6.022,48574.6,0.229005,6.232,50260.8,0.663968719,327.1,0.010302342,321.3,0.001023365,281.9,0.003468508,270.6,0.542643813,232.2,0.000801439,226.1,0.008572012,210.0,0.003533895,208.8,0.001625025,205.9,0.583145388,199.0,1.004213697,50.0,0.06800000000000006,68.00000000000006,38.0,9.0,3.75,1.0,5.0,0.040999999999999925,40.99999999999993,40.99999999999993,8.199999999999985,True,False,True
8,PYR3,frame008_PYR3_embedding,True,True,True,False,-615.016174699285,148,148,0.0,9.3,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.out,0.147272,4.007,32322.4,0.149674,4.073,32849.6,0.171083,4.655,37548.3,0.187989,5.115,41258.8,0.202333,5.506,44407.0,0.210539,5.729,46208.1,0.22441,6.107,49252.3,0.227155,6.181,49854.7,0.23055,6.274,50599.9,0.236186,6.427,51836.9,0.017981471,309.4,0.491495921,304.4,0.004357218,266.3,0.010518698,242.4,0.612924738,225.2,0.009929265,216.4,0.010793753,203.0,0.02067024,200.6,1.152042419,197.6,0.007900168,192.9,1.589176249,40.0,0.06600000000000072,66.00000000000072,37.0,7.0,3.969,1.0,5.0,0.03799999999999981,37.999999999999815,37.999999999999815,7.599999999999963,False,False,False
5,PYR5,frame005_PYR5_embedding,True,True,True,False,-614.996579225859,188,188,0.0,8.416666666666666,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.out,0.139535,3.797,30624.4,0.142257,3.871,31221.7,0.159904,4.351,35094.9,0.170513,4.64,37423.2,0.196252,5.34,43072.4,0.201852,5.493,44301.5,0.217112,5.908,47650.6,0.218733,5.952,48006.3,0.221794,6.035,48678.3,0.229054,6.233,50271.5,0.647307662,326.5,0.020591079,320.3,0.000467882,284.9,0.001176296,267.2,0.552115429,232.2,0.004940383,225.7,0.000737844,209.9,0.007550074,208.3,0.002192528,205.4,0.569266515,198.9,1.21690494,25.0,0.07399999999999984,73.99999999999984,47.0,4.0,3.761,1.0,5.0,0.03600000000000003,36.00000000000003,36.00000000000003,7.2000000000000055,False,False,False
17,PYR3,frame017_PYR3_embedding,True,True,True,False,-615.014898530342,164,164,0.0,8.616666666666667,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR3_embedding/frame017_PYR3_embedding.out,0.147511,4.014,32375.0,0.150354,4.091,32998.9,0.171648,4.671,37672.3,0.188303,5.124,41327.7,0.202513,5.511,44446.5,0.210884,5.738,46283.8,0.22493,6.121,49366.3,0.227056,6.178,49832.9,0.230658,6.277,50623.7,0.237234,6.455,52066.9,0.015689894,308.9,0.499303464,303.0,0.000600353,265.4,0.001030148,242.0,0.629799045,225.0,0.003500236,216.1,0.003200825,202.6,0.029208241,200.7,1.145208777,197.5,0.003585776,192.1,1.127828353,85.0,0.07699999999999996,76.99999999999996,41.0,16.0,3.979,1.0,5.0,0.03500000000000014,35.00000000000014,35.00000000000014,7.000000000000028,False,False,False
12,PYR3,frame012_PYR3_embedding,True,True,True,False,-615.025188707855,184,184,0.0,8.983333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.out,0.147436,4.012,32358.6,0.150161,4.086,32956.5,0.169924,4.624,37294.0,0.189771,5.164,41649.9,0.202442,5.509,44430.9,0.210687,5.733,46240.4,0.224265,6.103,49220.5,0.22696,6.176,49812.0,0.230867,6.282,50669.5,0.237427,6.461,52109.2,0.001832472,309.0,0.511610394,303.4,0.000256415,268.1,0.006130813,240.1,0.619118396,225.1,0.001536943,216.3,0.012544221,203.2,0.07628629,200.8,1.106771405,197.4,0.001713254,191.9,1.583738316,60.0,0.07400000000000073,74.00000000000074,46.0,11.0,3.979,1.0,5.0,0.032999999999999474,32.999999999999474,32.999999999999474,6.599999999999895,False,False,False
17,PYR5,frame017_PYR5_embedding,True,True,True,False,-614.993282486661,192,192,0.0,8.816666666666666,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR5_embedding/frame017_PYR5_embedding.out,0.138043,3.756,30296.9,0.140199,3.815,30770.1,0.158649,4.317,34819.4,0.170413,4.637,37401.3,0.195323,5.315,42868.5,0.200897,5.467,44091.8,0.215825,5.873,47368.0,0.218183,5.937,47885.7,0.220789,6.008,48457.6,0.228474,6.217,50144.3,0.658947702,330.1,0.01916748,325.0,0.000420918,287.2,0.001309858,267.4,0.552730081,233.3,0.000340101,226.8,0.002594387,211.1,0.005590556,208.8,0.000613811,206.4,0.644496007,199.4,1.746649842,85.0,0.05900000000000016,59.00000000000016,48.0,16.0,3.787,1.0,5.0,-0.03100000000000014,-31.00000000000014,31.00000000000014,-6.200000000000028,False,True,True
