frame,time_ps,cluster,S1_eV,S2_eV,S2_minus_S1_meV,f1,n_point_charges_orca,delta_time_ps,delta_S1_meV,step_review_flag,small_gap_review_flag
1,5.0,PYR3,4.01,4.065,55.000000000000604,0.034273552,160,5.0,9.999999999999787,False,True
4,20.0,PYR5,3.761,3.815,53.99999999999983,0.648594776,164,5.0,11.00000000000012,False,True
5,25.0,PYR3,3.995,4.052,56.999999999999496,0.0088556,192,5.0,-19.000000000000128,False,True
5,25.0,PYR4,4.034,4.089,55.000000000000604,0.00846338,180,5.0,9.999999999999787,False,True
7,35.0,PYR3,3.969,4.07,101.00000000000043,0.012775698,192,5.0,-50.00000000000027,True,False
9,45.0,PYR5,3.75,3.84,89.99999999999986,0.62317919,168,5.0,-43.00000000000015,True,False
10,50.0,PYR5,3.791,3.859,68.00000000000006,0.663968719,152,5.0,40.99999999999993,True,False
13,65.0,PYR5,3.783,3.836,52.999999999999936,0.661990456,172,5.0,-14.000000000000234,False,True
14,70.0,PYR4,3.978,4.069,90.99999999999974,0.005349326,144,5.0,-52.99999999999949,True,False
14,70.0,PYR5,3.785,3.843,57.99999999999983,0.634868449,180,5.0,2.000000000000224,False,True
15,75.0,PYR4,4.026,4.095,68.99999999999994,0.01826039,172,5.0,47.9999999999996,True,False
17,85.0,PYR5,3.756,3.815,59.00000000000016,0.658947702,192,5.0,-31.00000000000014,False,True
