frame,time_ps,cluster,tracked_root,tracked_energy_eV,tracked_fosc,tracked_HOMO_LUMO_weight,tracked_dominant_transition,tracked_dominant_weight,alternate_root,alternate_energy_eV,alternate_fosc,alternate_HOMO_LUMO_weight,state_separation_eV,state_separation_meV,HOMO_LUMO_weight_contrast,S1_energy_eV,S1_fosc,S1_HOMO_LUMO_weight,S1_dominant_transition,S1_dominant_weight,S2_energy_eV,S2_fosc,S2_HOMO_LUMO_weight,S2_dominant_transition,S2_dominant_weight
0,0.0,PYR2,2,4.068,0.493214356,0.842611,52a->53a,0.842611,1,3.999,0.001619329,0.0,0.0689999999999995,68.9999999999995,0.842611,3.999,0.001619329,0.0,52a->54a,0.524913,4.068,0.493214356,0.842611,52a->53a,0.842611
0,0.0,PYR3,2,4.079,0.504489664,0.835724,52a->53a,0.835724,1,4.0,0.007854502,0.012573,0.07899999999999974,78.99999999999974,0.823151,4.0,0.007854502,0.012573,52a->54a,0.512591,4.079,0.504489664,0.835724,52a->53a,0.835724
0,0.0,PYR4,2,4.09,0.503190422,0.825844,52a->53a,0.825844,1,4.013,0.01561255,0.024364,0.07699999999999996,76.99999999999996,0.80148,4.013,0.01561255,0.024364,52a->54a,0.519748,4.09,0.503190422,0.825844,52a->53a,0.825844
0,0.0,PYR5,1,3.779,0.652757565,0.863384,52a->53a,0.863384,2,3.845,0.021233224,0.016578,0.06600000000000028,66.00000000000028,0.8468060000000001,3.779,0.652757565,0.863384,52a->53a,0.863384,3.845,0.021233224,0.016578,52a->54a,0.585185
1,5.0,PYR2,2,4.083,0.479081305,0.797002,52a->53a,0.797002,1,3.994,0.031320949,0.050562,0.08899999999999997,88.99999999999997,0.74644,3.994,0.031320949,0.050562,52a->54a,0.51137,4.083,0.479081305,0.797002,52a->53a,0.797002
1,5.0,PYR3,2,4.065,0.471984456,0.793849,52a->53a,0.793849,1,4.01,0.034273552,0.054006,0.055000000000000604,55.000000000000604,0.739843,4.01,0.034273552,0.054006,52a->54a,0.506402,4.065,0.471984456,0.793849,52a->53a,0.793849
1,5.0,PYR4,2,4.089,0.518123726,0.849764,52a->53a,0.849764,1,4.017,0.001991247,0.0,0.07200000000000006,72.00000000000006,0.849764,4.017,0.001991247,0.0,52a->54a,0.539082,4.089,0.518123726,0.849764,52a->53a,0.849764
1,5.0,PYR5,1,3.756,0.66052015,0.867596,52a->53a,0.867596,2,3.839,0.013751886,0.011819,0.08300000000000018,83.00000000000018,0.855777,3.756,0.66052015,0.867596,52a->53a,0.867596,3.839,0.013751886,0.011819,52a->54a,0.57147
2,10.0,PYR2,2,4.094,0.50924132,0.845081,52a->53a,0.845081,1,4.009,0.008972148,0.0,0.08499999999999996,84.99999999999997,0.845081,4.009,0.008972148,0.0,52a->54a,0.571887,4.094,0.50924132,0.845081,52a->53a,0.845081
2,10.0,PYR3,2,4.086,0.493704464,0.829758,52a->53a,0.829758,1,4.013,0.011531162,0.017955,0.0730000000000004,73.0000000000004,0.811803,4.013,0.011531162,0.017955,52a->54a,0.511328,4.086,0.493704464,0.829758,52a->53a,0.829758
