rank,atom_i,atom_j,equilibrium_nm,stage03_length_nm,stage03b_length_nm,stage03b_equilibrium_deviation_nm,stage03_to_stage03b_change_nm
1,1446,1503,0.14512,0.14327944723511496,0.15433405327405816,0.009214053274058165,0.011054606038943204
2,101,102,0.145,0.1440034721803611,0.15404220200970936,0.009042202009709371,0.010038729829348253
3,124,181,0.14456,0.14395138068111726,0.15353826884526237,0.008978268845262372,0.009586888164145102
4,1048,1107,0.14514,0.1494289128649476,0.15340795285773154,0.008267952857731548,0.003979039992783928
5,213,214,0.145,0.14305593311708514,0.1532090075680931,0.008209007568093118,0.010153074451007965
6,594,653,0.14478,0.14571890748972857,0.1529575104399915,0.008177510439991514,0.0072386029502629345
7,320,377,0.14489,0.1451998622588874,0.15305227865013987,0.008162278650139881,0.007852416391252476
8,1099,1100,0.145,0.14675489770361996,0.15311107079502734,0.008111070795027348,0.006356173091407374
9,1232,1291,0.14434,0.1450551619212498,0.15239750654128215,0.00805750654128215,0.0073423446200323594
10,1103,1104,0.145,0.14615402833996732,0.1530163389968531,0.008016338996853112,0.006862310656885778
11,399,400,0.145,0.1450310311622999,0.1528234275234001,0.007823427523400123,0.007792396361100212
12,1422,1481,0.14506,0.1446547614148939,0.15280379576437245,0.007743795764372452,0.008149034349478557
13,1212,1269,0.14529,0.1486203216252739,0.15286922515666815,0.007579225156668146,0.00424890353139426
14,216,273,0.14484,0.14355835050598756,0.15238766354268968,0.007547663542689681,0.008829313036702119
15,916,975,0.14529,0.14822617852457806,0.1528070678993609,0.0075170678993609075,0.004580889374782848
16,1372,1431,0.14439,0.14368716017793645,0.151730023396822,0.007340023396822021,0.00804286321888556
17,326,383,0.14514,0.14570175016107378,0.15247950681976902,0.007339506819769026,0.006777756658695233
18,931,932,0.145,0.14711899945282378,0.15233187453714264,0.007331874537142652,0.005212875084318863
19,155,156,0.145,0.1462224332994085,0.15221366561514785,0.007213665615147857,0.005991232315739337
20,537,538,0.145,0.14604451376207178,0.1521906698848517,0.0071906698848517026,0.006146156122779911
21,1115,1116,0.145,0.14617113258095787,0.1521348086402321,0.00713480864023211,0.0059636760592742255
22,559,560,0.145,0.14451643505151987,0.1521052267346525,0.007105226734652498,0.007588791683132617
23,1157,1158,0.144,0.14700680256369114,0.15108275877809554,0.007082758778095555,0.004075956214404403
24,99,100,0.145,0.14806755215103692,0.15208221460775762,0.007082214607757625,0.004014662456720691
25,454,511,0.14484,0.14486200329969207,0.15191444960898243,0.0070744496089824305,0.007052446309290361
26,686,743,0.14533,0.14961617559609017,0.15235813073151028,0.00702813073151029,0.00274195513542011
27,194,251,0.14574,0.14620875486782572,0.15267285285865326,0.006932852858653249,0.006464097990827533
28,696,753,0.14492,0.14466858677681174,0.13805795884337843,0.006862041156621562,0.006610627933433311
29,720,777,0.14551,0.14698979556418182,0.15235156710713607,0.006841567107136071,0.005361771542954252
30,46,103,0.14464,0.14910734388352584,0.15142985174660906,0.006789851746609066,0.0023225078630832174
