selection_rank,frame,time_ps,mobile_frame,matched_frozen_frame,mobile_lumen_water_count,mobile_lumen_number_density_nm-3,mobile_mean_normalized_radial_position,selection_status
1,0,0.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame0.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame0.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
2,29,14.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame29.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame29.gro,2,0.07164479251401619,0.44717932447184094,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
3,41,20.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame41.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame41.gro,1,0.03575471020720249,0.7261883804557194,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
4,73,36.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame73.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame73.gro,1,0.03582604168887519,0.029770557099079258,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
5,75,37.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame75.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame75.gro,1,0.035811542143014,0.03297332657270673,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
6,86,43.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame86.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame86.gro,7,0.24979199091565796,0.5599492848519066,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
7,102,51.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame102.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame102.gro,10,0.3594825051672326,0.39241009108912456,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
8,104,52.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame104.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame104.gro,11,0.3945219377926153,0.42563398952857606,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
9,106,53.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame106.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame106.gro,9,0.3230845722098478,0.39563813575308016,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
10,107,53.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame107.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame107.gro,7,0.25062272683695314,0.38773445732236084,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
11,111,55.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame111.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame111.gro,5,0.17968470661513047,0.32012525953755666,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
12,115,57.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame115.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame115.gro,4,0.14366173632542723,0.31632433291110723,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
13,117,58.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame117.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame117.gro,3,0.107351621427579,0.42522529411516213,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
14,131,65.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame131.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame131.gro,4,0.1435737192219326,0.5030311628541893,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
15,158,79.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame158.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame158.gro,6,0.21645471918328765,0.3785991395464985,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
16,159,79.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame159.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame159.gro,3,0.10718633200077214,0.6953089823668069,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
17,163,81.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame163.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame163.gro,3,0.10722198427172473,0.5328922171986878,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
18,178,89.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame178.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame178.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
19,184,92.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame184.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame184.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
20,190,95.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame190.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame190.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
21,200,100.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame200.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/matched_mobile_vs_frozen_water/matched_frozen_44_144ps_frames/matched_frozen_frame200.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
