target_energy_kBT_at_0p17nm,target_energy_kJ_mol,C6_kJ_mol_nm6,C12_kJ_mol_nm12,diagnostic_radius_nm,potential_kJ_mol,potential_kBT,force_kJ_mol_nm,target_force_at_0p17nm_kJ_mol_nm
5.0,12.471693927229861,0.0,7.266286217927493e-09,0.114878,1375.5301330901118,551.4608284632737,143686.0112213073,880.3548654515195
5.0,12.471693927229861,0.0,7.266286217927493e-09,0.15,56.00378658897417,22.452357681220533,4480.302927117934,880.3548654515195
5.0,12.471693927229861,0.0,7.266286217927493e-09,0.17,12.471693927229861,5.0,880.3548654515196,880.3548654515195
5.0,12.471693927229861,0.0,7.266286217927493e-09,0.2,1.7739956586737031,0.7112087856808608,106.43973952042218,880.3548654515195
5.0,12.471693927229861,0.0,7.266286217927493e-09,0.22,0.5652496873378254,0.22661303694428273,30.831801127517746,880.3548654515195
5.0,12.471693927229861,0.0,7.266286217927493e-09,0.25,0.12190805339599262,0.048873895602034756,5.851586563007645,880.3548654515195
10.0,24.943387854459722,0.0,1.4532572435854985e-08,0.114878,2751.0602661802236,1102.9216569265475,287372.0224426146,1760.709730903039
10.0,24.943387854459722,0.0,1.4532572435854985e-08,0.15,112.00757317794834,44.90471536244107,8960.605854235868,1760.709730903039
10.0,24.943387854459722,0.0,1.4532572435854985e-08,0.17,24.943387854459722,10.0,1760.7097309030391,1760.709730903039
10.0,24.943387854459722,0.0,1.4532572435854985e-08,0.2,3.5479913173474062,1.4224175713617215,212.87947904084436,1760.709730903039
10.0,24.943387854459722,0.0,1.4532572435854985e-08,0.22,1.1304993746756509,0.45322607388856545,61.66360225503549,1760.709730903039
10.0,24.943387854459722,0.0,1.4532572435854985e-08,0.25,0.24381610679198523,0.09774779120406951,11.70317312601529,1760.709730903039
20.0,49.886775708919444,0.0,2.906514487170997e-08,0.114878,5502.120532360447,2205.843313853095,574744.0448852292,3521.419461806078
20.0,49.886775708919444,0.0,2.906514487170997e-08,0.15,224.0151463558967,89.80943072488213,17921.211708471736,3521.419461806078
20.0,49.886775708919444,0.0,2.906514487170997e-08,0.17,49.886775708919444,20.0,3521.4194618060783,3521.419461806078
20.0,49.886775708919444,0.0,2.906514487170997e-08,0.2,7.0959826346948125,2.844835142723443,425.7589580816887,3521.419461806078
20.0,49.886775708919444,0.0,2.906514487170997e-08,0.22,2.2609987493513017,0.9064521477771309,123.32720451007098,3521.419461806078
20.0,49.886775708919444,0.0,2.906514487170997e-08,0.25,0.48763221358397046,0.19549558240813902,23.40634625203058,3521.419461806078
40.0,99.77355141783889,0.0,5.813028974341994e-08,0.114878,11004.241064720894,4411.68662770619,1149488.0897704584,7042.838923612156
40.0,99.77355141783889,0.0,5.813028974341994e-08,0.15,448.0302927117934,179.61886144976427,35842.42341694347,7042.838923612156
40.0,99.77355141783889,0.0,5.813028974341994e-08,0.17,99.77355141783889,40.0,7042.838923612157,7042.838923612156
40.0,99.77355141783889,0.0,5.813028974341994e-08,0.2,14.191965269389625,5.689670285446886,851.5179161633774,7042.838923612156
40.0,99.77355141783889,0.0,5.813028974341994e-08,0.22,4.5219974987026035,1.8129042955542618,246.65440902014197,7042.838923612156
40.0,99.77355141783889,0.0,5.813028974341994e-08,0.25,0.9752644271679409,0.39099116481627805,46.81269250406116,7042.838923612156
