time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
0.0,300.056243896484,-899823.0625,-775952.1875,14.30580329895
0.05,179.03955078125,-829618.125,-755706.0,24.867645263672
0.1,188.084411621094,-810994.9375,-733348.875,37.882026672363
0.15,206.642578125,-798158.25,-712850.9375,34.531562805176
0.2,230.42448425293,-791394.6875,-696269.5625,23.107818603516
0.25,249.109588623047,-787179.1875,-684340.375,16.952863693237
0.3,257.234619140625,-782034.4375,-675841.4375,18.194942474365
0.35,265.710998535156,-777657.875,-667965.5625,22.98565864563
0.4,270.810363769531,-773940.1875,-662142.75,28.982933044434
0.45,277.919555664062,-771703.0,-656970.6875,27.773273468018
0.5,281.835357666016,-769263.625,-652914.8125,38.729907989502
0.55,284.103179931641,-767290.0625,-650005.0,37.151721954346
0.6,288.696838378906,-765809.875,-646628.4375,28.728792190552
0.65,290.884185791016,-764050.375,-643965.9375,27.505268096924
0.7,291.799652099609,-763732.8125,-643270.5,22.424129486084
0.75,292.929992675781,-763190.0,-642261.0,20.039594650269
0.8,296.024475097656,-762352.5,-640146.0625,24.948230743408
0.85,295.230743408203,-761616.3125,-639737.5,32.512889862061
0.9,296.155212402344,-761066.5,-638806.0625,38.212707519531
0.95,298.212493896484,-760210.375,-637100.625,30.967205047607
1.0,297.592193603516,-759750.125,-636896.5,23.345731735229
1.05,300.222717285156,-759909.5625,-635969.9375,26.106536865234
1.1,298.811187744141,-758730.5625,-635373.6875,24.070983886719
1.15,299.296081542969,-758657.6875,-635100.625,26.76496887207
1.2,301.293823242188,-759271.0,-634889.25,28.891607284546
1.25,300.554107666016,-759302.25,-635225.875,26.374324798584
1.3,298.769256591797,-758601.75,-635262.1875,19.093740463257
1.35,298.949310302734,-758093.25,-634679.375,19.575174331665
1.4,301.913848876953,-759029.8125,-634392.0625,27.868881225586
1.45,299.958129882812,-758568.5625,-634738.1875,37.418983459473
1.5,299.031555175781,-758682.25,-635234.375,32.078842163086
1.55,300.560729980469,-759373.375,-635294.25,33.243728637695
1.6,298.697448730469,-758605.125,-635295.1875,32.434036254883
1.65,300.251556396484,-758926.3125,-634974.8125,31.388898849487
1.7,300.178039550781,-759507.0625,-635585.875,27.767688751221
1.75,301.399047851562,-759182.0625,-634756.875,18.713859558105
1.8,299.668670654297,-758874.8125,-635163.9375,22.658573150635
1.85,301.382690429688,-759445.625,-635027.125,34.732013702393
1.9,298.146270751953,-758088.625,-635006.25,33.311916351318
1.95,299.584381103516,-758690.0,-635013.9375,37.819450378418
2.0,300.357482910156,-759362.3125,-635367.0625,26.183361053467
2.05,299.955535888672,-759145.625,-635316.3125,25.334869384766
2.1,301.503631591797,-760041.3125,-635572.9375,41.384189605713
2.15,300.135040283203,-759603.0,-635699.625,21.00963973999
2.2,300.771270751953,-758911.1875,-634745.125,16.139978408813
2.25,300.304229736328,-758968.375,-634995.125,17.23628616333
2.3,300.033843994141,-758260.8125,-634399.1875,17.418260574341
2.35,301.641540527344,-759706.25,-635180.9375,15.249924659729
2.4,299.863647460938,-759645.8125,-635854.4375,19.431844711304
2.45,300.414520263672,-760363.25,-636344.5,20.627105712891
2.5,301.086029052734,-760728.875,-636432.875,21.657373428345
2.55,299.938323974609,-760548.8125,-636726.625,24.055589675903
2.6,300.771118164062,-759914.4375,-635748.4375,29.107084274292
2.65,300.090240478516,-759804.125,-635919.1875,24.815599441528
2.7,298.630096435547,-760034.5,-636752.375,23.916770935059
2.75,301.046508789062,-761033.4375,-636753.75,24.6164894104
2.8,301.462646484375,-761665.0,-637213.5,18.038589477539
2.85,300.623657226562,-761622.25,-637517.125,17.328176498413
2.9,301.088897705078,-761421.1875,-637124.0,22.108592987061
2.95,299.317474365234,-761375.5,-637809.625,19.801195144653
3.0,299.414703369141,-761461.375,-637855.3125,22.36326789856
3.05,300.395294189453,-761990.3125,-637979.4375,25.663974761963
3.1,298.566680908203,-761348.375,-638092.4375,29.669769287109
3.15,301.576721191406,-762311.375,-637812.8125,21.723323822021
3.2,299.415100097656,-762161.375,-638555.1875,22.025989532471
3.25,300.505035400391,-762422.9375,-638366.75,19.121416091919
3.3,300.402862548828,-762283.8125,-638269.875,21.693096160889
3.35,299.603363037109,-761399.125,-637715.1875,12.119939804077
3.4,301.495025634766,-761849.8125,-637385.0,12.606699943542
3.45,299.329315185547,-760673.5625,-637102.75,15.647609710693
3.5,298.794616699219,-761034.0625,-637684.0,15.785121917725
3.55,299.883850097656,-761711.625,-637911.875,11.244589805603
3.6,301.638763427734,-762410.125,-637885.9375,11.268901824951
3.65,298.062774658203,-761928.625,-638880.6875,13.842904090881
3.7,301.765167236328,-762494.375,-637918.0,17.450630187988
3.75,300.013122558594,-761517.8125,-637664.75,22.906045913696
3.8,301.079467773438,-761282.4375,-636989.125,11.973546981812
3.85,299.821044921875,-761713.3125,-637939.5,17.812362670898
3.9,300.981719970703,-761998.1875,-637745.25,15.336556434631
3.95,301.8154296875,-762967.1875,-638370.0625,13.01794052124
4.0,300.807342529297,-762885.375,-638704.4375,8.717604637146
4.05,300.614074707031,-763131.125,-639029.9375,12.827088356018
4.1,297.337890625,-762472.125,-639723.4375,15.431631088257
4.15,299.250091552734,-762636.0625,-639098.0,17.781471252441
4.2,299.281463623047,-763089.9375,-639538.875,21.088813781738
4.25,299.979919433594,-763450.5,-639611.125,12.998688697815
4.3,299.273864746094,-763241.625,-639693.75,20.168367385864
4.35,296.456176757812,-763057.1875,-640672.5,9.277961730957
4.4,298.785308837891,-763059.0625,-639712.875,8.798879623413
4.45,300.520782470703,-763485.0,-639422.375,10.045001983643
4.5,302.043060302734,-763303.6875,-638612.625,16.507167816162
4.55,298.030975341797,-761962.9375,-638928.125,26.964580535889
4.6,299.880462646484,-762187.8125,-638389.5,19.074247360229
4.65,300.606384277344,-763083.125,-638985.125,16.72652053833
4.7,299.862182617188,-762885.375,-639094.625,14.070262908936
4.75,298.633361816406,-762610.375,-639326.875,10.675867080688
4.8,299.5703125,-763252.125,-639581.875,12.372519493103
4.85,299.661437988281,-763719.5625,-640011.6875,9.798458099365
4.9,300.098175048828,-764150.375,-640262.1875,11.36012840271
4.95,299.214416503906,-763670.375,-640147.0,16.817203521729
5.0,299.088409423828,-763500.6875,-640029.375,15.43417263031
5.05,300.885040283203,-763955.5,-639742.5,14.706583976746
5.1,300.012542724609,-763442.6875,-639589.875,13.758483886719
5.15,298.655822753906,-762949.125,-639656.375,18.946447372437
5.2,297.795867919922,-763955.25,-641017.5,26.290033340454
5.25,298.176788330078,-764378.9375,-641283.9375,25.624551773071
5.3,298.542297363281,-763871.875,-640626.0,27.176719665527
5.35,298.584045410156,-763782.625,-640519.5,22.471366882324
5.4,299.724761962891,-763306.5,-639572.5,20.145835876465
5.45,301.918579101562,-763310.8125,-638671.125,16.455444335938
5.5,299.907775878906,-762206.8125,-638397.25,13.454225540161
5.55,298.617889404297,-761628.875,-638351.75,17.247451782227
5.6,301.844055175781,-762417.125,-637808.1875,12.306282997131
5.65,301.789245605469,-762049.5,-637463.1875,12.21453666687
5.7,301.596130371094,-762323.6875,-637817.125,15.915371894836
5.75,298.869537353516,-761674.25,-638293.25,29.109394073486
5.8,301.013061523438,-762385.0,-638119.125,24.920696258545
5.85,301.873748779297,-762125.5,-637504.3125,23.69352722168
