index,time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
0,0.0,300.056243896484,-899823.0625,-775952.1875,14.30580329895
1,0.05,179.03955078125,-829618.125,-755706.0,24.867645263672
2,0.1,188.084411621094,-810994.9375,-733348.875,37.882026672363
3,0.15,206.642578125,-798158.25,-712850.9375,34.531562805176
4,0.2,230.42448425293,-791394.6875,-696269.5625,23.107818603516
5,0.25,249.109588623047,-787179.1875,-684340.375,16.952863693237
6,0.3,257.234619140625,-782034.4375,-675841.4375,18.194942474365
7,0.35,265.710998535156,-777657.875,-667965.5625,22.98565864563
8,0.4,270.810363769531,-773940.1875,-662142.75,28.982933044434
9,0.45,277.919555664062,-771703.0,-656970.6875,27.773273468018
10,0.5,281.835357666016,-769263.625,-652914.8125,38.729907989502
11,0.55,284.103179931641,-767290.0625,-650005.0,37.151721954346
12,0.6,288.696838378906,-765809.875,-646628.4375,28.728792190552
13,0.65,290.884185791016,-764050.375,-643965.9375,27.505268096924
14,0.7,291.799652099609,-763732.8125,-643270.5,22.424129486084
15,0.75,292.929992675781,-763190.0,-642261.0,20.039594650269
16,0.8,296.024475097656,-762352.5,-640146.0625,24.948230743408
17,0.85,295.230743408203,-761616.3125,-639737.5,32.512889862061
18,0.9,296.155212402344,-761066.5,-638806.0625,38.212707519531
19,0.95,298.212493896484,-760210.375,-637100.625,30.967205047607
20,1.0,297.592193603516,-759750.125,-636896.5,23.345731735229
21,1.05,300.222717285156,-759909.5625,-635969.9375,26.106536865234
22,1.1,298.811187744141,-758730.5625,-635373.6875,24.070983886719
23,1.15,299.296081542969,-758657.6875,-635100.625,26.76496887207
24,1.2,301.293823242188,-759271.0,-634889.25,28.891607284546
25,1.25,300.554107666016,-759302.25,-635225.875,26.374324798584
26,1.3,298.769256591797,-758601.75,-635262.1875,19.093740463257
27,1.35,298.949310302734,-758093.25,-634679.375,19.575174331665
28,1.4,301.913848876953,-759029.8125,-634392.0625,27.868881225586
29,1.45,299.958129882812,-758568.5625,-634738.1875,37.418983459473
30,1.5,299.031555175781,-758682.25,-635234.375,32.078842163086
31,1.55,300.560729980469,-759373.375,-635294.25,33.243728637695
32,1.6,298.697448730469,-758605.125,-635295.1875,32.434036254883
33,1.65,300.251556396484,-758926.3125,-634974.8125,31.388898849487
34,1.7,300.178039550781,-759507.0625,-635585.875,27.767688751221
35,1.75,301.399047851562,-759182.0625,-634756.875,18.713859558105
36,1.8,299.668670654297,-758874.8125,-635163.9375,22.658573150635
37,1.85,301.382690429688,-759445.625,-635027.125,34.732013702393
38,1.9,298.146270751953,-758088.625,-635006.25,33.311916351318
39,1.95,299.584381103516,-758690.0,-635013.9375,37.819450378418
40,2.0,300.357482910156,-759362.3125,-635367.0625,26.183361053467
