gate,pass
convert_tpr_return_code_zero,True
source_TPR_dump_return_code_zero,True
extended_TPR_dump_return_code_zero,True
checkpoint_dump_return_code_zero,True
source_TPR_has_68314_atoms,True
extended_TPR_has_68314_atoms,True
source_final_GRO_has_68314_atoms,True
source_TPR_has_40000_steps,True
extended_TPR_has_100000_steps,True
source_dt_is_0p0005ps,True
extended_dt_is_0p0005ps,True
source_total_time_is_20ps,True
extended_total_time_is_50ps,True
checkpoint_step_is_40000,True
checkpoint_time_is_20ps,True
remaining_steps_are_60000,True
remaining_time_is_30ps,True
trajectory_stride_is_preserved,True
expected_continuation_frames_are_61,True
no_TPR_changes_beyond_nsteps,True
checkpoint_copy_is_bitwise_identical,True
thermal_review_authorized_continuation,True
no_unreviewed_source_gate_failures,True
