time_ps,segment,lumen_occupancy,initial_lumen_waters_retained,initial_lumen_waters_lost,waters_entered_from_initial_outside,minimum_CAP_OW_distance_nm
0.0,source_0_to_20ps,428,428,0,0,0.2201885555609106
0.5,source_0_to_20ps,426,426,2,0,0.173677862722916
1.0,source_0_to_20ps,428,428,0,0,0.1850675552332178
1.5,source_0_to_20ps,426,426,2,0,0.18057131555150166
2.0,source_0_to_20ps,428,428,0,0,0.19325889371514068
2.5,source_0_to_20ps,428,428,0,0,0.1840081519933288
3.0,source_0_to_20ps,428,428,0,0,0.19000263156072397
3.5,source_0_to_20ps,428,428,0,0,0.19304144632694817
4.0,source_0_to_20ps,428,428,0,0,0.20801922988031657
4.5,source_0_to_20ps,428,428,0,0,0.19732967338948257
5.0,source_0_to_20ps,428,428,0,0,0.1986303098723862
5.5,source_0_to_20ps,428,428,0,0,0.200992537174891
6.0,source_0_to_20ps,428,428,0,0,0.19361043360315064
6.5,source_0_to_20ps,428,428,0,0,0.18455622449540968
7.0,source_0_to_20ps,428,428,0,0,0.19932636554154062
7.5,source_0_to_20ps,428,428,0,0,0.19065675964937623
8.0,source_0_to_20ps,428,428,0,0,0.17595738120351753
8.5,source_0_to_20ps,428,428,0,0,0.1954814569211104
9.0,source_0_to_20ps,428,428,0,0,0.19267589366602142
9.5,source_0_to_20ps,428,428,0,0,0.19319937888098862
10.0,source_0_to_20ps,428,428,0,0,0.18891797161731358
10.5,source_0_to_20ps,428,428,0,0,0.18166452598127064
11.0,source_0_to_20ps,428,428,0,0,0.19812369873389707
11.5,source_0_to_20ps,428,428,0,0,0.19879134790025407
12.0,source_0_to_20ps,428,428,0,0,0.19692892118731545
12.5,source_0_to_20ps,428,428,0,0,0.20028729365588752
13.0,source_0_to_20ps,428,428,0,0,0.20500243900988052
13.5,source_0_to_20ps,428,428,0,0,0.19111514853616404
14.0,source_0_to_20ps,428,428,0,0,0.18331666590902182
14.5,source_0_to_20ps,428,428,0,0,0.19297150048647108
15.0,source_0_to_20ps,428,428,0,0,0.18492701262930714
15.5,source_0_to_20ps,428,428,0,0,0.18504323819042912
16.0,source_0_to_20ps,428,428,0,0,0.1963695495742658
