frame,time_ps,lumen_occupancy,initial_lumen_waters_retained,initial_lumen_waters_lost,waters_entered_from_initial_outside,initial_lumen_retention_fraction,minimum_CAP_OW_distance_nm,HBN_max_displacement_nm,PYR_max_displacement_nm,CAPS_max_displacement_nm
0,20.0,428,428,0,0,1.0,0.19576005721290515,0.0,0.0,0.0
1,20.5,428,428,0,0,1.0,0.18635986692418505,0.0,0.0,0.0
2,21.0,428,428,0,0,1.0,0.20464114933219038,0.0,0.0,0.0
3,21.5,428,428,0,0,1.0,0.20010247374782753,0.0,0.0,0.0
4,22.0,428,428,0,0,1.0,0.18563135511006768,0.0,0.0,0.0
5,22.5,428,428,0,0,1.0,0.19387367020820573,0.0,0.0,0.0
6,23.0,428,428,0,0,1.0,0.18098894993893938,0.0,0.0,0.0
7,23.5,428,428,0,0,1.0,0.20785812469085735,0.0,0.0,0.0
8,24.0,428,428,0,0,1.0,0.20037464909513875,0.0,0.0,0.0
9,24.5,428,428,0,0,1.0,0.18235130929061105,0.0,0.0,0.0
10,25.0,428,428,0,0,1.0,0.19547122550390844,0.0,0.0,0.0
11,25.5,428,428,0,0,1.0,0.19242141252989478,0.0,0.0,0.0
12,26.0,428,428,0,0,1.0,0.18912958520548787,0.0,0.0,0.0
13,26.5,428,428,0,0,1.0,0.2011317975855632,0.0,0.0,0.0
14,27.0,428,428,0,0,1.0,0.2052535017971679,0.0,0.0,0.0
15,27.5,428,428,0,0,1.0,0.18165902124584965,0.0,0.0,0.0
16,28.0,428,428,0,0,1.0,0.19016308790088568,0.0,0.0,0.0
17,28.5,428,428,0,0,1.0,0.172449992751522,0.0,0.0,0.0
18,29.0,428,428,0,0,1.0,0.18332484828849588,0.0,0.0,0.0
19,29.5,427,427,1,0,0.9976635514018691,0.17939899665271303,0.0,0.0,0.0
20,30.0,428,428,0,0,1.0,0.1817965896269789,0.0,0.0,0.0
21,30.5,428,428,0,0,1.0,0.21092415698539602,0.0,0.0,0.0
22,31.0,428,428,0,0,1.0,0.21495580941207423,0.0,0.0,0.0
23,31.5,428,428,0,0,1.0,0.21030691857378345,0.0,0.0,0.0
24,32.0,428,428,0,0,1.0,0.179304210770411,0.0,0.0,0.0
25,32.5,427,427,1,0,0.9976635514018691,0.18978408784721706,0.0,0.0,0.0
26,33.0,428,428,0,0,1.0,0.2003022715797299,0.0,0.0,0.0
27,33.5,428,428,0,0,1.0,0.19667740083700547,0.0,0.0,0.0
28,34.0,428,428,0,0,1.0,0.1878669742131384,0.0,0.0,0.0
29,34.5,428,428,0,0,1.0,0.20122127124138733,0.0,0.0,0.0
30,35.0,428,428,0,0,1.0,0.1913347851280574,0.0,0.0,0.0
31,35.5,428,428,0,0,1.0,0.20719314660480515,0.0,0.0,0.0
32,36.0,428,428,0,0,1.0,0.19133478512805724,0.0,0.0,0.0
33,36.5,428,428,0,0,1.0,0.1909895285087638,0.0,0.0,0.0
34,37.0,428,428,0,0,1.0,0.20642189806316538,0.0,0.0,0.0
35,37.5,428,428,0,0,1.0,0.17670880000724362,0.0,0.0,0.0
36,38.0,428,428,0,0,1.0,0.19533816831331222,0.0,0.0,0.0
37,38.5,428,428,0,0,1.0,0.21586569898897762,0.0,0.0,0.0
38,39.0,428,428,0,0,1.0,0.18565020872598015,0.0,0.0,0.0
39,39.5,428,428,0,0,1.0,0.19658585910487056,0.0,0.0,0.0
40,40.0,428,428,0,0,1.0,0.19271222068151223,0.0,0.0,0.0
41,40.5,428,428,0,0,1.0,0.19051771571168913,0.0,0.0,0.0
42,41.0,428,428,0,0,1.0,0.18858419870179993,0.0,0.0,0.0
43,41.5,428,428,0,0,1.0,0.18020543831971328,0.0,0.0,0.0
44,42.0,428,428,0,0,1.0,0.19134785078489974,0.0,0.0,0.0
45,42.5,428,428,0,0,1.0,0.18739530410338465,0.0,0.0,0.0
46,43.0,428,428,0,0,1.0,0.19316832038406295,0.0,0.0,0.0
47,43.5,428,428,0,0,1.0,0.1928237537234448,0.0,0.0,0.0
48,44.0,428,428,0,0,1.0,0.20684777011125835,0.0,0.0,0.0
49,44.5,428,428,0,0,1.0,0.18860010604450908,0.0,0.0,0.0
50,45.0,428,428,0,0,1.0,0.20672203559369268,0.0,0.0,0.0
51,45.5,428,428,0,0,1.0,0.18239791665476898,0.0,0.0,0.0
52,46.0,428,428,0,0,1.0,0.19491793144808364,0.0,0.0,0.0
53,46.5,428,428,0,0,1.0,0.18986310858089317,0.0,0.0,0.0
54,47.0,428,428,0,0,1.0,0.1998449398909065,0.0,0.0,0.0
55,47.5,428,428,0,0,1.0,0.19181762171396108,0.0,0.0,0.0
56,48.0,428,428,0,0,1.0,0.19571918659140156,0.0,0.0,0.0
57,48.5,428,428,0,0,1.0,0.19276929216034375,0.0,0.0,0.0
58,49.0,428,428,0,0,1.0,0.1850270250530985,0.0,0.0,0.0
59,49.5,428,428,0,0,1.0,0.17930421077041134,0.0,0.0,0.0
60,50.0,428,428,0,0,1.0,0.1953919138552053,0.0,0.0,0.0
