gate,pass
mdrun_return_code_zero,True
mdrun_finished,True
checkpoint_continuation_was_reported,True
no_instability_signatures,True
trajectory_check_return_code_zero,True
continuation_frame_count_is_60_or_61,True
continuation_last_time_is_50ps,True
combined_trajectory_has_101_unique_frames,True
combined_trajectory_starts_at_0ps,True
combined_trajectory_ends_at_50ps,True
combined_frame_spacing_is_0p5ps,True
final_atom_count_is_68314,True
box_is_unchanged,True
HBN_final_coordinates_are_frozen,True
PYR_final_coordinates_are_frozen,True
CAPS_final_coordinates_are_frozen,True
HBN_continuation_trajectory_is_frozen,True
PYR_continuation_trajectory_is_frozen,True
CAPS_continuation_trajectory_is_frozen,True
water_coordinates_are_mobile,True
continuation_temperature_mean_is_295_to_305K,True
continuation_temperature_std_is_at_most_5K,True
continuation_temperature_range_is_280_to_320K,True
continuation_temperature_slope_is_small,True
last15ps_temperature_mean_is_295_to_305K,True
last15ps_temperature_std_is_at_most_5K,True
last15ps_temperature_slope_is_small,True
potential_series_is_finite,True
total_energy_series_is_finite,True
CAP_SOL_energy_series_is_finite,True
CAP_SOL_energy_remains_below_500kJmol,True
initial_lumen_occupancy_is_428,True
no_complete_lumen_drying_over_0_to_50ps,True
combined_minimum_occupancy_is_at_least_90_percent,True
continuation_endpoint_occupancy_is_at_least_90_percent,True
continuation_endpoint_initial_retention_is_at_least_90_percent,True
combined_second_half_occupancy_slope_is_small,True
CAP_OW_distance_remains_above_0p15nm,True
