candidate_id,removal_radius_nm,cap_beads_lower,cap_beads_upper,cap_beads_total,removed_cap_beads_total,nearest_lower_cap_radial_nm,nearest_upper_cap_radial_nm,limiting_nearest_cap_radial_nm,effective_aperture_radius_5kBT_nm,effective_aperture_diameter_5kBT_nm,conservative_aperture_radius_nm,conservative_aperture_diameter_nm,open_area_fraction,removed_water_molecules,retained_water_molecules,removed_lumen_water_molecules,retained_lumen_water_molecules,lumen_water_retention_fraction,minimum_CAP_HBN_distance_nm,minimum_CAP_PYR_distance_nm,minimum_CAP_OW_distance_nm,candidate_pass,failed_gates
remove_r0p20,0.2,160,160,320,6,0.20021890247567772,0.20021890247567767,0.20021890247567767,0.030218902475677656,0.06043780495135531,0.0,0.0,0.0010137330451433333,83,16551,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,False,effective_aperture_radius_in_target_range | conservative_aperture_is_open
remove_r0p25,0.25,156,156,312,14,0.346181754533096,0.3461817545330959,0.3461817545330959,0.1761817545330959,0.3523635090661918,0.1261817545330959,0.2523635090661918,0.034457843227990725,80,16554,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,False,effective_aperture_radius_in_target_range | conservative_aperture_is_open
remove_r0p30,0.3,156,156,312,14,0.346181754533096,0.3461817545330959,0.3461817545330959,0.1761817545330959,0.3523635090661918,0.1261817545330959,0.2523635090661918,0.034457843227990725,80,16554,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,False,effective_aperture_radius_in_target_range | conservative_aperture_is_open
remove_r0p35,0.35,150,150,300,26,0.3996559364506406,0.3996559364506405,0.3996559364506405,0.2296559364506405,0.459311872901281,0.1796559364506405,0.359311872901281,0.05854928308835092,77,16557,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,True,
remove_r0p40,0.4,148,148,296,30,0.40004083451216566,0.4000408345121656,0.4000408345121656,0.2300408345121656,0.4600816690243312,0.1800408345121656,0.3600816690243312,0.0587457020480102,73,16561,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,True,
remove_r0p45,0.45,144,144,288,38,0.5288191434076136,0.5288191434076136,0.5288191434076136,0.35881914340761356,0.7176382868152271,0.3088191434076136,0.6176382868152273,0.14292804047662536,69,16565,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,True,
remove_r0p50,0.5,144,144,288,38,0.5288191434076136,0.5288191434076136,0.5288191434076136,0.35881914340761356,0.7176382868152271,0.3088191434076136,0.6176382868152273,0.14292804047662536,69,16565,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,True,
remove_r0p55,0.55,132,132,264,62,0.5995931968616158,0.5995931968616157,0.5995931968616157,0.4295931968616157,0.8591863937232314,0.37959319686161574,0.7591863937232315,0.2048712511870976,63,16571,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,False,open_area_fraction_is_limited
remove_r0p60,0.6,128,128,256,70,0.6002072840117026,0.6002072840117026,0.6002072840117026,0.4302072840117026,0.8604145680234052,0.3802072840117027,0.7604145680234053,0.2054573811498035,57,16577,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,False,open_area_fraction_is_limited
remove_r0p65,0.65,126,126,252,74,0.6923442973447076,0.6923442973447076,0.6923442973447076,0.5223442973447076,1.044688594689415,0.4723442973447076,0.9446885946894152,0.3028865195766483,57,16577,0,428,1.0,0.2000024999843745,0.9593930372897227,0.2201885555609106,False,effective_aperture_radius_in_target_range | open_area_fraction_is_limited
