end,end_local_index,source_R1_cap_index_zero_based,source_R1_cap_index_one_based,x_nm,y_nm,z_nm,radial_distance_from_axis_nm,axial_coordinate_nm
lower,1,19,20,3.871,3.197,1.8,0.5296231330327766,-3.2087252746914947
lower,2,20,21,4.044,3.297,1.8,0.5295712637710615,-3.2087252746914947
lower,3,21,22,4.217,3.597,1.8,0.5292552305542901,-3.2087252746914947
lower,4,22,23,4.217,3.797,1.8,0.5291251405456416,-3.2087252746914947
lower,5,23,24,4.044,4.097,1.8,0.5290510226486294,-3.2087252746914947
lower,6,24,25,3.871,4.197,1.8,0.5289728154501944,-3.2087252746914947
lower,7,25,26,3.524,4.197,1.8,0.5288706103197484,-3.2087252746914947
lower,8,26,27,3.351,4.097,1.8,0.5288469174452641,-3.2087252746914947
lower,9,27,28,3.178,3.797,1.8,0.5288191434076136,-3.2087252746914947
lower,10,28,29,3.178,3.597,1.8,0.5289493086733283,-3.2087252746914947
lower,11,29,30,3.351,3.297,1.8,0.5293673591541858,-3.2087252746914947
lower,12,30,31,3.524,3.197,1.8,0.5295210534229322,-3.2087252746914947
lower,13,31,32,4.217,3.397,1.8,0.6002072840117026,-3.2087252746914947
lower,14,32,33,4.217,3.997,1.8,0.599863092418441,-3.2087252746914947
lower,15,33,34,3.697,4.297,1.8,0.5996558870123831,-3.2087252746914947
lower,16,34,35,3.178,3.997,1.8,0.5995931968616158,-3.2087252746914947
lower,17,35,36,3.178,3.397,1.8,0.5999375432973184,-3.2087252746914947
lower,18,36,37,3.697,3.097,1.8,0.6003443104572468,-3.2087252746914947
lower,19,37,38,4.044,3.097,1.8,0.6932412337157313,-3.2087252746914947
lower,20,38,39,4.39,3.697,1.8,0.6926558737480684,-3.2087252746914947
lower,21,39,40,4.044,4.297,1.8,0.6926451471380782,-3.2087252746914947
lower,22,40,41,3.351,4.297,1.8,0.6924892615627535,-3.2087252746914947
lower,23,41,42,3.005,3.697,1.8,0.6923442973447076,-3.2087252746914947
lower,24,42,43,3.351,3.097,1.8,0.6930854822094505,-3.2087252746914947
lower,25,43,44,3.871,2.997,1.8,0.7215527338698705,-3.2087252746914947
lower,26,44,45,4.217,3.197,1.8,0.7213781730079822,-3.2087252746914947
lower,27,45,46,4.39,3.497,1.8,0.7210477405479682,-3.2087252746914947
lower,28,46,47,4.39,3.897,1.8,0.7208567643617352,-3.2087252746914947
lower,29,47,48,4.217,4.197,1.8,0.7209008565220224,-3.2087252746914947
lower,30,48,49,3.871,4.397,1.8,0.7208845641111175,-3.2087252746914947
lower,31,49,50,3.524,4.397,1.8,0.7208095710715512,-3.2087252746914947
lower,32,50,51,3.178,4.197,1.8,0.720676291417376,-3.2087252746914947
lower,33,51,52,3.005,3.897,1.8,0.7205573824159371,-3.2087252746914947
lower,34,52,53,3.005,3.497,1.8,0.7207484379291895,-3.2087252746914947
lower,35,53,54,3.178,3.197,1.8,0.7211537565382652,-3.2087252746914947
lower,36,54,55,3.524,2.997,1.8,0.7214778102823135,-3.2087252746914947
lower,37,55,56,4.39,3.297,1.8,0.8000297049866083,-3.2087252746914947
lower,38,56,57,4.39,4.097,1.8,0.7996854319133498,-3.2087252746914947
lower,39,57,58,3.697,4.497,1.8,0.7996558623038903,-3.2087252746914947
lower,40,58,59,3.005,4.097,1.8,0.7994155719289422,-3.2087252746914947
lower,41,59,60,3.005,3.297,1.8,0.7997599611689724,-3.2087252746914947
lower,42,60,61,3.697,2.897,1.8,0.8003442857983164,-3.2087252746914947
lower,43,61,62,4.044,2.897,1.8,0.872193265758994,-3.2087252746914947
lower,44,62,63,4.217,2.997,1.8,0.8720803593728987,-3.2087252746914947
lower,45,63,64,4.563,3.597,1.8,0.8714521814293399,-3.2087252746914947
lower,46,64,65,4.563,3.797,1.8,0.8713731805640598,-3.2087252746914947
lower,47,65,66,4.217,4.397,1.8,0.8715276015265128,-3.2087252746914947
lower,48,66,67,4.044,4.497,1.8,0.871561595724766,-3.2087252746914947
lower,49,67,68,3.351,4.497,1.8,0.8714377158857068,-3.2087252746914947
lower,50,68,69,3.178,4.397,1.8,0.8713418573094449,-3.2087252746914947
lower,51,69,70,2.831,3.797,1.8,0.872057090682164,-3.2087252746914947
lower,52,70,71,2.831,3.597,1.8,0.8721360295966849,-3.2087252746914947
lower,53,71,72,3.178,2.997,1.8,0.8718947329126845,-3.2087252746914947
lower,54,72,73,3.351,2.897,1.8,0.8720694756503846,-3.2087252746914947
lower,55,73,74,3.871,2.797,1.8,0.9169384016752236,-3.2087252746914947
lower,56,74,75,4.563,3.397,1.8,0.9162786635241404,-3.2087252746914947
lower,57,75,76,4.563,3.997,1.8,0.9160532381334042,-3.2087252746914947
lower,58,76,77,3.871,4.597,1.8,0.9162624460611962,-3.2087252746914947
lower,59,77,78,3.524,4.597,1.8,0.9162034452220338,-3.2087252746914947
lower,60,78,79,2.831,3.997,1.8,0.9167038151428246,-3.2087252746914947
lower,61,79,80,2.831,3.397,1.8,0.916929080590369,-3.2087252746914947
lower,62,80,81,3.524,2.797,1.8,0.9168794443335456,-3.2087252746914947
lower,63,81,82,4.39,3.097,1.8,0.916616175709653,-3.2087252746914947
lower,64,82,83,4.39,4.297,1.8,0.9161654355534323,-3.2087252746914947
lower,65,83,84,3.005,4.297,1.8,0.915929894659437,-3.2087252746914947
lower,66,84,85,3.005,3.097,1.8,0.9163807506711532,-3.2087252746914947
lower,67,85,86,4.563,3.197,1.8,0.9998521260372529,-3.2087252746914947
lower,68,86,87,4.563,4.197,1.8,0.9995078040631128,-3.2087252746914947
lower,69,87,88,3.697,4.697,1.8,0.9996558474821967,-3.2087252746914947
lower,70,88,89,2.831,4.197,1.8,1.00010409457505,-3.2087252746914947
lower,71,89,90,2.831,3.197,1.8,1.0004482113252686,-3.2087252746914947
