offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.6,2.042688310866848e-06,8.189297792206796e-07,2.042688310866872e-06,8.189297792206891e-07
-0.598,2.084993479204142e-06,8.358902533086972e-07,2.0849934792041562e-06,8.35890253308703e-07
-0.596,2.128202308815557e-06,8.532130122953798e-07,2.1282023088155717e-06,8.532130122953857e-07
-0.594,2.172334260508704e-06,8.709058581712684e-07,2.172334260508709e-06,8.709058581712706e-07
-0.592,2.2174092039671322e-06,8.889767568484781e-07,2.217409203967158e-06,8.889767568484885e-07
-0.59,2.263447425644421e-06,9.074338413255002e-07,2.263447425644437e-06,9.074338413255064e-07
-0.588,2.310469636777369e-06,9.262854148997532e-07,2.310469636777385e-06,9.262854148997596e-07
-0.586,2.3584969815188927e-06,9.455399544281264e-07,2.3584969815188974e-06,9.455399544281282e-07
-0.584,2.4075510451905437e-06,9.652061136354773e-07,2.4075510451905708e-06,9.652061136354883e-07
-0.582,2.457653862655097e-06,9.852927264712694e-07,2.457653862655114e-06,9.852927264712762e-07
-0.58,2.5088279268089214e-06,1.0058088105142296e-06,2.5088279268089396e-06,1.0058088105142368e-06
-0.578,2.561096197194431e-06,1.0267635704251469e-06,2.5610961971944373e-06,1.0267635704251494e-06
-0.576,2.614482108732105e-06,1.0481664014476092e-06,2.614482108732135e-06,1.0481664014476213e-06
-0.574,2.669009580572202e-06,1.0700268929567238e-06,2.6690095805722205e-06,1.0700268929567314e-06
-0.572,2.7247030250654204e-06,1.0923548320555264e-06,2.724703025065438e-06,1.0923548320555333e-06
-0.57,2.781587356852409e-06,1.115160207219036e-06,2.7815873568524163e-06,1.115160207219039e-06
-0.568,2.8396880020711643e-06,1.1384532119855747e-06,2.8396880020711957e-06,1.1384532119855872e-06
-0.566,2.899030907681932e-06,1.1622442486951922e-06,2.8990309076819535e-06,1.1622442486952007e-06
-0.564,2.95964255090843e-06,1.1865439322747268e-06,2.959642550908451e-06,1.1865439322747352e-06
-0.5619999999999999,3.0215499487947203e-06,1.2113630940692309e-06,3.021549948794728e-06,1.2113630940692338e-06
-0.5599999999999999,3.0847806678762437e-06,1.2367127857191636e-06,3.08478066787628e-06,1.2367127857191783e-06
-0.5579999999999999,3.1493628339641056e-06,1.262604283082989e-06,3.149362833964126e-06,1.2626042830829973e-06
-0.5559999999999999,3.2153251420407307e-06,1.2890490902044209e-06,3.215325142040752e-06,1.2890490902044293e-06
-0.5539999999999999,3.2826968662657424e-06,1.3160589433238584e-06,3.282696866265749e-06,1.3160589433238612e-06
-0.5519999999999999,3.351507870089767e-06,1.34364581493309e-06,3.3515078700898045e-06,1.343645814933105e-06
-0.5499999999999999,3.4217886164747067e-06,1.3718219178726808e-06,3.42178861647473e-06,1.3718219178726901e-06
-0.5479999999999999,3.493570178217811e-06,1.4005997094709741e-06,3.4935701782178343e-06,1.4005997094709834e-06
-0.5459999999999999,3.5668842483776887e-06,1.4299918957239612e-06,3.566884248377698e-06,1.429991895723965e-06
-0.5439999999999999,3.6417631507992043e-06,1.4600114355147952e-06,3.6417631507992463e-06,1.4600114355148119e-06
-0.5419999999999999,3.718239850734972e-06,1.4906715448720307e-06,3.7182398507349973e-06,1.4906715448720408e-06
-0.54,3.79634796555997e-06,1.5219857012651979e-06,3.796347965559996e-06,1.5219857012652085e-06
-0.538,3.876121775576523e-06,1.5539676479366038e-06,3.876121775576541e-06,1.5539676479366115e-06
-0.536,3.957596234905752e-06,1.5866313982678015e-06,3.9575962349058e-06,1.5866313982678203e-06
-0.534,4.040806982462111e-06,1.6199912401793649e-06,4.040806982462149e-06,1.6199912401793801e-06
-0.532,4.125790353006848e-06,1.6540617405623118e-06,4.125790353006875e-06,1.6540617405623228e-06
