gate,pass
R2_static_gate_is_validated,True
R2_strict_instability_audit_is_clean,True
grompp_return_code_zero,True
grompp_warning_count_zero,True
mdrun_return_code_zero,True
no_instability_signatures,True
steepest_descents_converged,True
maximum_force_is_finite,True
maximum_force_is_at_most_emtol,True
norm_force_is_finite,True
initial_atom_count_is_68332,True
final_atom_count_is_68332,True
box_is_unchanged,True
HBN_is_exactly_frozen,True
PYR_is_exactly_frozen,True
CAPS_are_exactly_frozen,True
water_displacement_is_finite,True
water_displacement_is_local,True
initial_lumen_occupancy_is_428,True
final_lumen_occupancy_retains_at_least_98_percent,True
initial_lumen_identity_retains_at_least_98_percent,True
initial_CAP_OW_distance_is_safe,True
final_CAP_OW_distance_is_safe,True
potential_series_is_finite,True
CAP_SOL_LJ_series_is_finite,True
CAP_SOL_LJ_remains_below_100kJmol,True
CAP_SOL_Coulomb_is_zero,True
