gate,pass
R2_water_only_EM_is_validated,True
R2_EM_authorized_NVT_preparation,True
source_GRO_has_68332_atoms,True
source_topology_molecule_counts_are_correct,True
source_index_group_counts_are_correct,True
grompp_return_code_zero,True
grompp_warning_policy_is_valid,True
TPR_dump_return_code_zero,True
TPR_has_68332_atoms,True
TPR_integrator_is_md,True
TPR_dt_is_0p0005ps,True
TPR_nsteps_is_40000,True
TPR_total_time_is_20ps,True
TPR_continuation_is_false,True
TPR_nstlog_is_100,True
TPR_nstenergy_is_100,True
TPR_XTC_stride_is_1000,True
TPR_has_all_velocity_entries,True
water_oxygen_velocities_are_nonzero,True
SOL_degrees_of_freedom_are_expected,True
HBN_PYR_degrees_of_freedom_are_zero,True
CAPS_degrees_of_freedom_are_zero,True
processed_MDP_contract_is_correct,True
