gate,pass
original_preparation_is_expected_review_state,True
original_preparation_failed_exactly_one_gate,True
audit_found_exactly_one_semantic_mismatch,True
audit_found_zero_coordinate_mismatches,True
audit_found_zero_velocity_mismatches,True
audit_found_zero_box_state_mismatches,True
audit_found_zero_scalar_parameter_mismatches,True
audit_found_no_changed_parameters,True
audit_mismatch_family_is_only_other,True
mismatch_record_is_only_dump_filename_header,True
source_first_line_is_dump_filename_header,True
extended_first_line_is_dump_filename_header,True
normalized_TPR_bodies_are_exactly_equal,True
source_nsteps_is_40000,True
extended_nsteps_is_100000,True
source_and_extended_atom_counts_are_68332,True
checkpoint_copy_is_bitwise_identical,True
checkpoint_step_is_40000,True
checkpoint_time_is_20ps,True
original_contract_did_not_authorize_execution,True
original_contract_forbids_velocity_regeneration,True
original_contract_forbids_source_rerun,True
