end,circumferential_order,hbn_local_index_0based,hbn_local_index_1based,element,x_nm,y_nm,z_nm,axial_coordinate_nm,radius_from_end_center_nm,circumferential_angle_rad
LOWER,0,46,47,B,3.823,2.505,2.0,-3.00871428571429,1.198937399904135,-3.0365847429028596
LOWER,1,48,49,B,4.068,2.557,2.0,-3.00871428571429,1.1990637551393535,-2.8273144875850145
LOWER,2,50,51,B,4.297,2.659,2.0,-3.00871428571429,1.199056388257959,-2.6178605227369447
LOWER,3,52,53,B,4.5,2.806,2.0,-3.00871428571429,1.199478590425393,-2.408488367311637
LOWER,4,54,55,B,4.667,2.992,2.0,-3.00871428571429,1.1990615311799284,-2.199674367660655
LOWER,5,56,57,B,4.793,3.21,2.0,-3.00871428571429,1.1991577136566407,-1.9893028950841385
LOWER,6,58,59,B,4.87,3.448,2.0,-3.00871428571429,1.1988804036359182,-1.7802973046756025
LOWER,7,0,1,B,4.896,3.697,2.0,-3.00871428571429,1.1986667130144595,-1.571074413550798
LOWER,8,2,3,B,4.87,3.947,2.0,-3.00871428571429,1.1989497719068785,-1.3610234067933942
LOWER,9,4,5,B,4.793,4.185,2.0,-3.00871428571429,1.1992932177838005,-1.1520358042375627
LOWER,10,6,7,B,4.667,4.402,2.0,-3.00871428571429,1.1986694938787572,-0.9423680557377137
LOWER,11,8,9,B,4.5,4.588,2.0,-3.00871428571429,1.1989832729812746,-0.733476368015134
LOWER,12,10,11,B,4.297,4.736,2.0,-3.00871428571429,1.1993450527498564,-0.523593134021465
LOWER,13,12,13,B,4.068,4.838,2.0,-3.00871428571429,1.1993807661548617,-0.31419225220588953
LOWER,14,14,15,B,3.823,4.89,2.0,-3.00871428571429,1.1992688976576058,-0.10497877764980727
LOWER,15,16,17,B,3.572,4.89,2.0,-3.00871428571429,1.1992340147870315,0.10470235264651868
LOWER,16,18,19,B,3.327,4.838,2.0,-3.00871428571429,1.1992777919323878,0.3139279135792723
LOWER,17,20,21,B,3.098,4.736,2.0,-3.00871428571429,1.1991784224580133,0.5233524058093537
LOWER,18,22,23,B,2.895,4.588,2.0,-3.00871428571429,1.1987601465217677,0.7332698069202058
LOWER,19,24,25,B,2.727,4.402,2.0,-3.00871428571429,1.199208859577384,0.9426948678890874
LOWER,20,26,27,B,2.602,4.185,2.0,-3.00871428571429,1.1989886942289696,1.151922756636195
LOWER,21,28,29,B,2.524,3.947,2.0,-3.00871428571429,1.19960183209078,1.361139132860777
LOWER,22,30,31,B,2.498,3.697,2.0,-3.00871428571429,1.1993333796553631,1.5710742589722868
LOWER,23,32,33,B,2.524,3.448,2.0,-3.00871428571429,1.1995325015280838,1.7801817197483918
LOWER,24,34,35,B,2.602,3.21,2.0,-3.00871428571429,1.1988531556820832,1.9894158909535116
LOWER,25,36,37,B,2.727,2.992,2.0,-3.00871428571429,1.1996007206103574,2.1993474600966887
LOWER,26,38,39,B,2.895,2.806,2.0,-3.00871428571429,1.1992555561217502,2.408694912297659
LOWER,27,40,41,B,3.098,2.659,2.0,-3.00871428571429,1.1988897178454554,2.618101289593682
LOWER,28,42,43,B,3.327,2.557,2.0,-3.00871428571429,1.198960753689998,2.827578888727255
LOWER,29,44,45,B,3.572,2.505,2.0,-3.00871428571429,1.198902507388412,3.0368612434912903
UPPER,0,1641,1642,N,3.947,2.524,8.018,3.009285714285711,1.1996018320907802,-2.9319354596556737
UPPER,1,1643,1644,N,4.185,2.602,8.018,3.009285714285711,1.1989886942289698,-2.722719083431092
UPPER,2,1645,1646,N,4.402,2.727,8.018,3.009285714285711,1.199208859577384,-2.5134911946839846
UPPER,3,1647,1648,N,4.588,2.895,8.018,3.009285714285711,1.1987601465217677,-2.304066133715103
UPPER,4,1649,1650,N,4.736,3.098,8.018,3.009285714285711,1.199178422458013,-2.0941487326042507
UPPER,5,1651,1652,N,4.838,3.327,8.018,3.009285714285711,1.1992777919323874,-1.8847242403741693
UPPER,6,1653,1654,N,4.89,3.572,8.018,3.009285714285711,1.1992340147870313,-1.6754986794414157
UPPER,7,1655,1656,N,4.89,3.823,8.018,3.009285714285711,1.1992688976576054,-1.4658175491450898
UPPER,8,1657,1658,N,4.838,4.068,8.018,3.009285714285711,1.1993807661548612,-1.2566040745890072
UPPER,9,1659,1660,N,4.736,4.297,8.018,3.009285714285711,1.1993450527498557,-1.0472031927734318
UPPER,10,1661,1662,N,4.588,4.5,8.018,3.009285714285711,1.198983272981274,-0.8373199587797626
UPPER,11,1663,1664,N,4.402,4.667,8.018,3.009285714285711,1.1986694938787565,-0.6284282710571829
UPPER,12,1665,1666,N,4.185,4.793,8.018,3.009285714285711,1.1992932177838,-0.4187605225573338
UPPER,13,1667,1668,N,3.947,4.87,8.018,3.009285714285711,1.198949771906878,-0.20977292000150227
UPPER,14,1669,1670,N,3.697,4.896,8.018,3.009285714285711,1.198666713014459,0.00027808675590168953
UPPER,15,1671,1672,N,3.448,4.87,8.018,3.009285714285711,1.1988804036359177,0.20950097788070632
UPPER,16,1673,1674,N,3.21,4.793,8.018,3.009285714285711,1.1991577136566407,0.41850656828924226
UPPER,17,1675,1676,N,2.992,4.667,8.018,3.009285714285711,1.1990615311799284,0.628878040865759
UPPER,18,1677,1678,N,2.806,4.5,8.018,3.009285714285711,1.1994785904253933,0.8376920405167407
UPPER,19,1679,1680,N,2.659,4.297,8.018,3.009285714285711,1.1990563882579592,1.0470641959420486
UPPER,20,1621,1622,N,2.557,4.068,8.018,3.009285714285711,1.199063755139354,1.2565181607901184
UPPER,21,1623,1624,N,2.505,3.823,8.018,3.009285714285711,1.1989373999041355,1.4657884161079633
UPPER,22,1625,1626,N,2.505,3.572,8.018,3.009285714285711,1.1989025073884125,1.6755277368933996
UPPER,23,1627,1628,N,2.557,3.327,8.018,3.009285714285711,1.1989607536899987,1.884810091657435
UPPER,24,1629,1630,N,2.659,3.098,8.018,3.009285714285711,1.1988897178454558,2.0942876907910075
UPPER,25,1631,1632,N,2.806,2.895,8.018,3.009285714285711,1.1992555561217506,2.3036940680870313
UPPER,26,1633,1634,N,2.992,2.727,8.018,3.009285714285711,1.199600720610358,2.5130415202880014
