gate,pass
accepted_topology_contains_1680_HBN_atoms,True
accepted_topology_contains_2460_HBN_bonds,True
geometry_contains_2460_HBN_bonds,True
explicit_and_geometry_bond_sets_are_identical,True
explicit_and_geometry_degree_arrays_are_identical,True
explicit_topology_has_60_degree1_atoms,True
explicit_topology_has_zero_degree2_atoms,True
explicit_topology_has_1620_degree3_atoms,True
explicit_topology_has_no_degree0_atoms,True
explicit_topology_has_no_degree4plus_atoms,True
lower_end_has_30_terminal_atoms,True
upper_end_has_30_terminal_atoms,True
terminal_population_contains_30B_and_30N,True
lower_terminal_cluster_is_at_axial_minimum,True
upper_terminal_cluster_is_at_axial_maximum,True
terminal_end_radii_are_symmetric,True
all_explicit_connectivity_is_BN,True
explicit_bond_lengths_are_chemically_plausible,True
