gate,pass
Gate3A_parent_audit_is_accepted,True
Gate3A_has_no_failed_gates,True
explicit_topology_classification_is_accepted,True
parent_has_60_degree1_terminal_atoms,True
parent_has_zero_degree2_atoms,True
parent_has_1620_degree3_atoms,True
lower_end_is_30B_0N,True
upper_end_is_0B_30N,True
terminal_coordination_deficit_is_120,True
lower_end_requires_60_new_parent_bonds,True
upper_end_requires_60_new_parent_bonds,True
target_aperture_is_finite_and_open,True
open_area_fraction_is_valid,True
candidate_set_contains_at_least_six_classes,True
all_candidate_scores_are_finite,True
primary_candidate_is_highest_ranked,True
primary_candidate_requires_two_bonds_per_site,True
primary_candidate_accounts_for_120_parent_bonds,True
primary_candidate_preserves_target_aperture,True
primary_candidate_resolves_end_asymmetry,True
primary_candidate_does_not_require_parent_reconstruction,True
parent_reconstruction_is_retained_as_contingency,True
small_group_passivation_is_not_selected_as_cap,True
metal_spin_active_candidate_is_rejected,True
