end,edge_id,interface,source_node,target_node,source_element,target_element,edge_type,heavy_atom_edge,heteropolar_BN_edge,angular_span_turns,formal_bond_order_assigned,coordinates_assigned
LOWER,LOWER:E:1,PARENT_TO_L1,LOWER:P:46,LOWER:L1:0,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:2,PARENT_TO_L1,LOWER:P:46,LOWER:L1:1,B,N,PARENT_TO_COLLAR,True,True,0.03333333333333333,False,False
LOWER,LOWER:E:3,PARENT_TO_L1,LOWER:P:48,LOWER:L1:0,B,N,PARENT_TO_COLLAR,True,True,0.03333333333333333,False,False
LOWER,LOWER:E:4,PARENT_TO_L1,LOWER:P:48,LOWER:L1:1,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:5,PARENT_TO_L1,LOWER:P:50,LOWER:L1:2,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:6,PARENT_TO_L1,LOWER:P:50,LOWER:L1:3,B,N,PARENT_TO_COLLAR,True,True,0.03333333333333334,False,False
LOWER,LOWER:E:7,PARENT_TO_L1,LOWER:P:52,LOWER:L1:2,B,N,PARENT_TO_COLLAR,True,True,0.03333333333333334,False,False
LOWER,LOWER:E:8,PARENT_TO_L1,LOWER:P:52,LOWER:L1:3,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:9,PARENT_TO_L1,LOWER:P:54,LOWER:L1:4,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:10,PARENT_TO_L1,LOWER:P:54,LOWER:L1:5,B,N,PARENT_TO_COLLAR,True,True,0.033333333333333326,False,False
LOWER,LOWER:E:11,PARENT_TO_L1,LOWER:P:56,LOWER:L1:4,B,N,PARENT_TO_COLLAR,True,True,0.033333333333333326,False,False
LOWER,LOWER:E:12,PARENT_TO_L1,LOWER:P:56,LOWER:L1:5,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:13,PARENT_TO_L1,LOWER:P:58,LOWER:L1:6,B,N,PARENT_TO_COLLAR,True,True,0.0,False,False
LOWER,LOWER:E:14,PARENT_TO_L1,LOWER:P:58,LOWER:L1:7,B,N,PARENT_TO_COLLAR,True,True,0.033333333333333326,False,False
