end,node_id,node_type,layer,circumferential_index,element,parent_hbn_local_index_0based,parent_existing_coordination,blueprint_new_coordination,target_total_coordination,formal_charge_assigned,coordinates_assigned,incoming_blueprint_degree,outgoing_blueprint_degree
LOWER,LOWER:P:46,PARENT_TERMINAL,0,0,B,46,1,2,3,False,False,,
LOWER,LOWER:P:48,PARENT_TERMINAL,0,1,B,48,1,2,3,False,False,,
LOWER,LOWER:P:50,PARENT_TERMINAL,0,2,B,50,1,2,3,False,False,,
LOWER,LOWER:P:52,PARENT_TERMINAL,0,3,B,52,1,2,3,False,False,,
LOWER,LOWER:P:54,PARENT_TERMINAL,0,4,B,54,1,2,3,False,False,,
LOWER,LOWER:P:56,PARENT_TERMINAL,0,5,B,56,1,2,3,False,False,,
LOWER,LOWER:P:58,PARENT_TERMINAL,0,6,B,58,1,2,3,False,False,,
LOWER,LOWER:P:0,PARENT_TERMINAL,0,7,B,0,1,2,3,False,False,,
LOWER,LOWER:P:2,PARENT_TERMINAL,0,8,B,2,1,2,3,False,False,,
LOWER,LOWER:P:4,PARENT_TERMINAL,0,9,B,4,1,2,3,False,False,,
LOWER,LOWER:P:6,PARENT_TERMINAL,0,10,B,6,1,2,3,False,False,,
LOWER,LOWER:P:8,PARENT_TERMINAL,0,11,B,8,1,2,3,False,False,,
LOWER,LOWER:P:10,PARENT_TERMINAL,0,12,B,10,1,2,3,False,False,,
LOWER,LOWER:P:12,PARENT_TERMINAL,0,13,B,12,1,2,3,False,False,,
LOWER,LOWER:P:14,PARENT_TERMINAL,0,14,B,14,1,2,3,False,False,,
LOWER,LOWER:P:16,PARENT_TERMINAL,0,15,B,16,1,2,3,False,False,,
LOWER,LOWER:P:18,PARENT_TERMINAL,0,16,B,18,1,2,3,False,False,,
LOWER,LOWER:P:20,PARENT_TERMINAL,0,17,B,20,1,2,3,False,False,,
LOWER,LOWER:P:22,PARENT_TERMINAL,0,18,B,22,1,2,3,False,False,,
LOWER,LOWER:P:24,PARENT_TERMINAL,0,19,B,24,1,2,3,False,False,,
LOWER,LOWER:P:26,PARENT_TERMINAL,0,20,B,26,1,2,3,False,False,,
LOWER,LOWER:P:28,PARENT_TERMINAL,0,21,B,28,1,2,3,False,False,,
LOWER,LOWER:P:30,PARENT_TERMINAL,0,22,B,30,1,2,3,False,False,,
LOWER,LOWER:P:32,PARENT_TERMINAL,0,23,B,32,1,2,3,False,False,,
LOWER,LOWER:P:34,PARENT_TERMINAL,0,24,B,34,1,2,3,False,False,,
LOWER,LOWER:P:36,PARENT_TERMINAL,0,25,B,36,1,2,3,False,False,,
LOWER,LOWER:P:38,PARENT_TERMINAL,0,26,B,38,1,2,3,False,False,,
LOWER,LOWER:P:40,PARENT_TERMINAL,0,27,B,40,1,2,3,False,False,,
LOWER,LOWER:P:42,PARENT_TERMINAL,0,28,B,42,1,2,3,False,False,,
LOWER,LOWER:P:44,PARENT_TERMINAL,0,29,B,44,1,2,3,False,False,,
LOWER,LOWER:L1:0,COLLAR_BN,1,0,N,,,,3,False,False,2,1
LOWER,LOWER:L1:1,COLLAR_BN,1,1,N,,,,3,False,False,2,1
LOWER,LOWER:L1:2,COLLAR_BN,1,2,N,,,,3,False,False,2,1
LOWER,LOWER:L1:3,COLLAR_BN,1,3,N,,,,3,False,False,2,1
LOWER,LOWER:L1:4,COLLAR_BN,1,4,N,,,,3,False,False,2,1
LOWER,LOWER:L1:5,COLLAR_BN,1,5,N,,,,3,False,False,2,1
LOWER,LOWER:L1:6,COLLAR_BN,1,6,N,,,,3,False,False,2,1
LOWER,LOWER:L1:7,COLLAR_BN,1,7,N,,,,3,False,False,2,1
LOWER,LOWER:L1:8,COLLAR_BN,1,8,N,,,,3,False,False,2,1
LOWER,LOWER:L1:9,COLLAR_BN,1,9,N,,,,3,False,False,2,1
LOWER,LOWER:L1:10,COLLAR_BN,1,10,N,,,,3,False,False,2,1
LOWER,LOWER:L1:11,COLLAR_BN,1,11,N,,,,3,False,False,2,1
LOWER,LOWER:L1:12,COLLAR_BN,1,12,N,,,,3,False,False,2,1
LOWER,LOWER:L1:13,COLLAR_BN,1,13,N,,,,3,False,False,2,1
LOWER,LOWER:L1:14,COLLAR_BN,1,14,N,,,,3,False,False,2,1
LOWER,LOWER:L1:15,COLLAR_BN,1,15,N,,,,3,False,False,2,1
LOWER,LOWER:L1:16,COLLAR_BN,1,16,N,,,,3,False,False,2,1
LOWER,LOWER:L1:17,COLLAR_BN,1,17,N,,,,3,False,False,2,1
LOWER,LOWER:L1:18,COLLAR_BN,1,18,N,,,,3,False,False,2,1
LOWER,LOWER:L1:19,COLLAR_BN,1,19,N,,,,3,False,False,2,1
LOWER,LOWER:L1:20,COLLAR_BN,1,20,N,,,,3,False,False,2,1
LOWER,LOWER:L1:21,COLLAR_BN,1,21,N,,,,3,False,False,2,1
LOWER,LOWER:L1:22,COLLAR_BN,1,22,N,,,,3,False,False,2,1
LOWER,LOWER:L1:23,COLLAR_BN,1,23,N,,,,3,False,False,2,1
LOWER,LOWER:L1:24,COLLAR_BN,1,24,N,,,,3,False,False,2,1
LOWER,LOWER:L1:25,COLLAR_BN,1,25,N,,,,3,False,False,2,1
LOWER,LOWER:L1:26,COLLAR_BN,1,26,N,,,,3,False,False,2,1
