end,node_id,node_type,layer,element,heavy_degree,cycles_length3,cycles_length4,cycles_length5,cycles_length6,cycles_length7,cycles_length8,cycles_length9,cycles_length10
LOWER,LOWER:L1:0,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:1,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:10,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:11,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:12,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:13,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:14,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,8
LOWER,LOWER:L1:15,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,8
LOWER,LOWER:L1:16,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:17,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:18,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:19,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:2,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:20,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:21,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:22,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:23,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:24,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:25,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:26,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:27,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:28,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:29,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:3,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:4,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:5,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L1:6,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:7,COLLAR_BN,1,N,3,0,1,0,4,0,0,0,0
LOWER,LOWER:L1:8,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L1:9,COLLAR_BN,1,N,3,0,1,0,4,0,4,0,0
LOWER,LOWER:L2:0,COLLAR_BN,2,B,3,0,1,0,4,0,2,0,2
LOWER,LOWER:L2:1,COLLAR_BN,2,B,3,0,1,0,4,0,2,0,2
LOWER,LOWER:L2:10,COLLAR_BN,2,B,3,0,1,0,5,0,1,0,4
LOWER,LOWER:L2:11,COLLAR_BN,2,B,3,0,1,0,5,0,1,0,4
LOWER,LOWER:L2:12,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:13,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:14,COLLAR_BN,2,B,3,0,1,0,6,0,0,0,8
LOWER,LOWER:L2:15,COLLAR_BN,2,B,3,0,1,0,6,0,0,0,8
LOWER,LOWER:L2:16,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:17,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:18,COLLAR_BN,2,B,3,0,1,0,4,0,2,0,0
LOWER,LOWER:L2:19,COLLAR_BN,2,B,3,0,1,0,4,0,2,0,0
LOWER,LOWER:L2:2,COLLAR_BN,2,B,3,0,1,0,4,0,1,0,3
LOWER,LOWER:L2:20,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:21,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:22,COLLAR_BN,2,B,3,0,1,0,5,0,0,0,4
LOWER,LOWER:L2:23,COLLAR_BN,2,B,3,0,1,0,5,0,0,0,4
LOWER,LOWER:L2:24,COLLAR_BN,2,B,3,0,1,0,4,0,1,0,0
LOWER,LOWER:L2:25,COLLAR_BN,2,B,3,0,1,0,4,0,1,0,0
LOWER,LOWER:L2:26,COLLAR_BN,2,B,3,0,1,0,5,0,0,0,5
LOWER,LOWER:L2:27,COLLAR_BN,2,B,3,0,1,0,5,0,0,0,5
LOWER,LOWER:L2:28,COLLAR_BN,2,B,3,0,1,0,4,0,0,0,1
LOWER,LOWER:L2:29,COLLAR_BN,2,B,3,0,1,0,4,0,0,0,1
LOWER,LOWER:L2:3,COLLAR_BN,2,B,3,0,1,0,4,0,1,0,3
LOWER,LOWER:L2:4,COLLAR_BN,2,B,3,0,1,0,5,0,0,0,7
LOWER,LOWER:L2:5,COLLAR_BN,2,B,3,0,1,0,5,0,0,0,7
LOWER,LOWER:L2:6,COLLAR_BN,2,B,3,0,1,0,4,0,1,0,3
LOWER,LOWER:L2:7,COLLAR_BN,2,B,3,0,1,0,4,0,1,0,3
LOWER,LOWER:L2:8,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L2:9,COLLAR_BN,2,B,3,0,2,0,4,0,4,0,0
LOWER,LOWER:L3:0,COLLAR_BN,3,N,3,0,1,0,2,0,4,0,4
LOWER,LOWER:L3:1,COLLAR_BN,3,N,3,0,1,0,2,0,4,0,4
LOWER,LOWER:L3:10,COLLAR_BN,3,N,3,0,1,0,4,0,2,0,4
LOWER,LOWER:L3:11,COLLAR_BN,3,N,3,0,1,0,4,0,2,0,4
LOWER,LOWER:L3:12,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:13,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:14,COLLAR_BN,3,N,3,0,1,0,6,0,0,0,8
LOWER,LOWER:L3:15,COLLAR_BN,3,N,3,0,1,0,6,0,0,0,8
LOWER,LOWER:L3:16,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:17,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:18,COLLAR_BN,3,N,3,0,1,0,2,0,4,0,0
LOWER,LOWER:L3:19,COLLAR_BN,3,N,3,0,1,0,2,0,4,0,0
LOWER,LOWER:L3:2,COLLAR_BN,3,N,3,0,1,0,2,0,2,0,6
LOWER,LOWER:L3:20,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:21,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:22,COLLAR_BN,3,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L3:23,COLLAR_BN,3,N,3,0,1,0,4,0,0,0,4
LOWER,LOWER:L3:24,COLLAR_BN,3,N,3,0,1,0,2,0,2,0,0
LOWER,LOWER:L3:25,COLLAR_BN,3,N,3,0,1,0,2,0,2,0,0
LOWER,LOWER:L3:26,COLLAR_BN,3,N,3,0,1,0,4,0,0,0,6
LOWER,LOWER:L3:27,COLLAR_BN,3,N,3,0,1,0,4,0,0,0,6
LOWER,LOWER:L3:28,COLLAR_BN,3,N,3,0,1,0,2,0,0,0,2
LOWER,LOWER:L3:29,COLLAR_BN,3,N,3,0,1,0,2,0,0,0,2
LOWER,LOWER:L3:3,COLLAR_BN,3,N,3,0,1,0,2,0,2,0,6
LOWER,LOWER:L3:4,COLLAR_BN,3,N,3,0,1,0,4,0,0,0,10
LOWER,LOWER:L3:5,COLLAR_BN,3,N,3,0,1,0,4,0,0,0,10
LOWER,LOWER:L3:6,COLLAR_BN,3,N,3,0,1,0,2,0,2,0,6
LOWER,LOWER:L3:7,COLLAR_BN,3,N,3,0,1,0,2,0,2,0,6
LOWER,LOWER:L3:8,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L3:9,COLLAR_BN,3,N,3,0,3,0,2,0,4,0,0
LOWER,LOWER:L4:0,COLLAR_BN,4,B,3,0,0,0,1,0,4,0,6
LOWER,LOWER:L4:1,COLLAR_BN,4,B,3,0,0,0,0,0,6,0,6
LOWER,LOWER:L4:10,COLLAR_BN,4,B,3,0,1,0,4,0,0,0,8
LOWER,LOWER:L4:11,COLLAR_BN,4,B,3,0,1,0,4,0,0,0,8
LOWER,LOWER:L4:12,COLLAR_BN,4,B,3,0,2,0,0,0,4,0,0
LOWER,LOWER:L4:13,COLLAR_BN,4,B,3,0,0,0,0,0,4,0,0
LOWER,LOWER:L4:14,COLLAR_BN,4,B,3,0,0,0,1,0,4,0,0
LOWER,LOWER:L4:15,COLLAR_BN,4,B,3,0,2,0,0,0,4,0,0
LOWER,LOWER:L4:16,COLLAR_BN,4,B,3,0,0,0,2,0,0,0,4
LOWER,LOWER:L4:17,COLLAR_BN,4,B,3,0,0,0,2,0,2,0,4
LOWER,LOWER:L4:18,COLLAR_BN,4,B,3,0,0,0,1,0,2,0,2
LOWER,LOWER:L4:19,COLLAR_BN,4,B,3,0,0,0,3,0,0,0,6
LOWER,LOWER:L4:2,COLLAR_BN,4,B,3,0,0,0,0,0,2,0,6
LOWER,LOWER:L4:20,COLLAR_BN,4,B,3,0,0,0,2,0,0,0,8
LOWER,LOWER:L4:21,COLLAR_BN,4,B,3,0,0,0,1,0,2,0,4
LOWER,LOWER:L4:3,COLLAR_BN,4,B,3,0,0,0,3,0,2,0,10
LOWER,LOWER:L4:4,COLLAR_BN,4,B,3,0,0,0,2,0,2,0,12
LOWER,LOWER:L4:5,COLLAR_BN,4,B,3,0,0,0,0,0,2,0,6
