gate,pass
Gate3A_parent_audit_is_accepted,True
Gate3C_combinatorial_blueprint_record_is_preserved,True
Gate3C_cycle_audit_requires_hexagonal_redesign,True
parent_graph_has_1680_atoms,True
parent_graph_has_2460_bonds,True
parent_graph_has_60_degree1_terminals,True
parent_graph_has_1620_degree3_atoms,True
parent_graph_has_no_four_member_cycles,True
parent_graph_is_bipartite,True
parent_graph_is_connected,True
lower_selected_pairing_closes_only_six_member_cycles,True
upper_selected_pairing_closes_only_six_member_cycles,True
each_terminal_receives_exactly_two_new_edges,True
30_complementary_atoms_are_added_per_end,True
60_complementary_atoms_are_added_total,True
60_new_edges_are_added_per_end,True
120_new_edges_are_added_total,True
lower_B_end_receives_N_completion_row,True
upper_N_end_receives_B_completion_row,True
all_new_edges_are_heteropolar_BN,True
all_parent_terminal_atoms_reach_degree3,True
all_parent_nonterminal_atoms_remain_degree3,True
all_added_completion_atoms_have_degree2,True
augmented_graph_has_no_four_member_cycles,True
augmented_graph_is_bipartite,True
augmented_graph_is_connected,True
every_added_atom_closes_at_least_one_six_member_cycle,True
no_coordinates_were_assigned,True
no_formal_charges_were_assigned,True
no_force_field_types_were_assigned,True
