end,step,pair_count,unique_pair_count,terminal_incidence_minimum,terminal_incidence_maximum,shortest_parent_path_minimum,shortest_parent_path_maximum,pairings_with_parent_path_length4,minimum_length4_paths_per_pair,maximum_length4_paths_per_pair,parent_four_cycles,candidate_four_cycles,new_four_cycles,all_pairings_close_six_member_cycles,pair_uniqueness_pass,terminal_incidence_pass,no_new_four_cycles_pass,candidate_score,new_node_count,selected
LOWER,1,30,30,2,2,4,4,30,1,1,0,0,0,True,True,True,True,2500,30,True
LOWER,2,30,30,2,2,6,6,0,0,0,0,0,0,False,True,True,True,940,30,False
LOWER,3,30,30,2,2,8,8,0,0,0,0,0,0,False,True,True,True,880,30,False
LOWER,4,30,30,2,2,10,10,0,0,0,0,0,0,False,True,True,True,820,30,False
LOWER,5,30,30,2,2,12,12,0,0,0,0,0,0,False,True,True,True,760,30,False
LOWER,6,30,30,2,2,14,14,0,0,0,0,0,0,False,True,True,True,700,30,False
LOWER,7,30,30,2,2,16,16,0,0,0,0,0,0,False,True,True,True,640,30,False
LOWER,8,30,30,2,2,18,18,0,0,0,0,0,0,False,True,True,True,580,30,False
LOWER,9,30,30,2,2,20,20,0,0,0,0,0,0,False,True,True,True,520,30,False
LOWER,10,30,30,2,2,22,22,0,0,0,0,0,0,False,True,True,True,460,30,False
LOWER,11,30,30,2,2,24,24,0,0,0,0,0,0,False,True,True,True,400,30,False
LOWER,12,30,30,2,2,26,26,0,0,0,0,0,0,False,True,True,True,340,30,False
LOWER,13,30,30,2,2,28,28,0,0,0,0,0,0,False,True,True,True,280,30,False
LOWER,14,30,30,2,2,30,30,0,0,0,0,0,0,False,True,True,True,220,30,False
LOWER,15,30,15,2,2,32,32,0,0,0,0,15,15,False,False,True,False,-2090,30,False
UPPER,1,30,30,2,2,4,4,30,1,1,0,0,0,True,True,True,True,2500,30,True
UPPER,2,30,30,2,2,6,6,0,0,0,0,0,0,False,True,True,True,940,30,False
UPPER,3,30,30,2,2,8,8,0,0,0,0,0,0,False,True,True,True,880,30,False
UPPER,4,30,30,2,2,10,10,0,0,0,0,0,0,False,True,True,True,820,30,False
UPPER,5,30,30,2,2,12,12,0,0,0,0,0,0,False,True,True,True,760,30,False
UPPER,6,30,30,2,2,14,14,0,0,0,0,0,0,False,True,True,True,700,30,False
UPPER,7,30,30,2,2,16,16,0,0,0,0,0,0,False,True,True,True,640,30,False
UPPER,8,30,30,2,2,18,18,0,0,0,0,0,0,False,True,True,True,580,30,False
UPPER,9,30,30,2,2,20,20,0,0,0,0,0,0,False,True,True,True,520,30,False
UPPER,10,30,30,2,2,22,22,0,0,0,0,0,0,False,True,True,True,460,30,False
UPPER,11,30,30,2,2,24,24,0,0,0,0,0,0,False,True,True,True,400,30,False
UPPER,12,30,30,2,2,26,26,0,0,0,0,0,0,False,True,True,True,340,30,False
UPPER,13,30,30,2,2,28,28,0,0,0,0,0,0,False,True,True,True,280,30,False
UPPER,14,30,30,2,2,30,30,0,0,0,0,0,0,False,True,True,True,220,30,False
UPPER,15,30,15,2,2,32,32,0,0,0,0,15,15,False,False,True,False,-2090,30,False
