edge_id,source_node,target_node,source_element,target_element,edge_type,end,heavy_atom_edge,heteropolar_BN_edge,coordinates_assigned,formal_bond_order_assigned
E:1,P:0,P:1,B,N,PARENT_BN,PARENT,True,True,False,False
E:2,P:1,P:60,N,B,PARENT_BN,PARENT,True,True,False,False
E:3,P:1,P:118,N,B,PARENT_BN,PARENT,True,True,False,False
E:4,P:2,P:3,B,N,PARENT_BN,PARENT,True,True,False,False
E:5,P:3,P:60,N,B,PARENT_BN,PARENT,True,True,False,False
E:6,P:3,P:62,N,B,PARENT_BN,PARENT,True,True,False,False
E:7,P:4,P:5,B,N,PARENT_BN,PARENT,True,True,False,False
E:8,P:5,P:62,N,B,PARENT_BN,PARENT,True,True,False,False
E:9,P:5,P:64,N,B,PARENT_BN,PARENT,True,True,False,False
E:10,P:6,P:7,B,N,PARENT_BN,PARENT,True,True,False,False
E:11,P:7,P:64,N,B,PARENT_BN,PARENT,True,True,False,False
E:12,P:7,P:66,N,B,PARENT_BN,PARENT,True,True,False,False
E:13,P:8,P:9,B,N,PARENT_BN,PARENT,True,True,False,False
E:14,P:9,P:66,N,B,PARENT_BN,PARENT,True,True,False,False
E:15,P:9,P:68,N,B,PARENT_BN,PARENT,True,True,False,False
E:16,P:10,P:11,B,N,PARENT_BN,PARENT,True,True,False,False
E:17,P:11,P:68,N,B,PARENT_BN,PARENT,True,True,False,False
E:18,P:11,P:70,N,B,PARENT_BN,PARENT,True,True,False,False
E:19,P:12,P:13,B,N,PARENT_BN,PARENT,True,True,False,False
E:20,P:13,P:70,N,B,PARENT_BN,PARENT,True,True,False,False
E:21,P:13,P:72,N,B,PARENT_BN,PARENT,True,True,False,False
E:22,P:14,P:15,B,N,PARENT_BN,PARENT,True,True,False,False
E:23,P:15,P:72,N,B,PARENT_BN,PARENT,True,True,False,False
E:24,P:15,P:74,N,B,PARENT_BN,PARENT,True,True,False,False
E:25,P:16,P:17,B,N,PARENT_BN,PARENT,True,True,False,False
E:26,P:17,P:74,N,B,PARENT_BN,PARENT,True,True,False,False
E:27,P:17,P:76,N,B,PARENT_BN,PARENT,True,True,False,False
E:28,P:18,P:19,B,N,PARENT_BN,PARENT,True,True,False,False
E:29,P:19,P:76,N,B,PARENT_BN,PARENT,True,True,False,False
E:30,P:19,P:78,N,B,PARENT_BN,PARENT,True,True,False,False
E:31,P:20,P:21,B,N,PARENT_BN,PARENT,True,True,False,False
E:32,P:21,P:78,N,B,PARENT_BN,PARENT,True,True,False,False
E:33,P:21,P:80,N,B,PARENT_BN,PARENT,True,True,False,False
E:34,P:22,P:23,B,N,PARENT_BN,PARENT,True,True,False,False
E:35,P:23,P:80,N,B,PARENT_BN,PARENT,True,True,False,False
E:36,P:23,P:82,N,B,PARENT_BN,PARENT,True,True,False,False
E:37,P:24,P:25,B,N,PARENT_BN,PARENT,True,True,False,False
E:38,P:25,P:82,N,B,PARENT_BN,PARENT,True,True,False,False
E:39,P:25,P:84,N,B,PARENT_BN,PARENT,True,True,False,False
E:40,P:26,P:27,B,N,PARENT_BN,PARENT,True,True,False,False
E:41,P:27,P:84,N,B,PARENT_BN,PARENT,True,True,False,False
E:42,P:27,P:86,N,B,PARENT_BN,PARENT,True,True,False,False
E:43,P:28,P:29,B,N,PARENT_BN,PARENT,True,True,False,False
E:44,P:29,P:86,N,B,PARENT_BN,PARENT,True,True,False,False
E:45,P:29,P:88,N,B,PARENT_BN,PARENT,True,True,False,False
E:46,P:30,P:31,B,N,PARENT_BN,PARENT,True,True,False,False
E:47,P:31,P:88,N,B,PARENT_BN,PARENT,True,True,False,False
E:48,P:31,P:90,N,B,PARENT_BN,PARENT,True,True,False,False
E:49,P:32,P:33,B,N,PARENT_BN,PARENT,True,True,False,False
E:50,P:33,P:90,N,B,PARENT_BN,PARENT,True,True,False,False
E:51,P:33,P:92,N,B,PARENT_BN,PARENT,True,True,False,False
E:52,P:34,P:35,B,N,PARENT_BN,PARENT,True,True,False,False
E:53,P:35,P:92,N,B,PARENT_BN,PARENT,True,True,False,False
E:54,P:35,P:94,N,B,PARENT_BN,PARENT,True,True,False,False
E:55,P:36,P:37,B,N,PARENT_BN,PARENT,True,True,False,False
E:56,P:37,P:94,N,B,PARENT_BN,PARENT,True,True,False,False
E:57,P:37,P:96,N,B,PARENT_BN,PARENT,True,True,False,False
E:58,P:38,P:39,B,N,PARENT_BN,PARENT,True,True,False,False
E:59,P:39,P:96,N,B,PARENT_BN,PARENT,True,True,False,False
E:60,P:39,P:98,N,B,PARENT_BN,PARENT,True,True,False,False
E:61,P:40,P:41,B,N,PARENT_BN,PARENT,True,True,False,False
E:62,P:41,P:98,N,B,PARENT_BN,PARENT,True,True,False,False
E:63,P:41,P:100,N,B,PARENT_BN,PARENT,True,True,False,False
E:64,P:42,P:43,B,N,PARENT_BN,PARENT,True,True,False,False
E:65,P:43,P:100,N,B,PARENT_BN,PARENT,True,True,False,False
E:66,P:43,P:102,N,B,PARENT_BN,PARENT,True,True,False,False
E:67,P:44,P:45,B,N,PARENT_BN,PARENT,True,True,False,False
E:68,P:45,P:102,N,B,PARENT_BN,PARENT,True,True,False,False
E:69,P:45,P:104,N,B,PARENT_BN,PARENT,True,True,False,False
E:70,P:46,P:47,B,N,PARENT_BN,PARENT,True,True,False,False
E:71,P:47,P:104,N,B,PARENT_BN,PARENT,True,True,False,False
E:72,P:47,P:106,N,B,PARENT_BN,PARENT,True,True,False,False
E:73,P:48,P:49,B,N,PARENT_BN,PARENT,True,True,False,False
E:74,P:49,P:106,N,B,PARENT_BN,PARENT,True,True,False,False
E:75,P:49,P:108,N,B,PARENT_BN,PARENT,True,True,False,False
E:76,P:50,P:51,B,N,PARENT_BN,PARENT,True,True,False,False
E:77,P:51,P:108,N,B,PARENT_BN,PARENT,True,True,False,False
E:78,P:51,P:110,N,B,PARENT_BN,PARENT,True,True,False,False
E:79,P:52,P:53,B,N,PARENT_BN,PARENT,True,True,False,False
E:80,P:53,P:110,N,B,PARENT_BN,PARENT,True,True,False,False
