edge_id,end,edge_type,source_node,target_node,source_element,target_element,length_nm,target_length_nm,deviation_nm,absolute_deviation_nm
E:1,PARENT,PARENT_BN,P:0,P:1,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:2,PARENT,PARENT_BN,P:1,P:60,N,B,0.1452446212429224,0.144973,0.0002716212429224041,0.0002716212429224041
E:3,PARENT,PARENT_BN,P:1,P:118,N,B,0.1443779761598008,0.144973,-0.0005950238401991881,0.0005950238401991881
E:4,PARENT,PARENT_BN,P:2,P:3,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:5,PARENT,PARENT_BN,P:3,P:60,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:6,PARENT,PARENT_BN,P:3,P:62,N,B,0.14439182802361047,0.144973,-0.0005811719763895162,0.0005811719763895162
E:7,PARENT,PARENT_BN,P:4,P:5,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:8,PARENT,PARENT_BN,P:5,P:62,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:9,PARENT,PARENT_BN,P:5,P:64,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:10,PARENT,PARENT_BN,P:6,P:7,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:11,PARENT,PARENT_BN,P:7,P:64,N,B,0.14481022063376636,0.144973,-0.00016277936623362854,0.00016277936623362854
E:12,PARENT,PARENT_BN,P:7,P:66,N,B,0.145013792447477,0.144973,4.0792447477011606e-05,4.0792447477011606e-05
E:13,PARENT,PARENT_BN,P:8,P:9,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:14,PARENT,PARENT_BN,P:9,P:66,N,B,0.14377760604489156,0.144973,-0.0011953939551084258,0.0011953939551084258
E:15,PARENT,PARENT_BN,P:9,P:68,N,B,0.145013792447477,0.144973,4.0792447477011606e-05,4.0792447477011606e-05
E:16,PARENT,PARENT_BN,P:10,P:11,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:17,PARENT,PARENT_BN,P:11,P:68,N,B,0.14481022063376636,0.144973,-0.00016277936623362854,0.00016277936623362854
E:18,PARENT,PARENT_BN,P:11,P:70,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:19,PARENT,PARENT_BN,P:12,P:13,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:20,PARENT,PARENT_BN,P:13,P:70,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:21,PARENT,PARENT_BN,P:13,P:72,N,B,0.14439182802361047,0.144973,-0.0005811719763895162,0.0005811719763895162
E:22,PARENT,PARENT_BN,P:14,P:15,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:23,PARENT,PARENT_BN,P:15,P:72,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:24,PARENT,PARENT_BN,P:15,P:74,N,B,0.1452446212429224,0.144973,0.0002716212429224041,0.0002716212429224041
E:25,PARENT,PARENT_BN,P:16,P:17,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:26,PARENT,PARENT_BN,P:17,P:74,N,B,0.1443779761598008,0.144973,-0.0005950238401991881,0.0005950238401991881
E:27,PARENT,PARENT_BN,P:17,P:76,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:28,PARENT,PARENT_BN,P:18,P:19,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:29,PARENT,PARENT_BN,P:19,P:76,N,B,0.14439182802361084,0.144973,-0.0005811719763891554,0.0005811719763891554
E:30,PARENT,PARENT_BN,P:19,P:78,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:31,PARENT,PARENT_BN,P:20,P:21,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:32,PARENT,PARENT_BN,P:21,P:78,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:33,PARENT,PARENT_BN,P:21,P:80,N,B,0.1455369368923229,0.144973,0.0005639368923228971,0.0005639368923228971
E:34,PARENT,PARENT_BN,P:22,P:23,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:35,PARENT,PARENT_BN,P:23,P:80,N,B,0.14433987668000817,0.144973,-0.000633123319991824,0.000633123319991824
