gate,pass
Gate3A_parent_audit_is_accepted,True
Gate3G1_direct_junction_is_rejected,True
Gate3I_trimer_bridge_graph_is_accepted,True
Gate3I_has_no_failed_gates,True
all_2256_nodes_received_finite_coordinates,True
parent_coordinates_are_unchanged,True
30_explicit_trimer_conformers_were_embedded,True
library_endpoint_distance_error_is_within_0p0005nm,True
all_BN_bonds_are_within_0p003nm_of_target,True
all_bridge_BN_bonds_are_within_0p003nm_of_target,True
all_XH_bonds_are_within_0p002nm_of_target,True
critical_valence_angle_minimum_is_at_least_70deg,False
critical_valence_angle_maximum_is_at_most_175deg,True
critical_valence_angle_RMS_deviation_is_at_most_30deg,True
annulus_center_offsets_are_within_0p050nm,True
aperture_errors_are_within10percent,True
outer_radius_errors_are_within15percent,True
no_nonbonded_heavy_heavy_clashes,False
no_nonbonded_H_heavy_clashes,False
no_nonbonded_H_H_clashes,True
lower_and_upper_embeddings_are_symmetric_within_0p010nm,True
