hydrogen_node,end,hydrogen_role,attached_heavy_node,direction_x,direction_y,direction_z,local_angle_violations,local_heavy_clashes,minimum_heavy_clearance_nm,heavy_neighbor_angle_1_deg,heavy_neighbor_angle_2_deg
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0030,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-2:-4,-0.8660234472869117,-0.5000033887378101,-0.0,0,0,0.22897588896868565,119.99999999999999,119.99999999999966
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0031,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-2:4,0.866027360268705,-0.49999661125453515,-0.0,0,0,0.22897588896868565,119.99999999999994,119.99999999999984
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0032,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-5:-3,-0.8660234472869133,-0.5000033887378075,-0.0,0,0,0.22897588896868565,120.00000000000017,119.99999999999984
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0033,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-5:3,0.8660273602687051,-0.4999966112545349,-0.0,0,0,0.22897588896868565,119.99999999999999,120.00000000000011
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0034,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-7:-1,3.912981791365237e-06,-0.9999999999923443,-0.0,0,0,0.21415051652751116,119.99999999999984,120.0000000000001
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0035,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-7:1,3.9129817921423884e-06,-0.9999999999923443,-0.0,0,0,0.21415051652751088,119.99999999999994,120.0000000000001
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0036,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:2:-4,-0.8660273602687057,0.49999661125453354,-0.0,0,0,0.21415051652751174,120.00000000000014,120.00000000000014
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0037,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:2:4,0.8660234472869125,0.5000033887378088,-0.0,0,0,0.21415051652751096,119.99999999999999,119.99999999999982
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0038,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:5:-3,-0.8660273602687051,0.49999661125453504,-0.0,0,0,0.2141505165275121,120.00000000000027,120.0000000000002
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0039,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:5:3,0.8660234472869122,0.5000033887378095,-0.0,0,0,0.21415051652751144,119.99999999999999,119.99999999999991
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0040,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:7:-1,-3.9129817926974966e-06,0.9999999999923443,-0.0,0,0,0.228975888968686,120.00000000000007,120.00000000000001
H:LOWER:ANNULUS_INNER_PASSIVANT_H:0041,LOWER,ANNULUS_INNER_PASSIVANT_H,A:LOWER:7:1,-3.912981793474648e-06,0.9999999999923443,-0.0,0,0,0.22897588896868598,120.00000000000007,120.00000000000011
