gate,pass
Gate3A_parent_audit_is_accepted,True
Gate3I_trimer_bridge_graph_is_accepted,True
Gate3I_has_no_failed_gates,True
Gate3J_requires_conformer_refinement,True
all_2256_nodes_received_finite_coordinates,True
parent_coordinates_are_unchanged,True
seed_and_annulus_coordinates_are_unchanged,True
30_bridge_conformers_were_globally_refined,True
174_H_orientations_were_globally_refined,True
library_endpoint_errors_are_within_0p0005nm,False
all_BN_bonds_are_within_0p003nm,True
all_bridge_BN_bonds_are_within_0p003nm,True
all_XH_bonds_are_within_0p002nm,True
critical_angle_minimum_is_at_least70deg,False
critical_angle_maximum_is_at_most175deg,True
critical_angle_RMS_deviation_is_at_most30deg,True
no_nonbonded_heavy_heavy_clashes,True
no_nonbonded_H_heavy_clashes,True
no_nonbonded_H_H_clashes,True
aperture_errors_are_within10percent,True
outer_radius_errors_are_within15percent,True
lower_upper_asymmetry_is_within0p010nm,True
