bridge_path_id,end,bridge_index,mapping_id,seed_node,annulus_node,selected_pool_index,library_index,library_random_seed,library_distance_error_nm,mirror,azimuth_deg,minimum_angle_deg,maximum_angle_deg,maximum_bond_deviation_nm,minimum_local_clearance_nm,local_clash_count,local_angle_violations,chain_point_count
LOWER:BRIDGE4:00,LOWER,0,M4:LOWER:P0:O-1:R14,S:1680,A:LOWER:13:-5,6,25407,35004,4.514859616133737e-05,False,75.0,72.62658720856592,162.79530385450025,7.952905774627483e-06,0.16403245111475515,0,0,6
LOWER:BRIDGE4:01,LOWER,1,M4:LOWER:P0:O-1:R14,S:1682,A:LOWER:10:-6,9,1853,35004,3.0620831156513706e-05,False,45.0,93.19663082534804,127.65794692451243,5.389044936687792e-06,0.19714595818036584,0,0,6
LOWER:BRIDGE4:02,LOWER,2,M4:LOWER:P0:O-1:R14,S:1684,A:LOWER:7:-7,0,21582,35004,6.509060610571105e-05,False,60.0,96.66918500884826,134.95659007928538,1.2996054279040825e-05,0.2166056030869264,0,0,6
LOWER:BRIDGE4:03,LOWER,3,M4:LOWER:P0:O-1:R14,S:1686,A:LOWER:4:-8,9,8867,35004,5.871566633053327e-05,True,345.0,88.56703011557552,149.21561929724763,1.1690128594366023e-05,0.15974739665991966,0,0,6
LOWER:BRIDGE4:04,LOWER,4,M4:LOWER:P0:O-1:R14,S:1688,A:LOWER:1:-9,2,5485,35004,4.693890267692957e-06,True,60.0,76.98382374270636,154.19763737815177,8.937005667453146e-07,0.16852027129942915,0,0,6
LOWER:BRIDGE4:05,LOWER,5,M4:LOWER:P0:O-1:R14,S:1690,A:LOWER:-14:-4,11,25407,35004,0.00013318680245988368,False,0.0,71.69460230896198,161.9001534660648,2.3461532705687516e-05,0.16862540173388652,0,0,6
LOWER:BRIDGE4:06,LOWER,6,M4:LOWER:P0:O-1:R14,S:1692,A:LOWER:-14:-2,11,649,35004,8.399171802231375e-06,True,330.0,93.95529885770375,133.85044837538314,1.491526926661324e-06,0.19944440171711136,0,0,6
LOWER:BRIDGE4:07,LOWER,7,M4:LOWER:P0:O-1:R14,S:1694,A:LOWER:-14:0,1,36528,35004,3.315822877797414e-05,True,270.0,98.44206438918582,126.37616431668401,6.343698581517954e-06,0.2195549730809,0,0,6
LOWER:BRIDGE4:08,LOWER,8,M4:LOWER:P0:O-1:R14,S:1696,A:LOWER:-14:2,11,12869,35004,5.3505436174772214e-05,True,150.0,87.4396458215688,128.91618540475002,8.863773579281808e-06,0.20039249927697741,0,0,6
LOWER:BRIDGE4:09,LOWER,9,M4:LOWER:P0:O-1:R14,S:1698,A:LOWER:-14:4,8,33871,35004,2.948416661252562e-05,False,180.0,70.89983978777892,168.1814725624514,5.692095650433604e-06,0.16816515253964862,0,0,6
LOWER:BRIDGE4:10,LOWER,10,M4:LOWER:P0:O-1:R14,S:1700,A:LOWER:1:9,11,33871,35004,0.00015761132765546026,True,45.0,71.80783499132185,167.89936224217286,3.042762437002744e-05,0.1700271891182868,0,0,6
