gate,pass
Gate3M_graph_is_accepted,True
Gate3N_exact_replay_is_accepted,True
2112_heavy_nodes_received_coordinates,True
1992_fixed_heavy_nodes_were_preserved,True
120_exact_bridge_coordinates_were_applied,True
30_graph_paths_match_coordinate_paths,True
3066_heavy_edges_were_audited,True
all_BN_bonds_are_within_0p003nm,True
all_four_atom_bridge_BN_bonds_are_within_0p003nm,True
critical_angle_minimum_is_at_least70deg,True
critical_angle_maximum_is_at_most175deg,True
critical_angle_RMS_deviation_is_at_most30deg,True
no_nonbonded_heavy_heavy_clashes,True
aperture_errors_are_within10percent,False
outer_radius_errors_are_within15percent,True
lower_upper_asymmetry_is_within0p010nm,True
no_H_coordinates_were_generated,True
