end,first_node,second_node,first_radius_nm,second_radius_nm,opposition_error_deg,pair_distance_nm
LOWER,A:LOWER:-2:-4,A:LOWER:2:4,0.5227075850578408,0.5227075850578414,2.5444437451708134e-13,1.0454151701156822
LOWER,A:LOWER:-2:4,A:LOWER:2:-4,0.5227075850578409,0.5227075850578409,1.8952208101659532e-13,1.0454151701156817
LOWER,A:LOWER:-5:-3,A:LOWER:5:3,0.5227075850578402,0.5227075850578417,1.7811106216195694e-13,1.045415170115682
LOWER,A:LOWER:-5:3,A:LOWER:5:-3,0.5227075850578402,0.5227075850578414,1.8952208101659532e-13,1.0454151701156817
LOWER,A:LOWER:-7:-1,A:LOWER:7:1,0.5227075850578399,0.5227075850578422,2.5444437451708134e-14,1.045415170115682
LOWER,A:LOWER:-7:1,A:LOWER:7:-1,0.5227075850578403,0.522707585057842,3.685545630634652e-14,1.0454151701156822
UPPER,A:UPPER:-2:-4,A:UPPER:2:4,0.5227075850578395,0.5227075850578423,1.526666247102488e-13,1.045415170115682
UPPER,A:UPPER:-2:4,A:UPPER:2:-4,0.5227075850578426,0.5227075850578394,1.4033418597069752e-14,1.0454151701156822
UPPER,A:UPPER:-5:-3,A:UPPER:5:3,0.5227075850578403,0.522707585057842,2.2899993706537323e-13,1.0454151701156822
UPPER,A:UPPER:-5:3,A:UPPER:5:-3,0.5227075850578422,0.52270758505784,1.8952208101659532e-13,1.0454151701156822
UPPER,A:UPPER:-7:-1,A:UPPER:7:1,0.5227075850578407,0.522707585057841,3.930775806302604e-13,1.0454151701156817
UPPER,A:UPPER:-7:1,A:UPPER:7:-1,0.5227075850578414,0.5227075850578402,3.4218870572684415e-13,1.0454151701156817
