lower_node,upper_node,pair_method,candidate_count,node_type,element,symmetry_deviation_nm
S:1680,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1681,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1682,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1683,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1684,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1685,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1686,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1687,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1688,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1689,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1690,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1691,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1692,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1693,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1694,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1695,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1696,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1697,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1698,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1699,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1700,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1701,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1702,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1703,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1704,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1705,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1706,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1707,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1708,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
S:1709,,UNRESOLVED,0,HEXAGONAL_EDGE_COMPLETION_SEED,N,
A:LOWER:-14:-4,A:UPPER:-14:-4,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,B,0.23884210479155704
A:LOWER:-14:-2,A:UPPER:-14:-2,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,B,0.22024796841638578
A:LOWER:-14:0,A:UPPER:-14:0,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,B,0.21377751009679974
A:LOWER:-14:2,A:UPPER:-14:2,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,B,0.22050061160048484
A:LOWER:-14:4,A:UPPER:-14:4,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,B,0.23930786713049373
A:LOWER:-13:-5,A:UPPER:-13:-5,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,N,0.23895076120302158
A:LOWER:-13:-3,A:UPPER:-13:-3,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.21376940096494115
A:LOWER:-13:-1,A:UPPER:-13:-1,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.20006320741124325
A:LOWER:-13:1,A:UPPER:-13:1,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.20020303891748756
A:LOWER:-13:3,A:UPPER:-13:3,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.21416177596685604
A:LOWER:-13:5,A:UPPER:-13:5,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,N,0.23953562457412683
A:LOWER:-11:-5,A:UPPER:-11:-5,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.21400820417174682
A:LOWER:-11:-3,A:UPPER:-11:-3,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.18547234160872927
A:LOWER:-11:-1,A:UPPER:-11:-1,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.16949485895505134
A:LOWER:-11:1,A:UPPER:-11:1,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.16966161788665876
A:LOWER:-11:3,A:UPPER:-11:3,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.18592918441439577
A:LOWER:-11:5,A:UPPER:-11:5,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.2146678790863795
A:LOWER:-10:-6,A:UPPER:-10:-6,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,N,0.22071129767041314
A:LOWER:-10:-4,A:UPPER:-10:-4,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.1856077285769352
A:LOWER:-10:-2,A:UPPER:-10:-2,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.16098142923014153
A:LOWER:-10:0,A:UPPER:-10:0,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.1520126700897894
A:LOWER:-10:2,A:UPPER:-10:2,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.16133419612727237
A:LOWER:-10:4,A:UPPER:-10:4,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.18621931552231064
A:LOWER:-10:6,A:UPPER:-10:6,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,N,0.22148269406100496
A:LOWER:-8:-6,A:UPPER:-8:-6,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.20069001965218514
A:LOWER:-8:-4,A:UPPER:-8:-4,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.16128801417256383
A:LOWER:-8:-2,A:UPPER:-8:-2,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.13220893579793333
A:LOWER:-8:0,A:UPPER:-8:0,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.12113059710606947
A:LOWER:-8:2,A:UPPER:-8:2,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.13264267815104702
A:LOWER:-8:4,A:UPPER:-8:4,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.16199869826714455
A:LOWER:-8:6,A:UPPER:-8:6,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.2015468086444821
A:LOWER:-7:-7,A:UPPER:-7:-7,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,N,0.21459846146428005
A:LOWER:-7:-5,A:UPPER:-7:-5,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.1700767859811933
A:LOWER:-7:-3,A:UPPER:-7:-3,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.13239247054839642
A:LOWER:-7:-1,A:UPPER:-7:-1,CANONICAL_NODE_ID,1,ANNULUS_INNER_BOUNDARY,N,0.10889196043547555
A:LOWER:-7:1,A:UPPER:-7:1,CANONICAL_NODE_ID,1,ANNULUS_INNER_BOUNDARY,N,0.10915672905695145
A:LOWER:-7:3,A:UPPER:-7:3,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.13304496837799767
A:LOWER:-7:5,A:UPPER:-7:5,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,N,0.17092330263703207
A:LOWER:-7:7,A:UPPER:-7:7,CANONICAL_NODE_ID,1,ANNULUS_OUTER_BOUNDARY,N,0.21553799391141304
A:LOWER:-5:-7,A:UPPER:-5:-7,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.20118764531351668
A:LOWER:-5:-5,A:UPPER:-5:-5,CANONICAL_NODE_ID,1,ANNULUS_INTERIOR,B,0.15280925899060147
A:LOWER:-5:-3,A:UPPER:-5:-3,CANONICAL_NODE_ID,1,ANNULUS_INNER_BOUNDARY,B,0.10932936614229069
