bridge_path_id,end,bridge_index,seed_node,seed_element,bridge_node_1,bridge_element_1,bridge_node_2,bridge_element_2,bridge_node_3,bridge_element_3,bridge_node_4,bridge_element_4,annulus_node,annulus_element,heavy_edges_in_path,mapping_id,mapping_seed_parity,mapping_orientation,mapping_rotation,alternative_heavy_path_length,shortest_cycle_containing_bridge_path,seed_node_type,annulus_node_type
LOWER:BRIDGE4:00,LOWER,0,S:1680,N,BR4:LOWER:00:1,B,BR4:LOWER:00:2,N,BR4:LOWER:00:3,B,BR4:LOWER:00:4,N,A:LOWER:13:-5,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:01,LOWER,1,S:1682,N,BR4:LOWER:01:1,B,BR4:LOWER:01:2,N,BR4:LOWER:01:3,B,BR4:LOWER:01:4,N,A:LOWER:10:-6,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:02,LOWER,2,S:1684,N,BR4:LOWER:02:1,B,BR4:LOWER:02:2,N,BR4:LOWER:02:3,B,BR4:LOWER:02:4,N,A:LOWER:7:-7,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:03,LOWER,3,S:1686,N,BR4:LOWER:03:1,B,BR4:LOWER:03:2,N,BR4:LOWER:03:3,B,BR4:LOWER:03:4,N,A:LOWER:4:-8,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:04,LOWER,4,S:1688,N,BR4:LOWER:04:1,B,BR4:LOWER:04:2,N,BR4:LOWER:04:3,B,BR4:LOWER:04:4,N,A:LOWER:1:-9,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:05,LOWER,5,S:1690,N,BR4:LOWER:05:1,B,BR4:LOWER:05:2,N,BR4:LOWER:05:3,B,BR4:LOWER:05:4,N,A:LOWER:-14:-4,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:06,LOWER,6,S:1692,N,BR4:LOWER:06:1,B,BR4:LOWER:06:2,N,BR4:LOWER:06:3,B,BR4:LOWER:06:4,N,A:LOWER:-14:-2,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:07,LOWER,7,S:1694,N,BR4:LOWER:07:1,B,BR4:LOWER:07:2,N,BR4:LOWER:07:3,B,BR4:LOWER:07:4,N,A:LOWER:-14:0,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:08,LOWER,8,S:1696,N,BR4:LOWER:08:1,B,BR4:LOWER:08:2,N,BR4:LOWER:08:3,B,BR4:LOWER:08:4,N,A:LOWER:-14:2,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:09,LOWER,9,S:1698,N,BR4:LOWER:09:1,B,BR4:LOWER:09:2,N,BR4:LOWER:09:3,B,BR4:LOWER:09:4,N,A:LOWER:-14:4,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:10,LOWER,10,S:1700,N,BR4:LOWER:10:1,B,BR4:LOWER:10:2,N,BR4:LOWER:10:3,B,BR4:LOWER:10:4,N,A:LOWER:1:9,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
LOWER:BRIDGE4:11,LOWER,11,S:1702,N,BR4:LOWER:11:1,B,BR4:LOWER:11:2,N,BR4:LOWER:11:3,B,BR4:LOWER:11:4,N,A:LOWER:4:8,B,5,M4:LOWER:P0:O-1:R14,0,-1,14,11,16,HEXAGONAL_EDGE_COMPLETION_SEED,ANNULUS_OUTER_BOUNDARY
