hydrogen_node,hydrogen_role,end,source_H,attached_heavy,attached_heavy_element,old_x_nm,old_y_nm,old_z_nm,new_x_nm,new_y_nm,new_z_nm,displacement_nm,scenario
H4:LOWER:0006:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0033:0,A:LOWER:-2:-4,B,4.211962745850097,3.8548623453437707,1.632416257684414,4.221679045952875,3.825477603866258,1.8658012992356605,0.23542822077921036,UPPER_DRIVES_LOWER
H4:LOWER:0007:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0034:0,A:LOWER:-2:4,B,3.1826374896326306,3.8416943863512776,1.6317569779060206,3.1836119153251703,3.824025647271961,1.8671198587924471,0.2360271584908005,UPPER_DRIVES_LOWER
H4:LOWER:0010:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0037:0,A:LOWER:-5:-3,B,4.08712867281249,4.076913747238583,1.8671198587924471,4.081833784085256,4.089164015427589,1.6350533767979873,0.232449902092088,UPPER_DRIVES_LOWER
H4:LOWER:0011:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0038:0,A:LOWER:-5:3,B,3.2961484031477344,4.05542488632741,1.8664605790140538,3.2972653464155677,4.068272386948024,1.6337348172412007,0.23308278792569606,UPPER_DRIVES_LOWER
H4:LOWER:0012:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0039:0,A:LOWER:-7:-1,N,3.8463013578254786,4.201765777000019,1.6518954820611453,3.8416104541948535,4.225357352058579,1.847180800620702,0.19676108008323961,UPPER_DRIVES_LOWER
H4:LOWER:0014:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0041:0,A:LOWER:-7:1,N,3.5829384534198963,4.219291202961559,1.8494190277675164,3.5887200198808893,4.211762918653145,1.6507763684877381,0.19886932307702282,UPPER_DRIVES_LOWER
H4:LOWER:0021:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0048:0,A:LOWER:2:-4,N,4.192830921077592,3.577301524957171,1.8477403574074056,4.1995351040575635,3.5523622984386085,1.6490976981276273,0.20031429598137823,UPPER_DRIVES_LOWER
H4:LOWER:0022:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0049:0,A:LOWER:2:4,N,3.205523708896939,3.585486551031143,1.8449425734738876,3.1752588964887782,3.559579467154686,1.6513359252744417,0.19766302155969112,UPPER_DRIVES_LOWER
H4:LOWER:0023:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0050:0,A:LOWER:5:-3,N,4.073275160977078,3.316578315293696,1.6507763684877381,4.092781055130258,3.320617431940844,1.8482999141941092,0.19852542778803228,UPPER_DRIVES_LOWER
H4:LOWER:0024:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0051:0,A:LOWER:5:3,N,3.2995960124449595,3.3199925073669694,1.652455038847849,3.294967839269272,3.3325333638580323,1.8477403574074056,0.19574230179851548,UPPER_DRIVES_LOWER
H4:LOWER:0025:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0052:0,A:LOWER:7:-1,B,3.8463547105858,3.1749992100406135,1.8658012992356605,3.842843419391147,3.198204805953544,1.6330755374628074,0.23390619709679056,UPPER_DRIVES_LOWER
H4:LOWER:0026:0,ANNULUS_INNER_PASSIVANT_H,LOWER,H4:UPPER:0053:0,A:LOWER:7:1,B,3.5993785365810353,3.1864238552784925,1.634394097019594,3.588825640995387,3.194585210789733,1.8677791385708407,0.23376601324593693,UPPER_DRIVES_LOWER
